,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1503,1503,44848,https://restado.de/baustoff/glasfaserwolle/,Glasfaserwolle,Dach,Dachdämmung,2023-01-09,,"Die Mineralfaserwolle ist an dem Ende, wo die Folie aufgerissen ist, nass geworden - mittlerweile aber wieder vollständig getrocknet.  Nur an Selbstabholer",Neuwertig,10€ (VB) / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-15913 Schwielochsee,,"{""Material"": ""Glaswolle"", ""Verwendungszweck"": ""Dachbodendämmung"", ""Lieferform"": ""Rolle"", ""Länge"": ""ca 5 m"", ""Brandverhalten"": ""nicht brennbar"", ""Wärmeleitgruppe"": ""035"", ""Dicke"": ""160 mm""}",10.0,3.0,10.0,3.0,10€ (VB) / Stück,3 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2020/05/e29ddca2-dach1-scaled.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/05/f8dc33fb-20200104_160730.jpg.webp']",Fiberglass wool,Glass wool,Wool-nylon textiles,Pr_35_57_88_98,Other,"Covering, Finish",Sectional products,,0.0
1510,1510,36295,https://restado.de/baustoff/pavatex-isolair-unterdeckplatte-nf-1800x580x140-mm/,Pavatex Isolair Unterdeckplatte N+F 1800x580x140 mm,Dach,Dachdämmung,2023-01-09,,"1 Palette, 16 Platten sowie 5 Platten lose. Abholung in 92263 Ebermannsdorf.",Neu,450€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-92263 Ebermannsdorf,,"{""Serie"": ""Isolair""}",450.0,1.0,450.0,1.0,450€ (VB) / Stück,1 Stück verfügbar,0.0,,[],Pavatex Isolair Unterdeckplatte xx mm,Vinyl ester resin,Vinyl ester resins,Pr_20_31_86_94,Other,Other,Sectional products,,0.0
2148,2148,29541,https://restado.de/baustoff/europaletten/,Europaletten,Haustechnik & Sanitär,Sonstiges,2023-01-09,,Herzlich Willkommen bei Verpackungen Köln!!!  In unserer Karton-Fabrik stehen für die Wellpappenverarbeitung modernste Verpackungstechniken zur Verfügung. Somit können wir höchste Qualität für Ihre Umverpackung gewährleisten.  Hier bieten Wir Ihnen Europaletten für 12€ pro Stk. an.  Die Abholung ist jederzeit ohne Anmeldung während der Öffnungszeiten möglich. Wir freuen uns auf Ihren Besuch!!!  Anschrift: Verpackungen Köln Unnauer Weg 29 - 31 50767 Köln-Lindweiler  Tel.: 0221 - 13068936 Fax: 0221 - 13068939  Öffnungszeiten: Montag - Freitag: 9:00 - 18:30 Uhr Samstag: 9:00 - 16:00 Uhr  Ihr Spezialist für Verpackungen aller Art!,Neu,12€ / Stück,1 Stück verfügbar,(inkl. 19% MwSt.),D-50767 Köln,,{},12.0,1.0,12.0,1.0,12€ / Stück,1 Stück verfügbar,0.0,,[],Euro pallets,European larch,Pre-planted pallets,Pr_45_57_91_64,Other,Other,Sectional products,,0.0
2251,2251,118898,https://restado.de/baustoff/steinwolle-4/,Holzfaser,Rohbau,Dämmung,2023-01-09,, ,Neuwertig,60€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-81247 Munich,,{},60.0,1.0,60.0,1.0,60€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2023/01/6ecc9651-b1d8696e-f03c-475e-ba0b-18f076a49398.jpeg', 'https://restado.de/wp-content/uploads/products/2023/01/f807b18b-a1abba71-30e0-414b-813d-312b517595b2.jpeg']",wood fiber,Fibre,Wood fibres,Pr_45_31_63_98,Furnishings,Furnishings,Sectional products,,0.0
2350,2350,111738,https://restado.de/baustoff/fischer-daemmstoffduebel-konvolut/,Fischer Dämmstoffdübel Konvolut,Fassade,Fassadendämmung,2023-01-09,,"Konvolut aus 146 Stück Dämmstoffdübel, Putzdübel Fischer 8/100 - 61 Stück 8/80 - 35 Stück 8/60 - 50 Stück Tellerbreite 6 cm neue ungenutzte Dübel - Baustellenrest, ohne Mängel  Ebenso haben wir noch einen kompletten Karton Fischer 8/100 mit 2100 Stück Inhalt, hierzu bitte getrennt anfragen, danke",Neu,22€ / Paket,1 Paket verfügbar,(1 Paket Mindestabnahme),D-94481 Grafenau,Fischer,{},22.0,1.0,22.0,1.0,22€ / Paket,1 Paket verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/08/0613aae6-p1030348.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/00c05948-p1030342.jpg']",Fischer insulation dowels bundle,Insulating concrete,Softwood dowels,Pr_20_29_23_80,Other,Other,Sectional products,,0.0
2437,2437,60311,https://restado.de/baustoff/reichsformat-ziegelstein-berlin-misch-herbstbund/,Reichsformat Ziegelstein Berlin Misch. Herbstbund,Fassade,Fassadenverkleidung,2023-01-09,,"Die Berliner Mischung Gelb Rose´ Reichsformat haben wir im Normalfall ständig am Lager. Damit wir ein Herbstbundes Farbenspiel bekommen mischen wir Rote, Orange, Grüne und Gelbe Reichsformat Ziegelsteine mit unter fertig ist die Herbstbund Mischung.  Menge: 58 Steine pro m²  Farbenmix : Gelb, Grün, Rosa, Rot, Ocker, Braun, Orange Format: Reichsformat Handstrichziegelstein, raue Oberfläche  Maße: Länge 23,5 – 25,5 cm Breite 11,5 – 12,5 cm  Dicke 6 – 6,7 cm  Qualität: hart – mittelhart gebrannt schöner Ziegelstein zum Mauern einer Gartenmauer, Zaunfeiler, Garage / Carport und beim verklinkern eines Wohnhauses. siehe Beispielfotos",Gebraucht,"84,10€ / m²",10 m² verfügbar,(520 m² Mindestabnahme),D-14641 Retzow,,{},84.1,10.0,84.1,10.0,"84,10€ / m²",10 m² verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/10/6007f57f-bmh.jpg'],Reich format brick Berlin mixed . Autumn Bund,Birch,Concrete bund units,Pr_20_85_12_14,Other,Other,Sectional products,,0.0
2485,2485,86355,https://restado.de/baustoff/rahmenduebel/,Rahmendübel,Fassade,Sonstiges Fassadenmaterial,2023-01-09,,Edelstahl A4 Rahmendübel,Neu,"2,75€ (VB) / Stück",4.000 Stück verfügbar,(2.000 Stück Mindestabnahme),D-95632 Wunsiedel,,{},2.75,4000.0,2.75,4000.0,"2,75€ (VB) / Stück",4.000 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/11/568afd36-76ce2134-951a-4859-b1db-c7b9c61be417.png'],frame dowel,Wrought iron,Dowels and rods,Pr_20_29_23,Furnishings,Furnishings,Sectional products,,0.0
2793,2793,40419,https://restado.de/baustoff/mineralwolle-2/,Mineralwolle,Innenausbau,Trockenbau,2023-01-09,,"11 Rollen Ursa GEO DF Mineralwolle, Klemmfilz, Typ: Rclm² k/W 6,45, Maße: 1200X3000X120, DIN 011-7D30. Das Material lagert trocken auf einem Dachboden in der 1. Etage und ist originalverpackt. Nur an Selbstabholer.",Neu,121€ (VB) Paketpreis,11 Stück verfügbar,(11 Stück Mindestabnahme),D-47589 Uedem,,{},121.0,11.0,121.0,11.0,121€ (VB) Paketpreis,11 Stück verfügbar,0.0,,[],mineral wool,Mineral wool,Mineral wool insulation,Pr_25_57_06_53,Structural elements,"Covering, Finish",Sectional products,,0.0
2923,2923,55478,https://restado.de/baustoff/rahmenduebel-10x160/,Rahmendübel 10x160,Innenausbau,Sonstiges,2023-01-09,,"Rahmendübel verzinkt 135 Stück je 0,50 = 67,50",Neuwertig,"67,50€ / Stück",1 Stück verfügbar,(1 Stück Mindestabnahme),D-89423 Gundelfingen an der Donau,Fa.würth,"{""Produkt"": ""Befestigungstechnik""}",67.5,1.0,67.5,1.0,"67,50€ / Stück",1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/07/3e24222f-20200706_150259-scaled.jpg'],Frame dowel x,Spandrel glass,Dowels and rods,Pr_20_29_23,Furnishings,"Blocks, Panels, Fences, Bricks",Sectional products,,0.0
2924,2924,55487,https://restado.de/baustoff/fa-wuerth-rahmenduebel-10x100/,Fa.würth rahmendübel 10x100,Innenausbau,Sonstiges,2023-01-09,,"Rahmendübel verzinkt menge: 70 Stück je 0,30 = 21€",Neuwertig,21€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-89423 Gundelfingen an der Donau,Fa.würth,"{""Produkt"": ""Befestigungstechnik""}",21.0,1.0,21.0,1.0,21€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/07/090960af-20200706_150259-scaled.jpg'],Würth frame dowels x,Douglas fir,Hardwood dowels,Pr_20_29_23_36,Furnishings,Furnishings,Sectional products,,0.0
2988,2988,2596,https://restado.de/baustoff/universal-dbel-8-mm-x-135-mm/,Universal Dübel 8 mm x 135 mm,Innenausbau,Sonstiges,2023-01-09,,Universal Dübel 8mm x 135 mm &Aumllterer Lagerbestand Unbeschädigt und in Großgebinden (kleinabnahme auf Anfrage möglich)   2500St/Geb,Neu,30€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},30.0,1.0,30.0,1.0,30€ / Stück,1 Stück verfügbar,0.0,,[],Universal dowel mm x mm,Medium-carbon steel,Masonry dowels,Pr_20_29_23_50,Other,Other,Sectional products,,0.0
2989,2989,2594,https://restado.de/baustoff/universal-dbel-10-mm-x-60-mm/,Universal Dübel 10 mm x 60 mm,Innenausbau,Sonstiges,2023-01-09,,Universal Dübel 10 x 60 mm &Aumllterer Lagerbestand Unbeschädigt und in Großgebinden (kleinabnahme auf Anfrage möglich)   3000St/Geb,Neu,30€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},30.0,1.0,30.0,1.0,30€ / Stück,1 Stück verfügbar,0.0,,[],Universal dowel mm x mm,Medium-carbon steel,Masonry dowels,Pr_20_29_23_50,Other,Other,Sectional products,,0.0
2990,2990,2598,https://restado.de/baustoff/universal-dbel-12-mm-x-60-mm/,Universal Dübel 12 mm x 60 mm,Innenausbau,Sonstiges,2023-01-09,,Universal Dübel 12x60 mm &Aumllterer Lagerbestand Unbeschädigt und in Großgebinden (kleinabnahme auf Anfrage möglich)  1500St/Geb,Neu,30€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},30.0,1.0,30.0,1.0,30€ / Stück,1 Stück verfügbar,0.0,,[],Universal dowel mm x mm,Medium-carbon steel,Masonry dowels,Pr_20_29_23_50,Other,Other,Sectional products,,0.0
2991,2991,2600,https://restado.de/baustoff/universal-dbel-12-mm-x-75-mm/,Universal Dübel 12 mm x 75 mm,Innenausbau,Sonstiges,2023-01-09,,Universal Dübel 12mm x 75 mm &Aumllterer Lagerbestand Unbeschädigt und in Großgebinden (kleinabnahme auf Anfrage möglich)  1500St/Geb,Neu,30€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},30.0,1.0,30.0,1.0,30€ / Stück,1 Stück verfügbar,0.0,,[],Universal dowel mm x mm,Medium-carbon steel,Masonry dowels,Pr_20_29_23_50,Other,Other,Sectional products,,0.0
2992,2992,2592,https://restado.de/baustoff/universal-dbel/,Universal Dübel,Innenausbau,Sonstiges,2023-01-09,,Universal Dübel 10 x 50 mm &Aumllterer Lagerbestand Unbeschädigt und in Großgebinden (kleinabnahme auf Anfrage möglich)   Universaldübel 10 x 50   2500Stück/geb,Neu,30€ / Säcke,1 Säcke verfügbar,(1 Säcke Mindestabnahme),Neu,,{},30.0,1.0,30.0,1.0,30€ / Säcke,1 Säcke verfügbar,0.0,,[],Universal dowel,Wrought iron,Hardwood dowels,Pr_20_29_23_36,Furnishings,Furnishings,Sectional products,,0.0
3226,3226,81647,https://restado.de/baustoff/werbetafeln-4stueck/,"Werbetafeln, 4Stück",Garten & Freianlagen,Sonstiges,2023-01-09,,3830x2910mm  Rahmenbreite 160mm 3x beleuchtet,Gebraucht,300€ (VB) / Stück,4 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},300.0,4.0,300.0,4.0,300€ (VB) / Stück,4 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/09/2a3cd4f7-img_2791-scaled.jpg'],"Advertising boards , pieces",Wood,Signage products,Pr_40_10,Furnishings,Furnishings,Sectional products,,0.0
