,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
0,0,121613,https://restado.de/baustoff/eigenbau/,Eigenbau,Türen & Zargen,Außentüren,2023-01-09,,Biete hier eine Hauseingangstür Eigenbau Massivholz zum Verkauf. Drei Fach Verriegelung Komplett mit Zarge Top Zustand,Neuwertig,1€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-04539 Groitzsch,,"{""Material Türblatt"": ""Holz"", ""Oberfläche Türblatt"": ""Massivholz"", ""Material Türzarge"": ""Holz"", ""Türzargen-Art"": ""Umfassungszarge"", ""Oberfläche Türzarge"": ""Massivholz""}",1.0,1.0,1.0,1.0,1€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/3507867b-16779951035331310211834540922170-scaled.jpg'],Homemade,Powder,Made ground,Pr_15_31_26_50,Furnishings,Furnishings,Fastener products,,0.0
1074,1074,77396,https://restado.de/baustoff/speckstein-von-tulikivi-specksteinofen/,"Specksteinteile (17,5 KG) z. Basteln/ Handwerken, VHB 40 €",Fliesen & Steine,Naturstein,2023-01-09,1677110400000.0,"ca. 17,5 KG Teile vom Bau eines TULIKIVI Specksteinofens. Edle Teile der erneuerten Dekorplatte (ca. 12 mm dick) mit drei seltenen einseitig gerundeten weißen Teilen, div. Specksteinfliesenteile (ca. 15 mm dick), ein ca. 2,2 KG schweres Verschlussteil, Reste eines größeren gesägten Steins u..a. Die Plattenteile sind auf einer Seite meistens poliert. Auch die meisten anderen Teile haben eine geschliffene polierte Seite. Leider sind dort auch Kratzer vorhanden. Nur Abholung. Evt. Anlieferung im Großraum Hamburg Ost bis Lübeck.",Gebraucht,40€ (VB) / Paket,1 Paket verfügbar,(1 Paket Mindestabnahme),D-22929 Hamfelde in Holstein,Tulikivi,"{""Bezeichnung"": ""finnischer Speckstein"", ""Oberfläche"": ""verschieden, meistens poliert""}",40.0,1.0,40.0,1.0,40€ (VB) / Paket,1 Paket verfügbar,1.0,3888000000.0,"['https://restado.de/wp-content/uploads/products/2021/09/7bb5b229-img_0541-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/09/f72f63a1-img_0540-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/06/b060bc6f-img_0539-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/06/1aef430a-img_0538-speckstein.png']","Soapstone parts . e.g . Crafts/crafts , €",Porcelain,Soap dishes,Pr_40_20_76_82,Furnishings,Furnishings,Fastener products,45.0,0.0
1421,1421,65552,https://restado.de/baustoff/dichtschraube-ja3-65x75mm-edelstahl-fuer-uk-holz-100-st-pak/,"Dichtschraube JA3 6,5x75mm Edelstahl für UK Holz 100 St. / Pak.",Dach,Dacheindeckung,2023-01-09,, ,Neu,17€ / Paket,9 Paket verfügbar,(1 Paket Mindestabnahme),D-84088 Neufahrn in Niederbayern,,{},17.0,9.0,17.0,9.0,17€ / Paket,9 Paket verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/11/79c1ba89-dichtschraubeja3_65x75mm-scaled.jpg'],Sealing screw .xmm stainless steel for wood pieces / pack .,Stainless steel,Wood screws,Pr_20_29_76_98,Other,Other,Fastener products,,0.0
2111,2111,120841,https://restado.de/baustoff/masthalterungs-set-mastfuss-2-rohrbefestiger-2-rohrstangen/,"Masthalterungs-Set, Mastfuss, 2 Rohrbefestiger, 2 Rohrstangen",Haustechnik & Sanitär,Sonstiges,2023-01-09,1673481600000.0,,,,,,,,,,,,,,,1.0,259200000.0,"['https://restado.de/wp-content/uploads/products/2023/02/25e9b30b-img_20230203_092358-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/1ec176a6-img_20230203_091413-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/891259b6-img_20230203_091938-scaled.jpg']","Pole bracket set , mast base , pipe fasteners , pipe rods",Precast structural concrete,Pipe accessories,Pr_65_52_61,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Fastener products,3.0,
2225,2225,60457,https://restado.de/baustoff/quickmix-fugenmoertel/,Quickmix Fugenmörtel,Rohbau,Mauerwerk,2023-01-09,,Grau,Neu,3€ (VB) / Stück,14 Stück verfügbar,(1 Stück Mindestabnahme),D-44879 Bochum,Maurermörtel QUICKMIX,{},3.0,14.0,3.0,14.0,3€ (VB) / Stück,14 Stück verfügbar,0.0,,[],Quickmix joint mortar,Mortar aggregates,Paving jointing mortars,Pr_20_31_53_60,Other,Other,Fastener products,,0.0
2329,2329,5543,https://restado.de/baustoff/mjb-justierbefestigung-justierschrauben-6-x-100/,"MJB Justierbefestigung, Justierschrauben, 6 x 100",Rohbau,Sonstiges,2023-01-09,,"Herstellerinformation http://www.mungo.ch/de/produkte/qr/mjb-justierbefestigung.html Holzunterkonstruktionen werden stufenlos justierbar Auch für Holz-Holz Verbindung geeignet Spannungsfreie Befestigung Kein Vorbohren notwendig Inkl. 1 Bit pro FS Galvanisch verzinkt > 5?m Durchsteckmontage Anwendungen im Innenbereich Für Fassadenbau / Gerüstbau / Holzbau Breite:    Höhe:    Länge/Tiefe:  10,00 cm Gewicht / Stk.:    Durchm.:  0,60 cm Baujahr:   Material:  Stahl,galvanischverzinkt Farbe:   Herkunft:  Gewerbe Verfügbar ab: sofort", neuwertig,240€ Paketpreis,80 Stk. verfügbar,(80 Stk. Mindestabnahme),neuwertig,,{},240.0,80.0,240.0,80.0,240€ Paketpreis,80 Stk. verfügbar,0.0,,[],"adjustment fastening , adjustment screws , x",Monofilament,Set screws,Pr_20_29_76_77,Other,"Stairs, Ramps, Lift, Hardware",Fastener products,,0.0
2337,2337,5547,https://restado.de/baustoff/s-md-23-z-selbstbohrschraube-angepresste-scheibe-kohlenstoffstahl/,"S-MD 23 Z Selbstbohrschraube, angepresste Scheibe (Kohlenstoffstahl…",Rohbau,Sonstiges,2023-01-09,,"Herstellerinformation https://www.hilti.de/schraubtechnik/metallbauschrauben/r2452 Bohrkapazität - Bereich DC 2.6 - 6 mm Befestigte Stärke - Bereich MF 2.6 - 38 mm Schraubenantrieb Sechskant 8 Scheibengröße 15 mm Scheibentyp Aufgepresst Korrosionsschutz Galvanisch verzinkt Vorteile Befestigung ist besonders geeignet für hoch belastete Verbindungen, z. B. Dach- oder Bodenbleche, die nicht der Witterung ausgesetzt sind Neue Bohrspitze für schnelles Bohren und niedrige Ausfallrate – sogar in hartem Stahl Anwendungen Befestigung von Profilstahlblechen auf leichten und mittelschweren Stahlrahmen, z. B. HTU Schienen, C/U-Profilen usw. Montage von Metallblechen auf Stahlunterkonstruktionen; besonders geeignet für Befestigungen unter hoher Belastung Verwandte Suchbegriffe: Selbstbohrschraube Kohlenstoffstahl, Metallschrauben selbstschneidend, Schrauben selbstbohrend oder Befestigung auf Einlegeschiene Breite:    Höhe:    Länge/Tiefe:  5,00 cm Gewicht / Stk.:    Durchm.:  0,63 cm Baujahr:   Material:  Kohlenstoffstahl Farbe:   Herkunft:  Gewerbe Neupreis: 43,11€ Verfügbar ab: sofort", neuwertig,2.600€ Paketpreis,200 Stk. verfügbar,(200 Stk. Mindestabnahme),neuwertig,,{},2600.0,200.0,2600.0,200.0,2.600€ Paketpreis,200 Stk. verfügbar,0.0,,[],"self-drilling screw , pressed washer carbon steel…",Carbon steel,Self-drilling screws,Pr_20_29_76_76,Other,Other,Fastener products,,0.0
2489,2489,82396,https://restado.de/baustoff/sto-flexyl-cement/,STO Flexyl Cement,Fassade,Sonstiges Fassadenmaterial,2023-01-09,, ,Neu,20€ (VB) / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-97723 Oberthulba,,{},20.0,3.0,20.0,3.0,20€ (VB) / Stück,3 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/09/2e3e3739-20210911_093741-scaled.jpg'],Flexyl Cement,Cement,Special purpose cements,Pr_20_31_12_80,Other,Other,Fastener products,,0.0
2544,2544,64019,https://restado.de/baustoff/parkett-kleber-thomsit-p-685-elast-universal-neu/,Parkett Kleber - Thomsit P 685 Elast Universal,Innenausbau,Parkett,2023-01-09,,"Heimwerkerbedarf > Baumaterialien > Fußböden & Teppichböden  Menge: 16 Kg  Versand auf Anfrage  Elastischer Klebstoff für Massiv- und Fertigparkett, schützt den Untergrund vor Schubspannungen, dauerhaft starke Klebkraft, dauerhaft elastische Klebung, kein Vorstrich bei den meisten Untergründen, besonders geeignet für Trockenestrich-Konstruktionen, mit SiCureTechnologie,, Wasser- und lösemittelfrei, hervorragend zu verarbeiten, keine schwarzen Hände, flecken leichter entfernbar. Sehr emissionsarmer, einkomponentiger Spezialklebstoff für alle Parkettarten. Geeignet zum Kleben auf saugfähigen und dichten Untergründen. Die elastische Klebung baut Schubkräfte ab und vermindert dadurch nachhaltig die Entstehung von Spannungen im Untergrund. Moderne, verarbeiterfreundliche Alternative zu konventionellen PUR-Klebstoffen. Nicht geeignet zum Kleben von Holzpflaster.",Neu,50€ (VB) / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-42289 Wuppertal,,{},50.0,10.0,50.0,10.0,50€ (VB) / Stück,10 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/11/64da15f0-e2e15c87-adc8-44d1-993b-76e8ede6f5ec.png'],Parquet adhesive - Thomsit Elast Universal,Bonded surfacing decorative aggregates,Vinyl adhesives,Pr_20_31_02_95,Other,Other,Fastener products,,0.0
2835,2835,2860,https://restado.de/baustoff/weber-leichtausgleichsmasse-rapid/,WEBER Leichtausgleichsmasse Rapid,Innenausbau,Estrich,2023-04-18,,,,,,,,,{},0.0,0.0,0.0,0.0,,,0.0,,[],lightweight leveling compound Rapid,Special-class performance concrete,Smoothing and levelling underlay compounds,Pr_35_31_06_80,Other,"Stairs, Ramps, Lift, Hardware",Fastener products,,0.0
