,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
477,477,108425,https://restado.de/baustoff/velux-hitzeschutzmarkise-tageslicht/,Velux Hitzeschutzmarkise Tageslicht,Fenster,Dachfenster,2023-01-09,1677024000000.0,"Wegen falscher Lieferung abzugeben: 4 Stück Velux Hitzeschutzmarkisen ""Tageslicht"" für Fenstergröße PK06 (118x94cm) inkl. Zubehör und Funkfernbedienung. Antrieb mit Solarmodul, keine Zuleitung erforderlich. Waren 2 Monate bei gutem Wetter eingebaut bis die richtigen Markisen geliefert wurden. Nur etwas staubig, sonst wie neu. Schützt vor Hitze durch Sonneneinstrahlung macht aber icht ganz dunkel; Fenster kann trotzdem gut geöffnet werden. Alle Infos https://www.veluxshop.de/produkte/velux-rollo/hitzeschutzmarkisen",Neuwertig,250€ (VB) / Stück,4 Stück verfügbar,(1 Stück Mindestabnahme),D-72622 Nürtingen,Velux,"{""Fensterbreite (cm)"": ""94 (PK06)"", ""Fensterhöhe (cm)"": ""118 (PK06)""}",250.0,4.0,250.0,4.0,250€ (VB) / Stück,4 Stück verfügbar,1.0,3801600000.0,['https://restado.de/wp-content/uploads/products/2022/07/2a564c4f-5f42-4c29-87c4-e259880e4f3c.jpg'],Velux heat protection awning daylight,Heat-resisting glass,Daylight sensors,Pr_70_70_47_21,Other,Other,Space heating and cooling products,44.0,0.0
1058,1058,92288,https://restado.de/baustoff/marmor-heizkoerperabdeckung/,Marmor Heizkörperabdeckung,Fliesen & Steine,Naturstein,2023-01-09,1673308800000.0,,,,,,,,,,,,,,,1.0,86400000.0,['https://restado.de/wp-content/uploads/products/2022/03/816d6d6e-img_20220305_085801-scaled.jpg'],Marble radiator cover,Marble,Radiator pipe floor covers,Pr_35_90_31_70,Other,"Covering, Finish",Space heating and cooling products,1.0,
1470,1470,118450,https://restado.de/baustoff/daemmung-bauder/,Dämmung-BAUDER,Dach,Dachdämmung,2023-01-09,1673481600000.0,,,,,,,,,,,,,,,1.0,259200000.0,"['https://restado.de/wp-content/uploads/products/2023/01/8549fa9b-4f4c-4ee8-a8e5-8f9920503702.jpeg', 'https://restado.de/wp-content/uploads/products/2023/01/29d9fa16-413b-4380-b2e0-de98c8116852.jpeg']",Insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,3.0,
1475,1475,109902,https://restado.de/baustoff/gutex-thermoflex/,Gutex thermoflex,Dach,Dachdämmung,2023-01-09,, ,Neu,15€ (VB) / m²,17 m² verfügbar,(3 m² Mindestabnahme),D-91469 Hagenbüchach,Bauder,"{""Verwendungszweck"": ""Zwischensparrendämmung"", ""Lieferform"": ""Platte"", ""Länge"": ""1350"", ""Brandverhalten"": ""nicht brennbar"", ""Breite"": ""575"", ""Dicke"": ""120 mm""}",15.0,17.0,15.0,17.0,15€ (VB) / m²,17 m² verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/07/cd06beb1-img-20220723-wa0000.jpg'],Gutex thermoflex,Aerogel,Gutter and fitting products,Pr_65_50,Other,Other,Space heating and cooling products,,0.0
1489,1489,91334,https://restado.de/baustoff/daemmung-4/,Dämmung,Dach,Dachdämmung,2023-01-09,, ,Neu,24€ (VB) / m²,160 m² verfügbar,(20 m² Mindestabnahme),D-47551 Bedburg-Hau,Bauder,"{""Serie"": ""PIR WLS23"", ""Verwendungszweck"": ""Flachdachdämmung"", ""Lieferform"": ""Platte"", ""Länge"": ""2400"", ""Brandverhalten"": ""nicht brennbar"", ""Breite"": ""1200"", ""Dicke"": ""100 mm""}",24.0,160.0,24.0,160.0,24€ (VB) / m²,160 m² verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/02/eca94b83-screenshot_20220216_114053_com.android.gallery3d.jpg'],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,0.0
1491,1491,88712,https://restado.de/baustoff/gutex-thermosafe-80mm-holzfaserdaemmplatten/,"Dämmplatten, Holzfaser, Gutex Thermosafe 80mm",Dach,Dachdämmung,2023-01-09,,"Gutex Thermosafe 80mm, universale Dämmplatten, Holzfaser, mehrschichtig, stumpf, Plattenmaß: 625x1200 mm  original verpackte Neuware, trocken gelagert  Genaue Menge: 36,75 / 49 Stück  ",Neu,703€ (VB) Paketpreis,37 m² verfügbar,(37 m² Mindestabnahme),D-57489 Drolshagen,,{},703.0,37.0,703.0,37.0,703€ (VB) Paketpreis,37 m² verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/02/72b11a2f-20210929_100941-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/02/58363756-20211007_113348-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/02/1e452450-20210929_101130-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/02/b437cd33-20210929_101001-scaled.jpg']","Insulation boards , wood fiber , Gutex Thermosafe mm",Fibreglass,Wood fibre batt insulation,Pr_25_57_06_97,Other,Other,Space heating and cooling products,,0.0
1506,1506,41098,https://restado.de/baustoff/daemmstoff-gutex-thermosafe/,Dämmstoff Gutex Thermosafe,Dach,Dachdämmung,2023-01-09,, ,Neu,286€ (VB) Paketpreis,13 Stück verfügbar,(13 Stück Mindestabnahme),D-31629 Estorf,,"{""Serie"": ""Thermosafe 240mm"", ""Material"": ""Hanf"", ""Verwendungszweck"": ""Aufsparrendämmung"", ""Lieferform"": ""Platte"", ""Länge"": ""120,0 cm"", ""Wärmeleitgruppe"": ""040"", ""Breite"": ""62,5 cm"", ""Dicke"": ""200 mm""}",286.0,13.0,286.0,13.0,286€ (VB) Paketpreis,13 Stück verfügbar,0.0,,[],Insulation material Gutex Thermosafe,Thermoplastic elastomer resin,Cotton fibre batt insulation,Pr_25_57_06_15,Other,Other,Space heating and cooling products,,0.0
1507,1507,41134,https://restado.de/baustoff/daemmung-gutex-thermosafe/,Dämmung Gutex Thermosafe,Dach,Dachdämmung,2023-01-09,, ,Neu,16€ (VB) / Stück,17 Stück verfügbar,(5 Stück Mindestabnahme),D-31629 Estorf,,"{""Serie"": ""Thermosafe homogen 240mm"", ""Material"": ""Holzfaser"", ""Verwendungszweck"": ""Aufsparrendämmung"", ""Lieferform"": ""Platte"", ""Länge"": ""120,0 mm"", ""Brandverhalten"": ""schwer entflammbar"", ""Wärmeleitgruppe"": ""040"", ""Breite"": ""62,5 mm""}",16.0,17.0,16.0,17.0,16€ (VB) / Stück,17 Stück verfügbar,0.0,,[],Insulation Gutex Thermosafe,Insulating glass,Cotton fibre batt insulation,Pr_25_57_06_15,Other,Other,Space heating and cooling products,,0.0
1523,1523,13287,https://restado.de/baustoff/daemmung/,Dämmung,Dach,Dachdämmung,2023-01-09,,Dämmung von climowool in Stärke 220mm  Ca 75qm zur selbstabholung,Neu,675€ Paketpreis,75 m² verfügbar,(75 m² Mindestabnahme),Neu,,{},675.0,75.0,675.0,75.0,675€ Paketpreis,75 m² verfügbar,0.0,,[],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,0.0
1525,1525,7285,https://restado.de/baustoff/dmmung/,Dämmung,Dach,Dachdämmung,2023-01-09,,isover ultimate  klemmfilz 160 17 Rollen,Neu,34€ / Stück,17 Stück verfügbar,(inkl. 19% MwSt.),Neu,,{},34.0,17.0,34.0,17.0,34€ / Stück,17 Stück verfügbar,0.0,,[],insulation,Insulating concrete,Loose insulation,Pr_25_31_48,"Wall, Barriers, Pannels","Covering, Finish",Space heating and cooling products,,0.0
1528,1528,4095,https://restado.de/baustoff/dmmung-16-sack/,Dämmung 16 Sack,Dach,Dachdämmung,2023-01-09,,"Dämmung 16 Sack - sehen Sie bitte das Bild im Anhang: 8,00€ / Sack",Neu,8€ / Stück,16 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},8.0,16.0,8.0,16.0,8€ / Stück,16 Stück verfügbar,0.0,,[],Insulation bags,Insulating concrete,Resilient layer insulation,Pr_25_57_06_71,Other,Other,Space heating and cooling products,,0.0
