,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
116,116,121410,https://restado.de/baustoff/verschiedene-tuerklinken-tuerbeschlaege/,verschiedene Türklinken / Türbeschläge,Türen & Zargen,Sonstiges,2023-02-19,,"Zu verkaufen sind knapp 300 Türbeschläge / Türklinken siehe Bilder. Alle gut erhalten und bereit zur Wiederverwendung. Preis ist verhandelbar!  Abzuholen in 12053, c/o Impact Hub",Gebraucht,1€ (VB) / Stück,323 Stück verfügbar,(10 Stück Mindestabnahme),D-12053 Berlin,,{},1.0,323.0,1.0,323.0,1€ (VB) / Stück,323 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/0f699a93-img_7610-scaled.jpg'],various door handles/door fittings,Hydraulic road binder bound mixtures,Door lever handle sets,Pr_30_36_59_25,Openings,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
134,134,97099,https://restado.de/baustoff/beschlaege-fuer-innentueren/,Beschläge für Innentüren,Türen & Zargen,Sonstiges,2023-01-09,,Beschläge für Innentüren. Wie neu !,Neuwertig,5€ (VB) / Stück,16 Stück verfügbar,(1 Stück Mindestabnahme),D-82377 Penzberg,,{},5.0,16.0,5.0,16.0,5€ (VB) / Stück,16 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/04/01ac14a1-53e23d24-a950-479c-867d-edae750cebf2-scaled.jpeg'],Fittings for interior doors,Architectural glass,Composite doorsets,Pr_30_59_24_16,Openings,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
193,193,83455,https://restado.de/baustoff/wc-trennwand-inkl-tueren-1490-x-2000mm/,WC Trennwand inkl. Türen 1490 x 2000mm,Türen & Zargen,Sonstiges,2023-01-09,,"EIGENSCHAFTEN Preis pro Trennwand = 250€ Höhe: 2000 mm Breite: 1490 mm Stärke: 30 mm  Farbe: Cremeweiß  Zusatzinformationen Tuerenfront 2710 x 2160mm, 6x Kabinentür Licht 600mm, Rohrdurchmesser 32mm x 2710, 2x Edelstahl",Gebraucht,250€ (VB) / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},250.0,10.0,250.0,10.0,250€ (VB) / Stück,10 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/d430e5b4-wc-trennwand-inkl.-tueren-1490-x-2000mm.png'],Toilet partition including doors x mm,Bone,Sliding door and partition sets,Pr_30_59_24_80,Other,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
203,203,78447,https://restado.de/baustoff/zimmertuerschlosskasten-sag-edelstahl-din-r/,"HAFI Objektbeschlag auf Rundrosette, Edelstahl, 8 mm",Türen & Zargen,Sonstiges,2023-01-09,,"Zimmertürdrücker-Paar in Edelstahl der Fa. Hafi mit Rundrosette für PZ-Schloss  Design: 203 Serie: vermutlich Speed Line, jedoch Drückerlänge 130 mm Klassifizierung: Klasse 3",Neuwertig,50€ (VB) / Stück,4 Stück verfügbar,(1 Stück Mindestabnahme),D-70327 Stuttgart,HAFI,{},50.0,4.0,50.0,4.0,50€ (VB) / Stück,4 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/07/82a61bd9-20210422_175726-scaled.jpg'],"object fitting on round rosette , stainless steel , mm",High-strength low-alloy steel,Stainless steel pipe fittings,Pr_65_52_63_79,Other,Other,Sanitary fittings and accessories,,0.0
238,238,6086,https://restado.de/baustoff/toilettenzwischentuer/,Toilettenzwischentür,Türen & Zargen,Sonstiges,2023-01-09,,"Neuzeitige Zwischentür aus Sperrholz. Breite:  64,00 cm Höhe:  193,50 cm Länge/Tiefe:  3,00 cm Gewicht / Stk.:    Baujahr (ca.):  1990 Material:  Sperrholz Farbe:  weiß Herkunft:  ÖffentlichesGebäude Zarge/Blende:  ohne Verfügbar ab: sofort", gut,480€ Paketpreis,16 Stk. verfügbar,(16 Stk. Mindestabnahme),gut,,{},480.0,16.0,480.0,16.0,480€ Paketpreis,16 Stk. verfügbar,0.0,,[],Toilet intermediate door,Lead,Door pivots,Pr_30_36_36_22,Openings,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
424,424,6098,https://restado.de/baustoff/toilettentuer-5/,Toilettentür,Türen & Zargen,Zimmertüren,2023-01-09,,"Einfache Zimmertür aus Sperrholz. Leichte Schäden. Breite:  86,40 cm Höhe:  212,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1990 Material:  Sperrholz Farbe:  weiß Herkunft:  ÖffentlichesGebäude Flügel:  1-flügelig Anschlag DIN:  re. Zarge/Blende:  ohne Verfügbar ab: sofort", gut,50€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},50.0,1.0,50.0,1.0,50€ / Stk.,1 Stk. verfügbar,0.0,,[],Toilet door,Bone,Toilet showers,Pr_40_20_87_89,Openings,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
445,445,6101,https://restado.de/baustoff/toilettentuer-6/,Toilettentür,Türen & Zargen,Zimmertüren,2023-01-09,,"Einfache Zimmertür aus Sperrholz. Breite:  86,00 cm Höhe:  212,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1990 Material:  Sperrholz Farbe:  weiß Herkunft:  ÖffentlichesGebäude Zarge/Blende:  ohne Flügel:  1-flügelig Anschlag DIN:  li. Verfügbar ab: sofort", gut,800€ Paketpreis,16 Stk. verfügbar,(16 Stk. Mindestabnahme),gut,,{},800.0,16.0,800.0,16.0,800€ Paketpreis,16 Stk. verfügbar,0.0,,[],Toilet door,Bone,Toilet showers,Pr_40_20_87_89,Openings,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
448,448,6103,https://restado.de/baustoff/toilettentuer-7/,Toilettentür,Türen & Zargen,Zimmertüren,2023-01-09,,"Einfache Zimmertür aus Sperrholz. Breite:  73,50 cm Höhe:  212,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1990 Material:  Sperrholz Farbe:  weiß Herkunft:  ÖffentlichesGebäude Zarge/Blende:  ohne Flügel:  1-flügelig Anschlag DIN:  li. Verfügbar ab: sofort", gut,100€ Paketpreis,2 Stk. verfügbar,(2 Stk. Mindestabnahme),gut,,{},100.0,2.0,100.0,2.0,100€ Paketpreis,2 Stk. verfügbar,0.0,,[],Toilet door,Bone,Toilet showers,Pr_40_20_87_89,Openings,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
449,449,6088,https://restado.de/baustoff/toilettentuer/,Toilettentür,Türen & Zargen,Zimmertüren,2023-01-09,,"Neuzeitige Zimmertür aus Sperrholz. Leichte Beschädigung vorhanden (siehe Foto). Breite:  88,50 cm Höhe:  198,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1990 Material:  Sperrholz Farbe:  weiß Herkunft:  ÖffentlichesGebäude Anschlag DIN:  li. Zarge/Blende:  ohne Flügel:  1-flügelig Verfügbar ab: sofort", gut,50€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},50.0,1.0,50.0,1.0,50€ / Stk.,1 Stk. verfügbar,0.0,,[],Toilet door,Bone,Toilet showers,Pr_40_20_87_89,Openings,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
450,450,6091,https://restado.de/baustoff/toilettentuer-2/,Toilettentür,Türen & Zargen,Zimmertüren,2023-01-09,,"Neuzeitige Zimmertür aus Sperrholz. Breite:  98,50 cm Höhe:  212,00 cm Länge/Tiefe:  4,00 cm Gewicht / Stk.:    Baujahr (ca.):  1990 Material:  Sperrholz Farbe:  weiß Herkunft:  ÖffentlichesGebäude Zarge/Blende:  ohne Flügel:  1-flügelig Anschlag DIN:  li. Verfügbar ab: sofort", gut,75€ / Stk.,1 Stk. verfügbar,(1 Stk. Mindestabnahme),gut,,{},75.0,1.0,75.0,1.0,75€ / Stk.,1 Stk. verfügbar,0.0,,[],Toilet door,Bone,Toilet showers,Pr_40_20_87_89,Openings,"Door, Windows, Gates",Sanitary fittings and accessories,,0.0
