,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1854,1854,101384,https://restado.de/baustoff/industrial-strom-kabel/,Industrial strom kabel,Haustechnik & Sanitär,Elektroarbeiten,2023-03-02,,Industrial stark strom Kabel 9m,Neuwertig,135€ (VB) Paketpreis,9 lfm verfügbar,(9 lfm Mindestabnahme),D-72461 Albstadt,,{},135.0,9.0,135.0,9.0,135€ (VB) Paketpreis,9 lfm verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/05/ad780ea0-279915115_5164456563610669_3211798035419491649_n.jpg'],Industrial power cable,Wired glass,Industrial plugs,Pr_65_72_97_40,Other,Other,Power and lighting outlet products,,0.0
1856,1856,88381,https://restado.de/baustoff/philips-led-leuchte/,Philips LED-Leuchte,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,,"Sehr hochwertige Feuchtraum- / Außenkeuchte der Marke Philips. Typ: Pacific LED WT 460C LED 42S/840 PSU WB L 1300  Die Leuchte ist neu und originalverpackt. Die Länge beträgt einschließlich der Verschraubung 1321 mm. Die Lichtfarbe ist weiß (4000 lm). Sie arbeitet in einem sehr großen Temperaturbereich zwischen 45°C und -30°C und wiegt ca. 3,2 Kg.  Da ich Artikel aus meinem Privatbesitz verkaufe, schließe ich jegliche Garantieansprüche und Rücknahmen sowie die Haftung aus. Ich garantiere hierbei jedoch die Originalität aller meiner angebotenen Artikel.",Neu,100€ (VB) / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-21217 Seevetal,,"{""Verwendungszweck"": ""1543"", ""Leuchtenname"": ""Pacific LED WT 460C LED 42S/840 PSU WB L 1300"", ""Leuchtentyp"": ""Aufbauleuchte""}",100.0,10.0,100.0,10.0,100€ (VB) / Stück,10 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/01/9f2d6325-img_0280-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/924707be-img_0277-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/1fc83145-img_0286-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/014379fb-img_0283-scaled.jpg']",Philips light,Photosensitive glass,Special lamps,Pr_70_70_46_80,Other,Other,Power and lighting outlet products,,0.0
1881,1881,63806,https://restado.de/baustoff/schalter-steckdosen/,"Schalter, Steckdosen",Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1682121600000.0,"Handelsübliche Steckdosen und Lichtschalter aus vergangenen Zeiten und unterschiedlichen VDI-Epochen.... Mit neuem elektrischem ""Hinterbau"" (nach aktuellen Richtlinien!) gut geeignet zur stilgerechten Sanierung 1930er bis 1970! Abmesssungen unterschiedlich und zu finden in Regal 11/3.  Material: Kunststoff, Metall Farbe: weiß, natur Höhe: 8,00 cm Breite: 8,00 cm Länge/Tiefe: 5,00 cm Gewicht: 0,30 kg  Lieferung nach Absprache.",Neuwertig,5€ / Stück,40 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},5.0,40.0,5.0,40.0,5€ / Stück,40 Stück verfügbar,1.0,8899200000.0,,"Switches , sockets",Wired glass,Network switches,Pr_70_75_52_56,Other,Other,Power and lighting outlet products,103.0,0.0
1885,1885,63299,https://restado.de/baustoff/deckenlampe/,Deckenlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1683849600000.0,"Interessante, vermutlich mundgeblasene Deckenlampe in grau meliert (die Bänderung erinnert an Achat). Überhaupt löste die Lampe hier einige Assoziationen aus: ""wie eine Auster"" oder ""ein Häubchen"".  Material: glas Farbe: grau Höhe: 12,00 cm Gewicht: 2,00 kg  Durchmesser:: 27,00cm Lieferung nach Absprache.",Neuwertig,45€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},45.0,1.0,45.0,1.0,45€ / Stück,1 Stück verfügbar,1.0,10627200000.0,[],Ceiling lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,123.0,0.0
1889,1889,63303,https://restado.de/baustoff/deckenlampe-3/,Deckenlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-06-09,1697068800000.0,"5-armiger Leuchter aus Omas guter Stube. Das Gestell ist aus Mahagonie und die Lampenschirme haben Ornamentglas.  Material: Mahagonie/Glas Höhe: 30,00 cm Breite: 63,00 cm  Lieferung nach Absprache.",Neuwertig,30€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},30.0,1.0,30.0,1.0,30€ / Stück,1 Stück verfügbar,1.0,10800000000.0,,Ceiling lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,125.0,0.0
1890,1890,63301,https://restado.de/baustoff/deckenlampe-2/,Deckenlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1682208000000.0,"Hängelampe aus Tiffanyglas. Formschön und in dezenten Farben. Ein Klassiker!  Material: Glas/Metall Farbe: weiß/blau Höhe: 20,00 cm  Durchmesser:: 48,00cm Lieferung nach Absprache.",Neuwertig,60€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},60.0,1.0,60.0,1.0,60€ / Stück,1 Stück verfügbar,1.0,8985600000.0,,Ceiling lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,104.0,0.0
1898,1898,63347,https://restado.de/baustoff/pendelleuchte/,Pendelleuchte,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1683504000000.0,Sehr schicke Deckenpendelleuchte in einem zeitlosen Design gestaltet. Vom Pendelgestänge stehen fünf Glaskörper in Kristalloptik ab. In jeden Glasköper kann ein Leuchtmittel eingeschraubt werden. Das gute Stück findet sich im Büro.  Material: Metall/ Glass Baujahr: 1960  Lieferung nach Absprache.,Neuwertig,95€ / Gesamt,1 Gesamt verfügbar,(1 Gesamt Mindestabnahme),D-28217 Bremen,,{},95.0,1.0,95.0,1.0,95€ / Gesamt,1 Gesamt verfügbar,1.0,10281600000.0,,Pendant lamp,Wired glass,Pendant luminaires,Pr_70_70_48_62,Other,Other,Power and lighting outlet products,119.0,0.0
1901,1901,63365,https://restado.de/baustoff/wandlampe-3/,Wandlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1681862400000.0,"Diese schlichte Wandlampe ist groß und formschön. Sie ist leicht und aus Kunststoff und verbreitet Vollmondlicht in jedem Treppenhaus. Ausgebaut in St.Jürgen.  Material: Metall/Kunststoff Farbe: weiß Höhe: 14,00 cm Gewicht: 0,50 kg  Durchmesser:: 40,00cm Lieferung nach Absprache.",Neuwertig,20€ / Stück,18 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},20.0,18.0,20.0,18.0,20€ / Stück,18 Stück verfügbar,1.0,8640000000.0,,Wall lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,100.0,0.0
1902,1902,63361,https://restado.de/baustoff/wandlampe/,Wandlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1683072000000.0,"Wandlampe mit Kunststofffuß und Glasabdeckung.  Material: Kunststoff/Glas Farbe: weiß Höhe: 10,00 cm Breite: 15,00 cm Länge/Tiefe: 25,00 cm Gewicht: 0,50 kg  Im Angebot bis:: 13.02.20""2020-02-13"" Lieferung nach Absprache.",Neuwertig,15€ / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},15.0,2.0,15.0,2.0,15€ / Stück,2 Stück verfügbar,1.0,9849600000.0,,Wall lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,114.0,0.0
1903,1903,63363,https://restado.de/baustoff/wandlampe-2/,Wandlampe,Haustechnik & Sanitär,Elektroarbeiten,2023-01-09,1684195200000.0,"Nach oben leuchtende Wandschale aus rosa/grauem Marmorimitat.  Farbe: rosa/grau Höhe: 11,00 cm  Durchmesser:: 29,00cm Lieferung nach Absprache.",Neuwertig,20€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},20.0,1.0,20.0,1.0,20€ / Stück,1 Stück verfügbar,1.0,10972800000.0,,Wall lamp,Filament,Lamps,Pr_70_70_46,Other,"Floors, Ceiling",Power and lighting outlet products,127.0,0.0
