,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
986,986,97442,https://restado.de/baustoff/winkelstuetzen/,Winkelstützen,Fliesen & Steine,Betonwerkstein,2023-05-05,1688342400000.0, ,Neu,195€ / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-14089 Berlin,Hornbach,"{""Farbe"": ""Beton"", ""Bezeichnung"": ""L Steine/Winkelstützen 120/65/50""}",195.0,6.0,195.0,6.0,195€ / Stück,6 Stück verfügbar,1.0,5097600000.0,['https://restado.de/wp-content/uploads/products/2022/04/94182637-70D9-4D90-810E-81581E700693.jpeg'],Angle supports,Reinforced concrete,Plain angle supports,Pr_20_85_03_63,Other,Other,Support and restraint products,59.0,0.0
1345,1345,35866,https://restado.de/baustoff/sopro-dsf-423-dichtschlaemme-flex-2-k-set-259kg-abdichtung/,"Sopro DSF 423 DichtSchlämme Flex 2 K, SET 25+9Kg Abdichtung",Fliesen & Steine,Fliesen,2023-06-22,," Sopro DSF 423 DichtSchlämme Flex 2 K, SET 25+9Kg Abdichtung  Sopro DSF 423 DichtSchlämme Flex 2 K, SET 25+9Kg Abdichtung Dichtungschläme  Zweikomponentige, flexible, faserarmierte, wasserdampfdurchlässige, zementäre Dichtungs­schlämme. Geeignet zur Verbundabdichtung von Balkonen, Terrassen, Duschen, Waschräumen, WC-Anlagen, Schwimmbecken. Zur Abdichtung alter, fester, tragfähiger Fliesenbeläge auf Balkonen und Terrassen (Fliese auf Fliese). Zur Innenbeschichtung für Brauchwasserbehälter bis 6 m Wassertiefe. Geeignet für die Beanspruchungsklassen A und B gem. Bauregel­liste A (abP) sowie A0 und B0 gem. ZDB-Merkblatt. Im System zugelassen für Anwendungen im Schiffbau.   •Innen und außen, Wand und Boden •Wasserdampfdurchlässig •Faserarmiert •Roll-, spachtel-, streich- und spritzfähig •Mit Schiffzulassung •Chromatarm gemäß Verordnung (EG) Nr. 1907/2006, Anhang XVII •Verbrauch: ca. 1,5 kg/m² Pulver + ca. 0,5 kg/m² Dispersion je mm Trocken-Schichtdicke",Neu,85€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-46537 Dinslaken,,{},85.0,1.0,85.0,1.0,85€ (VB) / Stück,1 Stück verfügbar,0.0,,[],"Sopro Sealing Slurry Flex , +Kg sealing",Sulfur cement,Butyl rubber construction joint sealants,Pr_30_31_76_09,Other,Other,Support and restraint products,,0.0
1738,1738,65198,https://restado.de/baustoff/stuetzgriff/,Stützgriff,Haustechnik & Sanitär,Sanitär,2023-01-09,1681171200000.0,"Stützgriff für Sanitärausstattung, Wandmontage, aus Edelstahl, Durchmesser Wandhalterung 8cm. Maße- Länge: 2x83, 1x63, 1x53, 1x 33cm. -mit unterschiedlichen Preisen ausgezeichnet! Artikel steht in Regal 14.  Material: VA Farbe: silber Höhe: 13,00 cm Länge/Tiefe: 41,00 cm Gewicht: 1,00 kg  Durchmesser:: 3,00cm Lieferung nach Absprache.",Neuwertig,15€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},15.0,1.0,15.0,1.0,15€ / Stück,1 Stück verfügbar,1.0,7948800000.0,,Support handle,Lead,Support and restraint products,Pr_20_85,Other,Other,Support and restraint products,92.0,0.0
1747,1747,65265,https://restado.de/baustoff/stuetzgriff-fuer-wc/,Stützgriff für WC,Haustechnik & Sanitär,Sanitär,2023-02-19,1686960000000.0,"Ein Griff der die Benutzung eines WCs einfach macht, da eine Abstützung möglich ist. Das feststehende Griffelement wird an Wand und Boden verschraubt, bietet Sicherheit beim Toilettengang und verfügt pber eine schwenkbare Toilettenpapierrollenhalterung. Der Hersteller ist HEWI und beim verwendeten Material handelt es sich um Polyamid/Nylon/Dederon/Perlon/... -je nach Hersteller, wie BASF, IG Farben und Land wie BRD oder DDR! Die porenfreie Oberfläche ist leicht zu reinigen und weist eine angenehme Haptik auf. Artikel findet sich in Regal 14/6.  Material: Kunststoff Farbe: weiß Höhe: 85,00 cm Breite: 3,50 cm Länge/Tiefe: 87,00 cm Gewicht: 5,00 kg  Durchmesser:: 3,50cm Lieferung nach Absprache.",Neuwertig,60€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28217 Bremen,,{},60.0,1.0,60.0,1.0,60€ / Stück,1 Stück verfügbar,1.0,10195200000.0,,Support handle for toilet,Bone,Toilet roll holders,Pr_40_20_76_88,Other,Other,Support and restraint products,118.0,0.0
2256,2256,105949,https://restado.de/baustoff/steico-flex-036-gefachdaemmung/,STEICO flex 036 Gefachdämmung,Rohbau,Dämmung,2023-02-18,,"2 Packete, Original verpackt + Reste Gratis dazu  STEICO flex - Bauaufsichtlich zugelassener Wärmedämmstoff aus Holzfaser nach DIN EN 13171, mit laufender Güteüberwachung. Flexible Wärmedämmung in Dach-, Wand- und Deckenkonstruktionen und als Hohlraumdämmung bei Trennwänden, Vorsatzschalen und Installationsebenen. Eigenschaften: Rohdichte ca. 60 kg/m³, Nennwert Wärmeleitfähigkeit 0,036 W/m*K, Brandverhalten nach DIN EN 13501-1: E. Niedrigste verfügbare Wärmeleitfähigkeit bei flexiblen Holzfasermatten. Exzellente Klemmfähigkeit, hervorragende Anpassung an begrenzende Bauteile. Leichte Verarbeitung, besonders hautfreundlich. Klimaregulierend durch hohe Sorptionsfähigkeit, trägt in hohem Maße zu einem baubiologisch hervorragenden Raumklima bei. Besonders diffusionsoffen für den Schutz der Konstruktion. Unterstützt ein baubiologisch einwandfreies Wohnklima. Ökologisch, umweltverträglich und recyclingfähig.",Neu,110€ (VB) Paketpreis,2 Stück verfügbar,(2 Stück Mindestabnahme),D-68199 Mannheim,,{},110.0,2.0,110.0,2.0,110€ (VB) Paketpreis,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/05/28e17ac3-c19a5d69-d333-4f17-89a3-9a71ef723854.jpeg'],flex compartment insulation,Lightweight insulating concrete,Flexible elastomeric foam insulation,Pr_80_77_76_29,Other,Other,Support and restraint products,,0.0
2276,2276,67447,https://restado.de/baustoff/steico-flex-038/,Steico flex 038,Rohbau,Dämmung,2023-01-09,, ,Neu,25€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-26123 Oldenburg,Steico,"{""Serie"": ""Steico flex038"", ""Dicke (mm)"": ""50 mm"", ""Länge (mm)"": ""1220mm"", ""Breite (mm)"": ""575mm""}",25.0,1.0,25.0,1.0,25€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/01/e36b03a4-img_5729.jpg'],Steico flex,Poplar,Stethosets,Pr_70_75_36_84,Other,Other,Support and restraint products,,0.0
2311,2311,55239,https://restado.de/baustoff/gummiband-abdichtung-unterfuetterung-schutz-weisssehr-flexibel/,"Gummiband, Abdichtung, Unterfütterung, Schutz, weiß,sehr flexibel",Rohbau,Sonstiges,2023-01-09,,"Gummiband weiss, sehr flexibel. Breite 9,5cm. Dicke 1,5-2mm.  Für Abdichtung, Dämpfung, Unterfütterung, Schonung, Schutz, etc. geeignet 2 Rollen mit jeweils mind. 5m. Pro Rolle 7,90€. Lagerung über mehrere Jahre im luftigen, kühlen, dunklen Keller.  Für Selbstabholer und Versand (4,50€ pro Stück, 7,50€ für beide).  Keine Garantie! Keine Rücknahme!",Neu,"6,90€ / Stück",2 Stück verfügbar,(1 Stück Mindestabnahme),D-14469 Potsdam,,{},6.9,2.0,6.9,2.0,"6,90€ / Stück",2 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2020/07/b023c920-dscf6413.jpg', 'https://restado.de/wp-content/uploads/products/2020/07/821bf86e-dscf4968.jpg']","Rubber band , sealing , lining , protection , white , very flexible",Rubber,"Membranes, liners, flexible sheets and fabrics",Pr_25_57_51,"Wall, Barriers, Pannels",Other,Support and restraint products,,0.0
2376,2376,33815,https://restado.de/baustoff/steico-protect-h-60mm/,Steico Protect H 60mm,Fassade,Fassadendämmung,2023-01-09,,"Hallo, verkaufen hier unseren Restbestand an Steico Protect H 60mm Putzträgerplatten.",Neu,"17,50€ (VB) / m²",27 m² verfügbar,(1 m² Mindestabnahme),L-7333 Steinsel,Steico,"{""Material"": ""Holzfaser""}",17.5,27.0,17.5,27.0,"17,50€ (VB) / m²",27 m² verfügbar,0.0,,[],Steico Protect mm,Copal resin,Stethosets,Pr_70_75_36_84,Other,Other,Support and restraint products,,0.0
2591,2591,91430,https://restado.de/baustoff/maxit-bfx-flexfuge-25kg-zementgrau/,Maxit BFX Flexfuge 25kg Zementgrau,Innenausbau,Bodenbeläge,2023-01-09,,"Technische Daten Anwendungsbereich Fliesen- & Natursteinverlegeprodukte: Boden, Wand Artikeltyp Fliesen- & Natursteinverlegeprodukte: Fugenmörtel Ausführung Fliesen- & Natursteinverlegeprodukte: Zementmörtel Aushärtezeit begehbar nach: ca. 2 Stunden Aushärtezeit voll belastbar nach: ca. 7 Tage Eignung: Keramik, Fliesen, Spaltplatten, Betonwerkstein, Glasbaustein, Fassadenriemchen, Feinsteinzeug, Naturstein Einsatzbereich: Innen & Außen Farbe: zementgrau Flexibel: Ja Fugenbreite bis (mm): 20 Fugenbreite von (mm): 3 Gebindeart: Sack Inhalt (kg): 25 Material Basis: Zement Schnellhärtend: Ja Verarbeitungsdauer: ca. 30 Minuten Verarbeitungstemperatur bis (°C): 25 Verarbeitungstemperatur von (°C): 5  41 Sack zur Verfügung Versand möglich, Kosten kommen drauf",Neuwertig,"34,99€ / Stück",42 Stück verfügbar,(1 Stück Mindestabnahme),D-99428 Weimar,Maxit,{},34.99,42.0,34.99,42.0,"34,99€ / Stück",42 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/02/5c6fa600-maxit-bfx-flexfuge-zementgrau-rotated.jpg'],Maxit Flexfuge kg Zementgrau,Expansive concrete,Abat-voix,Pr_40_30_71_01,Other,Other,Support and restraint products,,0.0
2817,2817,122351,https://restado.de/baustoff/regupol-comfort-8/,Regupol comfort 8,Innenausbau,Estrich,2023-04-24,,,,,,,,,{},0.0,0.0,0.0,0.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/03/55901701-31A1-475F-920F-074A4BF926B2-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/03/5c92fcd9-e9f6ea5a-8b3a-401a-a547-41708230b3e9-scaled.jpeg']",Regupol comfort,Natural resin,Support and restraint products,Pr_20_85,Other,Other,Support and restraint products,,0.0
