,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
17,17,108446,https://restado.de/baustoff/holzglas/,Holz&Glas,Türen & Zargen,Außentüren,2023-01-09,,"23 Einzeltüren 910mm x 2030mm, Dreh-Kipp, Stück 150,-€ 6 Doppelelemente 1820mm x 2030mm, Dreh-Kipp, Stück 300,-€ Gesamtpreis 5.250,-€ - nur Selbstabholung. Für Neubau Carport, Wintergarten, Remise, Terrasse, Gewächshaus etc.",Neuwertig,150€ / Stück,35 Stück verfügbar,(31 Stück Mindestabnahme),D-96472 Rödental,,"{""Material Türblatt"": ""Glas"", ""Türblatt-Ausführung"": ""Gefälzt"", ""Oberfläche Türblatt"": ""Glas"", ""Material Türzarge"": ""Holz"", ""Türzargen-Art"": ""Blockzarge"", ""Türzargen-Ausführung"": ""Stumpf"", ""Oberfläche Türzarge"": ""Massivholz"", ""Farbe Türblatt"": ""Glas"", ""Farbe Türzarge"": ""Braun""}",150.0,35.0,150.0,35.0,150€ / Stück,35 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/07/6ca6ba8d-cc84026c-ce0f-4ffc-8b6f-6cc09a43303e.jpeg', 'https://restado.de/wp-content/uploads/products/2022/07/4430e5f6-bf5885ab-4695-4642-870a-5e835f6209c7.jpeg', 'https://restado.de/wp-content/uploads/products/2022/07/86ac9365-aaf33e98-c5e2-4181-b76d-74eb4e0c9585.jpeg']",Wood & Glass,Glass,Antique glass,Pr_25_71_33_03,Furnishings,Furnishings,Glass blocks and panels,,0.0
22,22,95358,https://restado.de/baustoff/hebeschiebetuer-3fach-verglast-internorm-2900-x-2375/,Hebeschiebetür 3fach verglast Internorm 2900 x 2375 inkl. Raffstor…,Türen & Zargen,Außentüren,2023-01-09,,"Wir verkaufen unsere Internorm Hebeschiebetür inklusive passender vorgesetzter Raffstore Anlagen (2 separate elektrische Raffstores für feststehendes Element und Tür, in Führungsschienen, von Warema.)  3-fach verglast, Kunststoffprofile weiß, 10 Jahre alt, top in Schuss.  Maße: 2900 x 2375mm, lichte Durchgangsbreite 1270 mm  Schiebeflügel von innen gesehen links  Führungsschiene nahezu fußbodengleich bei Bodenaufbau von 80mm  Sicherheit Beschlag in Anlehnung an WK1  Zusätzlich enthalten ist ein passend angefertigter Fliegenschutz-Rollo, öffnet innerhalb der Türöffnung von links nach rechts.",Gebraucht,1.500€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-56335 Neuhäusel,,{},1500.0,1.0,1500.0,1.0,1.500€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/04/fdb7a6c2-img_20220213_102525.jpg'],Lifting sliding door triple glazed Internorm x incl . external blinds…,Mosaic glass,External roller blinds,Pr_30_59_07_26,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,0.0
27,27,88872,https://restado.de/baustoff/automatische-alu-tueranlage-mit-fenster/,Automatische Alu-Türanlage mit Fenster,Türen & Zargen,Außentüren,2023-01-09,,"Zum MeistGebot bis Ende des Monats abzugeben:  1 × Eingang inkl. Motor, Sensor, Lichtschranke.  Maße :2,20m breit x 2,20m hoch  Oberlicht 2,20m breit x 0,70m hoch  1 x Eingangstür inkl. Motor, Sensor, Lichtschranke  Maße Türöffnung ca.1,00m , Bauteil links ca. 0,75m ,Bauteil rechts ca. 2,30m  2 × Ausgang inkl. Motor, Sensor, Lichtschranke  Maße :2,20m breit x 2,20m hoch  Oberlicht 2,20m breit x 0,70m hoch  Bei Fragen schreiben Sie uns eine Mail.  Geben Sie ein Angebot per Mail ab.  Zum selber ausbauen in 44328 Dortmund",Gebraucht,999€ (VB) / Stück,1 Stück verfügbar,(5 Stück Mindestabnahme),D-44328 Dortmund,,"{""Material Türblatt"": ""Stahl"", ""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Umfassungszarge"", ""Oberfläche Türzarge"": ""Glas""}",999.0,1.0,999.0,1.0,999€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/01/ad4e0299-img-20220110-wa0120.jpg', 'https://restado.de/wp-content/uploads/products/2022/01/824fb8fa-img-20220110-wa0121.jpg']",Automatic aluminum door system with window,Steel-aluminium alloy,Aluminium door frames,Pr_30_59_23_02,Other,"Door, Windows, Gates",Glass blocks and panels,,0.0
41,41,51717,https://restado.de/baustoff/fenster-39/,Fenster,Türen & Zargen,Außentüren,2023-01-09,,"6 wunderschöne hochwertige neue Kunststofffenster mit Sprossen im Glas und elektrischem Rolladen mit integrierten Insektenschutzgitter. Farbe innen weiß und außen anthrazitfarben.  Die Fenster sind dreifach verglast, Lärmschutz, Profil ist von Salamander und Schließsystem von Roto.  Maße: 1 m breit und 1,50 m hoch",Neu,3.300€ (VB) Paketpreis,6 Stück verfügbar,(6 Stück Mindestabnahme),D-74423 Obersontheim,,{},3300.0,6.0,3300.0,6.0,3.300€ (VB) Paketpreis,6 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2020/04/fee8afbb-4fa66919-d943-468f-9337-491bbc34da8e.jpeg.webp'],Window,Glass,Window walls,Pr_30_59_99,Openings,"Door, Windows, Gates",Glass blocks and panels,,0.0
50,50,6972,https://restado.de/baustoff/schiebetranlage-2-teilig-advantage-wei-mit-glasfllung/,Schiebetüranlage 2-teilig Advantage weiß mit Glasfüllung,Türen & Zargen,Außentüren,2023-01-09,,"Ich verkaufe eine 2-teilige Schiebetüranlage Advantage B x H: 1770 x 2010 mm bestehend aus: Schiebetür Profil Milano pulverbeschichtet in verkehrsweiß RAL 9016, Füllung in Floatglas &Aumltzeffekt 6 mm inkl. Wandanschlussleiste in RAL 9016, Einlassgriff für Milano im Senkrechtprofil Alu silber inkl. 2flg. Deckenschiene RAL 9016.  Die Anlage ist in einem sehr guten Zustand. An den beiden Türen und an den Wandanschussleisten sind keine Schrammen, Macken o.ä., weder an den Profilen noch an den Scheiben. Alles top! An der Deckenleiste befinden sich minimale normale Gebrauchsspuren.  Die zugehörige Bodenleiste ist nicht im Angebot enthalten, kann aber als Ersatzteil ohne Probleme nachgekauft werden. Es gibt versch. Schienen, je nach Bausituation. Kostet nach meiner Information inkl. Versand von Advantage ca. 130 Euro.",Gebraucht,500€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),Gebraucht,,{},500.0,1.0,500.0,1.0,500€ / Stück,1 Stück verfügbar,0.0,,[],Sliding door system -part Advantage white with glass filling,Coloured glass,Cavity sliding doorsets,Pr_30_59_24_11,Other,"Door, Windows, Gates",Glass blocks and panels,,0.0
118,118,124658,https://restado.de/baustoff/ladentuere-autom-2-tlg-glas-2m-breit-22m-hoch/,"Ladentüre Autom. 2 tlg. Glas 2m breit 2,2m hoch",Türen & Zargen,Sonstiges,2023-04-21,,Baujahr 12/2020,Neuwertig,1.500€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-85276 Pfaffenhofen an der Ilm,Tormax,{},1500.0,1.0,1500.0,1.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/04/d14171df-img_0683-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/04/5ec9ad5a-img_0686-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/04/35d6a31c-img_0682-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/04/bc3390c7-img_0684-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/04/d31e7347-img_0681-scaled.jpeg']",Shop door automatic -piece glass m wide .m high,Prismatic glass,Glass fibre-reinforced plastics (GRP) doorsets,Pr_30_59_24_34,Other,"Door, Windows, Gates",Glass blocks and panels,,0.0
132,132,108532,https://restado.de/baustoff/balkonschiebetuer/,Balkonschiebetür,Türen & Zargen,Sonstiges,2023-01-09,, ,Neu,1.800€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-53347 Alfter,Fenster Hai,{},1800.0,1.0,1800.0,1.0,1.800€ / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/07/90bea148-87b124f8-9cf3-40dd-85cb-8e52d420d589.jpeg'],Sliding balcony door,Mosaic glass,Electric sliding door mechanisms,Pr_30_36_59_27,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,0.0
133,133,103986,https://restado.de/baustoff/glas-trennwand/,glas trennwand,Türen & Zargen,Sonstiges,2023-01-09,,Wir verkaufen die abgebildeten Glastrennwände nebst Türen. Alles in einem TOP-Zustand.  Fachgerechter Ausbau und Barzahlung vor Ort wird voraugesetzt.,Gebraucht,2.160€ (VB) Paketpreis,18 Stück verfügbar,(18 Stück Mindestabnahme),D-40699 Erkrath,,{},2160.0,18.0,2160.0,18.0,2.160€ (VB) Paketpreis,18 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/05/21716295-img_5236.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/a37d94c0-img_5239.jpg']",glass partition,Glass,Partition screens,Pr_25_71_57_61,Other,Other,Glass blocks and panels,,0.0
139,139,84227,https://restado.de/baustoff/promat-brandschutztuermodul-stahl-glas-din-r/,"Promat Schallschutztürmodul, Tür mit Zarge, Stahl/Glas (inkl. Aus…",Türen & Zargen,Sonstiges,2023-03-01,,Schallschutztür inkl. Ausbau  Eigenschaften  Farbe: Anthrazitgrau   Zargentyp: Blockzarge  Schlossart: Profizylinderschloss  DIN-Richtung: DIN R  Türband Typ: Zweiteilig  Oberflächenart: Glas Oberfläche  Stärke Türblatt: 80 mm  Zusatzinformationen: T 30 - RS  Garnitur Ausführung: Rosettengarnitur  Lichte Durchgangshöhe: 2160 mm  Lichte Durchgangsbreite: 1215 mm  Ausbau voraussichtlich ab Januar 2022 möglich.,Gebraucht,1.250€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Promat,{},1250.0,2.0,1250.0,2.0,1.250€ (VB) / Stück,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/e3536cf2-promat-brandschutztürmodul-stahl-glas-din-r-scaled.jpg'],"Promat soundproof door module , door with frame , steel/glass incl.…",Safety glass,Door frame protectors,Pr_30_36_33_21,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,0.0
155,155,83958,https://restado.de/baustoff/glastuer-din-r/,Glastür DIN R,Türen & Zargen,Sonstiges,2023-01-09,,Eigenschaften  Bekleidungsaußenhöhe: 2270 mm  Bekleidungsaußenbreite: 1020 mm  Lichte Durchgangshöhe: 2220 mm  Lichte Durchgangsbreite: 940 mm  Wandstärke: 70 mm  Stärke Türblatt: 8 mm  Zargentyp: Eckzarge  DIN-Richtung: DIN R,Gebraucht,60€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},60.0,6.0,60.0,6.0,60€ (VB) / Stück,6 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/4c7b6e7a-glastür-din-l-scaled.jpg'],Glass door,Glass,Frameless glass door leaves,Pr_30_59_23_32,Openings,"Door, Windows, Gates",Glass blocks and panels,,0.0
