,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
523,121693,https://restado.de/baustoff/fenster-139/,Fenster,Fenster,Aussenfenster,2023-01-09,1673395200000.0,,,,,,,,,,,,,,,1.0,172800000.0,['https://restado.de/wp-content/uploads/products/2023/03/fab2997a-img_20230228_124702-scaled.jpg'],Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,2.0,
524,121116,https://restado.de/baustoff/schueco-fenster-3/,Schüco Fenster,Fenster,Aussenfenster,2023-01-26,1678838400000.0,Kostenlos Angebot andorden.,Neu,1€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-28219 Bremen,Schüco,"{""Anschlag"": ""DIN Rechts"", ""Material Fensterflügel"": ""Kunststoff"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""Weiß"", ""U-Wert"": ""1,1""}",1.0,1.0,1.0,1.0,1€ (VB) / Stück,1 Stück verfügbar,1.0,4147200000.0,['https://restado.de/wp-content/uploads/products/2023/02/bd0591b3-0e1235d6-2909-456f-9fd6-74c7bd00b422-scaled.jpeg'],Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,48.0,0.0
525,120984,https://restado.de/baustoff/kneer-suedfenster-18-holz-alu-fenster-schiebehebetueren/,Kneer Südfenster - Holz Alu Fenster / Hebeschiebetüren neu,Fenster,Aussenfenster,2023-04-29,1683158400000.0,"Ich habe meinen Werkvertrag mit Bien Zenker Fertighaus gekündigt. Da die Planung schon sehr weit fortgeschritten war, wurden die Fenster bereits gefertigt. Deshalb verkaufe ich nun 18 Holz Alu Fenster und Schiebehebetüren von Kneer Südfenster. Ausserdem noch Resysta Fassadenprofile und 2 Velux Dachfenster. Die Fenster und Materialien sind im Moment noch bei Bien Zenker in Schlüchtern gelagert und könnten dort auch besichtigt werden. Bei Interesse kann ich Ihnen eine Auflistung mit den Maßen schicken.",Neu,18€ (VB) Paketpreis,18 Stück verfügbar,(18 Stück Mindestabnahme),D-36381 Schlüchtern,Kneer Südfenster,"{""Material Fensterflügel"": ""Holz Alu"", ""Farbe Fensterflügel"": ""innen weiß, außen anthrazitgrau"", ""Verglasungs-Art"": ""3-fach"", ""Material Fensterrahmen"": ""Holz Alu"", ""Farbe Fensterrahmen"": ""innen weiß, außen anthrazitgrau""}",18.0,18.0,18.0,18.0,18€ (VB) Paketpreis,18 Stück verfügbar,1.0,432000000.0,['https://restado.de/wp-content/uploads/products/2023/02/4f146176-kneer-logo2.png'],Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,5.0,0.0
526,120941,https://restado.de/baustoff/fenster-138/,Fenster,Fenster,Aussenfenster,2023-01-09,1677888000000.0,"Maße: Terrassentüre: 2,03 x 1,05 m  Fenster (klar): 1,15 x 1,08 m 2mal verfügbar 1,27 x 1,17 m 1,07 x 1,15 m 1,27 x 1,17m 2mal verfügbar  Noch andere Größen verfügbar   Fenster (geribbelt)  1,02 x 1,15 m 2mal verfügbar  2 -Fach Verglasung",Gebraucht,100€ (VB) / Stück,12 Stück verfügbar,(1 Stück Mindestabnahme),D-42657 Solingen,Deutscher Hersteller ,"{""Anschlag"": ""DIN Links"", ""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Weiss"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Drehflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""Weiss""}",100.0,12.0,100.0,12.0,100€ (VB) / Stück,12 Stück verfügbar,1.0,4665600000.0,['https://restado.de/wp-content/uploads/products/2023/02/ec79768c-5e4bb29b-596e-482b-a64a-5a9e025f6a75-scaled.jpeg'],Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,54.0,0.0
527,120918,https://restado.de/baustoff/fenster-137/,Fenster,Fenster,Aussenfenster,2023-08-31,1697760000000.0,"Doppelflügeliges Kuststofffenster mit Isolierglas. Rahmenmaße: Breite = 1,60 m Höhe = 1,40 m  beide Flügel können geöffnet und schräg gestellt werden. Das Fenster ist gebraucht aber in sehr gepflegten Zustand. Besichtigung nach Terminabsprache möglich.",Gebraucht,90€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-44789 Bochum,Kömmerling,"{""Element-Breite"": ""1,60"", ""Element-Höhe"": ""1,40"", ""Farbe Fensterflügel"": ""Weiß"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""2-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""Weiß""}",90.0,1.0,90.0,1.0,90€ (VB) / Stück,1 Stück verfügbar,1.0,4320000000.0,['https://restado.de/wp-content/uploads/products/2023/02/56b5117c-img_20220911_103725-scaled.jpg'],Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,50.0,0.0
528,120750,https://restado.de/baustoff/kunststoff-fenster-zweifach-verglast/,Kunststoff-Fenster zweifach verglast,Fenster,Aussenfenster,2023-01-09,1677628800000.0,"9 Kunststoff-Fenster doppelverglast, BJ 2010 in verschiedenen Größen abzugeben. 6 Fenster davon mit elektrischem Rollladen:  Mit elektrischem Rollladen: - 2x B 1,90 x H 1,50, je 190 € - 1x B 1,90 x H 1,27, 170 € - 1x B 2,00 x H 1,35, 190 € - 1x B 1,30 x H 1,25 150 € - 1x B 1,30 x H 1,26, 150 €  Ohne elektrischen Rollladen: - 1x B 3,00 x H 1,22, 190 € - 1x B 2,00 x 1,15, 150 € - 1x B 1,15 x 1,22, 100 €  Außerdem: 1x zweiflügelige Terrassentür B1,50 x 2,15, 290 €",Gebraucht,150€ (VB) / Stück,10 Stück verfügbar,(1 Stück Mindestabnahme),D-91126 Schwabach,,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Weiss"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Kippflügel"", ""Ausführung"": ""Teilweise 2- und 1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff""}",150.0,10.0,150.0,10.0,150€ (VB) / Stück,10 Stück verfügbar,1.0,4406400000.0,"['https://restado.de/wp-content/uploads/products/2023/02/83434b37-ee49f2e8-1468-4774-810f-fc0ca978cb88-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/d1b5ce35-bc594aa6-f9b1-49ff-8d4e-d1233c30955b-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/5d16821a-wfcctlurqztrgaaaabjru5erkjggg.png', 'https://restado.de/wp-content/uploads/products/2023/02/48ce0e8e-d524d543-9b1a-4738-81e7-a086b428529e-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/b996be95-3b31f714-7c2c-4190-81b8-27aefd6e300d-scaled.jpeg']",Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,51.0,0.0
529,120230,https://restado.de/baustoff/teba-fenster-kunststoff/,Teba Fenster Kunststoff,Fenster,Aussenfenster,2023-01-09,1677196800000.0,"Hier noch ein paar Informationen, da das Formular zum Anlegen nicht einwandfrei auf dieser Seite funktioniert.  - Drehkipp-Fenster Kunsstoff, 2-fach verglast, DIN Rechts - Breite: 1470 mm, Höhe 1290 mm - Ug = 1,1 W/m²K  Neuwert war ca. 600 €. Fenster wurden im Jahr 2008 eingebaut.",Gebraucht,180€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-66625 Nohfelden,Teba,"{""Anschlag"": ""DIN Rechts"", ""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Nussbaum"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""Nussbaum"", ""U-Wert"": ""1,1""}",180.0,1.0,180.0,1.0,180€ (VB) / Stück,1 Stück verfügbar,1.0,3974400000.0,"['https://restado.de/wp-content/uploads/products/2023/02/cc864030-20230211_1151001-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/17f6e8dc-20230211_1151361-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/7a0712f7-20230211_1152291-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/9a439e00-20230211_1214041-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/b6f24c54-20230211_1152141-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/338f3ef7-20230211_1214281-scaled.jpg']",Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,46.0,0.0
530,120115,https://restado.de/baustoff/drutex-fenster-ink-aufsatz-rollladen/,Drutex Fenster ink . Aufsatz Rollladen,Fenster,Aussenfenster,2023-01-09,1677369600000.0,Verkaufen wie neu Fenster    Auch andere Maßen vorhanden  Bei Interesse bitte melden,Neuwertig,400€ (VB) / Stück,8 Stück verfügbar,(1 Stück Mindestabnahme),D-40880 Ratingen,Drutex,"{""Farbe Fensterflügel"": ""Weiss"", ""Verglasungs-Art"": ""3-fach"", ""Ausführung"": ""1-flügelig"", ""Farbe Fensterrahmen"": ""Weiss"", ""U-Wert"": ""0,73-0,77 w/m2k""}",400.0,8.0,400.0,8.0,400€ (VB) / Stück,8 Stück verfügbar,1.0,4147200000.0,"['https://restado.de/wp-content/uploads/products/2023/02/e7c73b65-3c25165b-ecea-4688-9a17-be8dcc3fe006.png', 'https://restado.de/wp-content/uploads/products/2023/02/57191d0a-7f34fdb8-8a91-4e45-a060-3957e4a92415-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/b1c46ffd-580ae2be-3f9a-4485-85eb-53051b0da6a4.png']",Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,48.0,0.0
531,119960,https://restado.de/baustoff/gaulhofer-glasline-aussen-alu-schale-holz-laerche-7-fenster-in-versch-massen/,Gaulhofer Glasline Außen : Schale/ Holz Lärche - Fenster in …,Fenster,Aussenfenster,2023-04-08,1684281600000.0,"Design: Gaulhofer Glasline Außen: ALU Schale 90 mm pulverbeschichtet RAL 6005M moosgrün matt Innen: Holz Lärche, Kompaktlasur Verglasung: S-Polar ES 24 4 / 12G / 8B  Uw 1,2 W/m²K Ug 1,0 W/m²K g-Wert 61% Tl 79% Rw 36 dB  1-flg. Fenster DK-R 670 x 780 mm  3-flg. Fenster DK-L,DK-L, DK-R Teilung 1/3 2954 x 1180 mm  2-flg. Fenster DK-L, Pfosten, DK-R Teilung 1/2 1514 x 1176 mm  1-flg. Fenster DK-L, ALU Rolladenführung 38/41 für Panzer 14 30 mm eingerückt 1000 x 1198 mm  2-flg. Fenster DK-L, Pfosten, DK-R Teilung 1/2 2094 x 1196 mm  2-flg. Fenster DK-L, Pfosten, DK-R Teilung 1/2 2094 x 1202 mm  1-flg. Fenster DK-L, ALU Rolladenführung 38/41 für Panzer 14 30 mm eingerückt 1000 x 1200 mm",Neu,1€ (VB) / Stück,7 Stück verfügbar,(1 Stück Mindestabnahme),D-50859 Köln,Gaulhofer Glasline,"{""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""Außen: ALU Schale 90 mm pulverbeschichtet RAL 6005M moosgrün matt Innen: Holz Lärche, Kompaktlasur"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1 - 3-flügelig"", ""Material Fensterrahmen"": ""Holz"", ""Farbe Fensterrahmen"": ""Außen: ALU Schale 90 mm pulverbeschichtet RAL 6005M moosgrün matt Innen: Holz Lärche, Kompaktlasur"", ""U-Wert"": ""1,2 W/m²K""}",1.0,7.0,1.0,7.0,1€ (VB) / Stück,7 Stück verfügbar,1.0,3369600000.0,['https://restado.de/wp-content/uploads/products/2023/02/2f9b23b1-img_2284-scaled.jpg'],Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,39.0,0.0
532,119839,https://restado.de/baustoff/fenster-internorm/,Fenster Internorm,Fenster,Aussenfenster,2023-01-09,1677888000000.0,"Maße der Fenster: 2 Fenster à 245 x 145,5 cm Tür: 95 x 200 cm Fenster einfach: 121 x 108 cm",Gebraucht,25€ (VB) / Stück,4 Stück verfügbar,(1 Stück Mindestabnahme),D-82166 Gräfelfing,Internorm,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""weiß"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Kunststoff"", ""Farbe Fensterrahmen"": ""weiß""}",25.0,4.0,25.0,4.0,25€ (VB) / Stück,4 Stück verfügbar,1.0,4665600000.0,"['https://restado.de/wp-content/uploads/products/2023/02/c6393a6f-fenster-11-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/fc90d4cf-fenster-1-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/a265ab98-fenster-1-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/82ca8441-fenster-1-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2023/02/7eea679e-fenster-1-scaled.jpeg']",Pisé,Arrises,Pr_35_90_43_04,"Wall, Barriers, Pannels","Door, Windows, Gates",Treads and landing units,54.0,0.0
