,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
473,121913,https://restado.de/baustoff/gebrauchte-dachfenster-velux-6-x-gpl-608-1-x-ggl-104/,"gebrauchte Dachfenster Velux x , x",Fenster,Dachfenster,2023-01-09,1677715200000.0,"Die 6 GPL 608 haben 5 Star-Qualität und ein Schloß, desweiteren verfügen 2 Fenster über Außenrollläden mit Band und zwei weitere über einen Doppeleindeckrahmen mit dem diese direkt nebeneinander installiert werden können. Die Außenrollläden kosten extra.  Desweiteren habe ich noch ein Fenster GGL 104 (55x98cm) ebenfalls in 5-Star-Qualität und mit Schloß.  Alle Fenster können noch eingebaut besichtigt werden. Der Ausbau erfolgt im Rahmen einer Dachsanierung nach Ostern 2023.",Gebraucht,250€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-63768 Hösbach,Velux,"{""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""Holz Natur"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Klapp-Schwingfenster"", ""Material Aussenabdeckung"": ""Stahl"", ""Farbe Aussenabdeckung"": ""Braun"", ""Fensterbreite (cm)"": ""114"", ""Fensterhöhe (cm)"": ""140""}",250.0,6.0,250.0,6.0,250€ (VB) / Stück,6 Stück verfügbar,1.0,4492800000.0,['https://restado.de/wp-content/uploads/products/2023/03/e48791e1-p1070307-scaled.jpg'],Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,52.0,0.0
474,119190,https://restado.de/baustoff/lichtkuppel-lamilux/,Lichtkuppel Lamilux,Fenster,Dachfenster,2023-01-09,1677715200000.0,Die Lichtkuppel wurde 09/2022 eingebaut und 12/22 auf Grund brandschutzgegebener Vorschriften wieder ausgebaut. Durch Ein- und Ausbau leichte Gebrauchsspuren,Neuwertig,420€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-12247 Berlin,Lamilux,{},420.0,1.0,420.0,1.0,420€ / Stück,1 Stück verfügbar,1.0,4492800000.0,['https://restado.de/wp-content/uploads/products/2023/01/9d702417-lamilux-datenblatt-rotated.jpg'],Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,52.0,0.0
475,117092,https://restado.de/baustoff/velux-innenfutter-fuer-flachdachfenster-lsf-090090-neu-2st/,"Velux Innenfutter für Flachdachfenster , neu , St",Fenster,Dachfenster,2023-01-09,1676332800000.0, ,Neuwertig,440€ (VB) Paketpreis,2 Stück verfügbar,(2 Stück Mindestabnahme),D-60389 Frankfurt am Main,Velux,"{""Material Fensterflügel"": ""Kunststoff"", ""Fensterbreite (cm)"": ""90"", ""Fensterhöhe (cm)"": ""90""}",440.0,2.0,440.0,2.0,440€ (VB) Paketpreis,2 Stück verfügbar,1.0,3110400000.0,['https://restado.de/wp-content/uploads/products/2022/12/3923af26-444eb816-3b9f-43cb-bb30-cd1debaa9818-scaled.jpeg'],Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,36.0,0.0
476,111981,https://restado.de/baustoff/roto-r8-klapp-schwingfenster-aus-kunststoff-anthrazit-740x1180-dreifachverglast/,Roto Klapp-Schwingfenster aus Kunststoff Anthrazit x Dr…,Fenster,Dachfenster,2023-01-09,1677715200000.0,"Moin,  wir verkaufen ein noch ungeöffnetes und somit neues Roto R8 Dachfenster. Es ist während des Neubaus durch die spontane Umplanung übrig geblieben.  Das Dachfenster hat die Maße 740/1180 mm ist dreifachverglast (comfort 9G) und kann gerne vor Ort geöffnet und geprüft werden.  Neupreis des Fensters beträgt 1.500€. Bitte daher nur ernstgemeinte Preisanfragen.  Anbei der Link zum Roto Shop:  https://www.roto-store.de/dachfenster/r8-klapp-schwingfenster/43512/roto-designo-r8-aus-kunststoff?number=ROTO632229&c=114  Viele Grüsse",Neu,1€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-23829 Kükels,Roto,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Anthrazit"", ""Verglasungs-Art"": ""3-fach"", ""Öffnungsart"": ""Klapp-Schwingfenster"", ""Material Aussenabdeckung"": ""Kunststoff"", ""Fensterbreite (cm)"": ""74"", ""Fensterhöhe (cm)"": ""118""}",1.0,1.0,1.0,1.0,1€ (VB) / Stück,1 Stück verfügbar,1.0,4492800000.0,"['https://restado.de/wp-content/uploads/products/2022/08/b60ee2de-rotowdfr8kwd-roto-designo-r8-aus-kunststoff-2_600x600.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/92d57afc-16610754671678648445345571918152-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/6aa4707e-16610755071843236482868172931127-scaled.jpg']",Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,52.0,0.0
477,108425,https://restado.de/baustoff/velux-hitzeschutzmarkise-tageslicht/,Velux Hitzeschutzmarkise Tageslicht,Fenster,Dachfenster,2023-01-09,1677024000000.0,"Wegen falscher Lieferung abzugeben: 4 Stück Velux Hitzeschutzmarkisen ""Tageslicht"" für Fenstergröße PK06 (118x94cm) inkl. Zubehör und Funkfernbedienung. Antrieb mit Solarmodul, keine Zuleitung erforderlich. Waren 2 Monate bei gutem Wetter eingebaut bis die richtigen Markisen geliefert wurden. Nur etwas staubig, sonst wie neu. Schützt vor Hitze durch Sonneneinstrahlung macht aber icht ganz dunkel; Fenster kann trotzdem gut geöffnet werden. Alle Infos https://www.veluxshop.de/produkte/velux-rollo/hitzeschutzmarkisen",Neuwertig,250€ (VB) / Stück,4 Stück verfügbar,(1 Stück Mindestabnahme),D-72622 Nürtingen,Velux,"{""Fensterbreite (cm)"": ""94 (PK06)"", ""Fensterhöhe (cm)"": ""118 (PK06)""}",250.0,4.0,250.0,4.0,250€ (VB) / Stück,4 Stück verfügbar,1.0,3801600000.0,['https://restado.de/wp-content/uploads/products/2022/07/2a564c4f-5f42-4c29-87c4-e259880e4f3c.jpg'],Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,44.0,0.0
478,97285,https://restado.de/baustoff/velux-dachfenster-2/,Velux Dachfenster,Fenster,Dachfenster,2023-01-09,1678060800000.0, ,Neu,900€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-42799 Leichlingen,Velux,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Weiss"", ""Material Aussenabdeckung"": ""Kunststoff"", ""Fensterbreite (cm)"": ""78"", ""Fensterhöhe (cm)"": ""118""}",900.0,6.0,900.0,6.0,900€ (VB) / Stück,6 Stück verfügbar,1.0,4838400000.0,[],Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,56.0,0.0
479,88504,https://restado.de/baustoff/flachdach-lucken/,Flachdach Lucken,Fenster,Dachfenster,2023-01-09,1677628800000.0, ,Neu,430€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-53332 Bornheim,,"{""Material Fensterflügel"": ""Kunststoff""}",430.0,2.0,430.0,2.0,430€ (VB) / Stück,2 Stück verfügbar,1.0,4406400000.0,"['https://restado.de/wp-content/uploads/products/2022/01/5c8c0cf1-27d3f5a7-e5cb-4b94-aca8-895929e46e77-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2022/01/f2edd22d-c9a2fd37-c413-4cd7-8aff-c669da90ecc2-scaled.jpeg', 'https://restado.de/wp-content/uploads/products/2022/01/99326843-f7788113-b741-471a-b389-d917a29d7220-scaled.jpeg']",Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,51.0,0.0
480,83335,https://restado.de/baustoff/velux-wohn-und-ausstiegsfenster-gxu-0060/,Velux Wohn- und Ausstiegsfenster,Fenster,Dachfenster,2023-01-09,1677110400000.0, ,Neu,500€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-12623 Berlin,Velux,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""Grau"", ""Öffnungsart"": ""Austiegsfenster"", ""Material Aussenabdeckung"": ""Aluminium"", ""Fensterbreite (cm)"": ""66"", ""Fensterhöhe (cm)"": ""118""}",500.0,1.0,500.0,1.0,500€ (VB) / Stück,1 Stück verfügbar,1.0,3888000000.0,['https://restado.de/wp-content/uploads/products/2021/10/e9deefb1-img_20210928_120357-scaled.jpg'],Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,45.0,0.0
481,83109,https://restado.de/baustoff/dachschraegenfenster/,Dachschrägenfenster,Fenster,Dachfenster,2023-01-09,1673827200000.0,,,,,,,,,,,,,,,1.0,604800000.0,"['https://restado.de/wp-content/uploads/products/2021/11/543923dc-20211030_110443-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/11/3117ceac-20211030_110517-scaled.jpg']",Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,7.0,
482,82590,https://restado.de/baustoff/lichtband-kirchenkamp-bci/,Lichtband Kirchenkamp,Fenster,Dachfenster,2023-01-09,1676160000000.0,"Kirchenkamp Lichtband Typ BCI, wärmebrückenfrei,  Verglasung mit mehrschaligen Polycarbonat-Hohlkammerprofilen Ug-Wert Verglasung 1,5 W/m²K  Breite 2,00 m x Länge 4,90 m mit Aufsatzkranz RAL 9002 und Motoröffner  Neupreis 2012 pro Stück 3.500 € brutto  Achtung: Ausbau und Transport muss in eigener Verantwortung erfolgen - keinerlei Gewährleistung und/oder Rücknahme!",Gebraucht,1.000€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-77654 Offenburg,,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": ""RAL 9002"", ""Material Aussenabdeckung"": ""Kunststoff"", ""Farbe Aussenabdeckung"": ""RAL 9002"", ""Fensterbreite (cm)"": ""200"", ""Fensterhöhe (cm)"": ""490""}",1000.0,2.0,1000.0,2.0,1.000€ (VB) / Stück,2 Stück verfügbar,1.0,2937600000.0,['https://restado.de/wp-content/uploads/products/2021/09/edc8009f-img-20210924-wa0008.jpg'],Architectural glass,Roofing swags,Pr_20_29_88_75,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,34.0,0.0
