,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
19,19,97730,https://restado.de/baustoff/kompotherm-aluminiumhaustuer-neu/,KOMPOtherm Aluminiumhaustür ***NEU**,Türen & Zargen,Außentüren,2023-01-09,1676332800000.0,"Modell: E 316, vollkomen verdecktliegende Türbänder Maße: 1100 x 2100 mm, DIN Links Glas: Safe-Therm, Lavaflow auf Schwarzglasapplikation, erhellt die Farbbrillianz des Glases durch Zimmerbeleuchtung von innen. Oberfläche: Farbe 673 Silbergrau Feinstruktur bds. Schloss: 7-fach Verriegelung Türgriff: Aussen Edelstahl Länge 500 mm Innen: Drücker Edelstahl Zylinder: Sicherheits-und Türzylinder mit Not- u. Gefahrenfunktion, 5 Schlüssel HIGHTLIGHT: DIGITALE KAMERA MIT LCD MONITOR ( DIGITALE LINSE ) NP: 8.674,00 EUR  Die Haustür ist NEU! Fragen: 01716121600  Kann im Umkreis von Lampertheim gegen Entgeld gebracht werden.",Neu,3.600€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-68623 Lampertheim,,"{""Anschlag"": ""DIN Links"", ""Farbe Türblatt"": ""673 Silbergrau Feinstruktur"", ""Farbe Türzarge"": ""673 Feinstruktur""}",3600.0,1.0,3600.0,1.0,3.600€ (VB) / Stück,1 Stück verfügbar,1.0,3110400000.0,"['https://restado.de/wp-content/uploads/products/2022/05/57a00ce1-img_3273.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/98c36248-img_3270.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/b7832f0e-img_3302.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/45fa598f-img_3267.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/55b5e4c1-img_3272.jpg']",KOMPOtherm aluminum front door * * * * *,Aluminium,Aluminium doorsets,Pr_30_59_24_02,"Wall, Barriers, Pannels","Door, Windows, Gates",Prefabricated buildings and structures,36.0,0.0
257,257,126473,https://restado.de/baustoff/altbautuer/,Altbautür,Türen & Zargen,Zimmertüren,2023-04-08,,schöner Glaseinsatz historisch und unbeschädigt in allen drei Türen,Gebraucht,1€ (VB) / Stück,3 Stück verfügbar,(1 Stück Mindestabnahme),D-13158 Berlin,Historisch,"{""Material Türblatt"": ""Holz"", ""Anschlag"": ""DIN Rechts"", ""Türblatt-Ausführung"": ""Stumpf"", ""Oberfläche Türblatt"": ""Massivholz"", ""Material Türzarge"": ""Holz"", ""Schlossart"": ""Buntbart"", ""Farbe Türblatt"": ""weiß""}",1.0,3.0,1.0,3.0,,,0.0,,['https://restado.de/wp-content/uploads/products/2023/05/28b57f2a-tueren.png'],Old building door,Architectural glass,Door knockers,Pr_30_36_33_22,"Roof, Slabs, Stairs","Door, Windows, Gates",Prefabricated buildings and structures,,0.0
316,316,77479,https://restado.de/baustoff/yeld-wen-fertigtuer-optima-10/,Yeld Wen Fertigtür Optima 10,Türen & Zargen,Zimmertüren,2023-01-09,, ,Neu,100€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40549 Düsseldorf,,{},100.0,1.0,100.0,1.0,100€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/06/256afcc9-2daf9caa-9e11-4ebd-a633-f1da96751cf0-scaled.jpeg'],Yeld Wen Optima prefabricated door,Spandrel glass,Door protection panels,Pr_35_90_43_20,Other,"Door, Windows, Gates",Prefabricated buildings and structures,,0.0
405,405,6450,https://restado.de/baustoff/6-tren-im-altbaustil/,6 Türen im Altbaustil,Türen & Zargen,Zimmertüren,2023-01-16,,"Biete 6 Türen im Altbaustil.  Gekauft im September 2016. Unbenutzt, zum großen Teil noch originalverpackt.  Neupreis pro Tür: 165 Euro  3 Türen mit den folgenden Angaben: 2110x860mm DIN L Rundkante TB Typ 20/02B Weiß  3 Türen mit den folgenden Angaben 2110x860mm DIN R Rundkante TB Typ 20/02B Weiß  3 der Türen wurden vom Händler unten leicht zugeschnitten (1cm). Leider kann ich nicht sagen, welche.  Biete die Türen nur an Selbstabholer. Auch Einzelabnahme möglich.  Privatverkauf. Mit anderen Worten: Der Verkauf erfolgt unter Ausschluss jeglicher Gewähr­leistung/Ich schließe jede Haftung für Sachmängel aus. Keine Rücknahme. Keine Garantie. Aber die Türen sind neu und unbenutzt (außer dem Zuschnitt bei drei der Türen).  Preis pro Tür: 120 Euro  Der Preis für alle Türen: 700 Euro",Neu,120€ / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),Neu,,{},120.0,6.0,120.0,6.0,120€ / Stück,6 Stück verfügbar,0.0,,[],doors in old building style,Architectural glass,Wood doorsets,Pr_30_59_24_97,"Roof, Slabs, Stairs","Door, Windows, Gates",Prefabricated buildings and structures,,0.0
606,606,86723,https://restado.de/baustoff/prentzel-holzfenster/,Prentzel-Holzfenster,Fenster,Aussenfenster,2023-01-09,1676332800000.0,"Fenster war ca. 5 Monate lang verbaut und wurde wegen Umbau auf Balkontür wieder ausgebaut. Fenster hat Gebrauchsspuren aber keine Schäden. Griff gibt es zum Fenster inkl. Evtl. sind auch noch Holz-Deckleisten im Fundus gegen geringen Aufpreis vorhanden. Holzart Fichte Nußbaum lasiert. Das Baujahr ist 2013, aber Fenster wurde seit dem Ausbau dunkel und trocken gelagert. Für die Fotos haben wir das Fenster kurz auf den Hof gestellt, als es geregnet hat.  Die Scheibe ist Klarglas und des Fenster steht jetzt wieder dunkel und trocken.",Gebraucht,120€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-34132 Kassel,Prentzel-Holzfenster,"{""Anschlag"": ""DIN Rechts"", ""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""braun / Nußbaum"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Holz"", ""Farbe Fensterrahmen"": ""braun / Nußbaum"", ""U-Wert"": ""Ug 1.1 4-16-4 klar""}",120.0,1.0,120.0,1.0,120€ (VB) / Stück,1 Stück verfügbar,1.0,3110400000.0,['https://restado.de/wp-content/uploads/products/2021/11/48ddc80b-pxl_20211126_132306864-scaled.jpg'],Prentzel wooden windows,Sheet glass,Wood window walls,Pr_30_59_99_96,Other,"Door, Windows, Gates",Prefabricated buildings and structures,36.0,0.0
613,613,86762,https://restado.de/baustoff/prentzel-holzfenster-2/,Prentzel-Holzfenster,Fenster,Aussenfenster,2023-01-09,1675900800000.0,Fenster ist von einem Premium-Hersteller aus Nordhessen (Kein Polenfenster). Das Baujahr 1997. Fenster war die ganze Zeit dunkel und Trocken gelagert.   Fenster wurde ursprünglich mit falschem Maß gefertigt. Fenster war noch nie verbaut.  Zu dem Fenster ist der Griff inkl. Verschiedene Deckleisten können gegen kleinen Aufpreis dazu gegeben werden.,Neuwertig,120€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-34132 Kassel,Prentzel-Holzfenster,"{""Anschlag"": ""DIN Rechts"", ""Element-Breite"": ""97,0cm"", ""Element-Höhe"": ""145,5cm"", ""Material Fensterflügel"": ""Holz"", ""Farbe Fensterflügel"": ""weiß"", ""Verglasungs-Art"": ""2-fach"", ""Öffnungsart"": ""Dreh-/Kippflügel"", ""Ausführung"": ""1-flügelig"", ""Material Fensterrahmen"": ""Holz"", ""Farbe Fensterrahmen"": ""weiß""}",120.0,1.0,120.0,1.0,120€ (VB) / Stück,1 Stück verfügbar,1.0,2678400000.0,['https://restado.de/wp-content/uploads/products/2021/11/626e3060-pxl_20211126_133452588-scaled.jpg'],Prentzel wooden windows,Sheet glass,Wood window walls,Pr_30_59_99_96,Other,"Door, Windows, Gates",Prefabricated buildings and structures,31.0,0.0
656,656,77335,https://restado.de/baustoff/neuwertige-fenster-internorm-neubau/,"Neuwertige Fenster (Internorm), Neubau",Fenster,Aussenfenster,2023-01-09,1677628800000.0,"Wir verkaufen unsere Fenster (um die 25 Stück) der Firma Internom (Studio Line) aus unserem Rohbau (2020 errichtet) in neuwertigem Zustand. Unser Haus muss leider rückgebaut werden. Teilweise sind Lüfter in den Fenstern verbaut im Sinne einer dezentralen Be- und Entlüftung. Wärmedämmwert: 0.87 W/m2K Schallschutz: 34 dB Sichherheitsstandard: RC1N Alu-Kunststofffenster: innen weiß, außen RAL7021  Zwei Hebe-Schiebe Türen und mehrere größere Panoramafenster Die Fenster müssten selbst ausgebaut und transportiert werden. Preis ist VHB, gerne Preisvorschlag.",Neuwertig,0€ (VB) / Stück,25 Stück verfügbar,(1 Stück Mindestabnahme),D-84032 Altdorf,Internorm,"{""Material Fensterflügel"": ""Kunststoff"", ""Farbe Fensterflügel"": "" weiß"", ""Verglasungs-Art"": ""3-fach"", ""Farbe Fensterrahmen"": ""RAL 7021""}",0.0,25.0,0.0,25.0,0€ (VB) / Stück,25 Stück verfügbar,1.0,4406400000.0,['https://restado.de/wp-content/uploads/products/2021/06/a46ef756-20210331_092243-scaled.jpg'],"New windows Internorm , new building",Architectural glass,Steel window walls,Pr_30_59_99_83,"Roof, Slabs, Stairs","Door, Windows, Gates",Prefabricated buildings and structures,51.0,0.0
929,929,79406,https://restado.de/baustoff/2-neue-moderne-holz-alu-schiebetueren-fa-josko/,2 neue moderne Holz/Alu Schiebetüren Fa Josko,Fenster,Sonstiges·,2023-01-09,1678406400000.0,"die Schiebetüren wurden im falschen Maß geliefert. Sie stehen original verpackt beim Fensterbauer Höpp, in der Nähe von Dachau Maße BxH 3,77m x 2,19m Im Anhang ist ein Foto von den Daten des Fensters  https://www.josko.com/de/produkte/fenster/",Neu,4.500€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-85221 Dachau,"Firma Josko, Österreich","{""Materialart"": ""Holz/Alu"", ""Farbe"": ""weiß/anthrazit""}",4500.0,2.0,4500.0,2.0,4.500€ (VB) / Stück,2 Stück verfügbar,1.0,5184000000.0,['https://restado.de/wp-content/uploads/products/2021/07/71fe1224-foto-schiebetuer-2.jpg'],new modern wood/aluminum sliding doors from Josko,Architectural glass,Wood doorsets,Pr_30_59_24_97,Other,"Door, Windows, Gates",Prefabricated buildings and structures,60.0,0.0
1025,1025,51823,https://restado.de/baustoff/beton-recycling-45-90/,Beton FSS 0/45,Fliesen & Steine,Betonwerkstein,2023-01-09,1677196800000.0,Lieferung ist auch möglich - Preis nach Anfrage und Entfernung.,Neuwertig,9€ (VB) / Tonnen,2.000 Tonnen verfügbar,(1 Tonnen Mindestabnahme),D-99947 Bad Langensalza,,{},9.0,2000.0,9.0,2000.0,9€ (VB) / Tonnen,2.000 Tonnen verfügbar,1.0,3974400000.0,"['https://restado.de/wp-content/uploads/products/2022/05/56e2021d-fss-0-45.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/9008f437-fss-0-45-nah.jpg']",Concrete /,Concrete,Concretes,Pr_20_31_16,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,46.0,0.0
1027,1027,50754,https://restado.de/baustoff/pflastersteine-platten-bordsteine-aussenverkleidungselemente-zaunelemente-mastkappen/,"Pflastersteine, Platten, Bordsteine, Außenverkleidungselemente, Za…",Fliesen & Steine,Betonwerkstein,2023-01-09,1677024000000.0,"DER GENUSS, IM TREND ZU SEIN  Der Traverstone Dekorationsstein ist ein neues Produkt, das Designern hilft, völlig neue und einzigartige Projekte zu schaﬀen. Das Dekorieren mit diesem Material verleiht der Umwelt Eleganz, Harmonie und Stil. Unsere vibrationsgepressten Produkte haben eine bis zu dreimal so hohe Beständigkeit wie der gegossene Beton.",Neu,"27,50€ (VB) / m²",1.200 m² verfügbar,(100 m² Mindestabnahme),24 Monate Gewährleistung,,{},27.5,1200.0,27.5,1200.0,"27,50€ (VB) / m²",1.200 m² verfügbar,1.0,3801600000.0,"['https://restado.de/wp-content/uploads/products/2020/04/4bb6b0ba-adg.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/224d98d3-ghjk.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/ce0888b1-desalin-c-nanosilv.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/6ce407d9-fyujh.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/1e362e14-kmjnbv.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/85741487-decorativa.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/7ee63f6c-traverstone-60x30x3-cm.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/b6a2b515-frum.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/29964e97-alta.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/b276e8b6-asedrfg.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/b9778a94-pas-japonez.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/57fbc5b6-th.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/a7cfaa76-jhg.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/473bb1d9-thumbnail.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/80f44e7f-uhg.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/86d102c1-traverston-lo.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/dac4f596-athos-bun.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/5d9765ba-tot-asa.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/2f51c699-dfgh.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/202ed40b-art-brick.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/02810fe9-colorat.jpg.webp', 'https://restado.de/wp-content/uploads/products/2020/04/7242cd6a-orion-cv.jpg.webp']","Paving stones , slabs , curbs , exterior cladding elements , tiles…",Concrete,Natural stone paving slabs,Pr_25_93_60_58,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,44.0,0.0
