,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
3108,110598,https://restado.de/baustoff/mauerabdecksteine/,Mauerabdecksteine,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1680998400000.0,Mauerabdecksteine (31 Stk.) : > Breite: 50cm / Länge: 65cm > Farbe: grau > Neupreis pro Stein: 117€ / Gesamtneupreis: 3.627€ > Gewicht pro Stein: 43kg > ein Stein hat einen kleinen Katschen (siehe Foto)  Pfeilerabdecksteine (2 Stk.) : > Breite: 50cm / Länge: 50cm > Farbe: grau > Neupreis pro Stein: 130€ / Gesamtneupreis: 260€ > Gewicht pro Stein: 46kg  -> Besonderheit: die Steine sind alle NEU,Neuwertig,1.980€ (VB) Paketpreis,33 Stück verfügbar,(33 Stück Mindestabnahme),D-51467 Bergisch Gladbach,,"{""Bezeichnung"": ""Mauerabdecksteine"", ""Länge (cm)"": ""65"", ""Breite (cm)"": ""50""}",1980.0,33.0,1980.0,33.0,1.980€ (VB) Paketpreis,33 Stück verfügbar,1.0,7776000000.0,"['https://restado.de/wp-content/uploads/products/2022/08/396188aa-img_7060-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/08/b8a3a90e-img_7055-scaled.jpg']",Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,90.0,0.0
3109,106620,https://restado.de/baustoff/mediterran-garten-bau-ruinen-mauer-ziegel-gelb-alte-klinker-back-steine-antik-feldbrand-handstrich/,Mediterran Garten Bau Ruinen Mauer Ziegel gelb alte Klinker Back St…,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1682812800000.0,"Wir bieten die außergewöhnliche und einmaligen Gartengestaltung.  Unsere original historischen Klinker stammen vom Rückbau über 100 Jahre alter Gebäude.   Teils neu errichtete Einfamilienhäuser bekommen eine Innen oder Außengestaltung, die einer alten, über 100 Jahre alten Ziegelwand täuschend echt ähnelt.  Das tolle daran: Ihr Projekt ist komplett klimaneutral, da ein bereits verbauter Baustoff wieder verwendet wird.   Ständig große Mengen an unserem Bergelager, sofort transport- und abholfertig  Eine Palette, mit 216 Steinen kostet 259 EUR, incl. MwSt.  passgenaues Angebot bei Angabe der Wunschmeng sowie PLZ, innerhalb von 24 h.  Viele weiter historische Baustoffe an unserem Bergelager.  Antik-Stein auf allen bekannten social media Kanälen",Gebraucht,259€ / Palette,20 Palette verfügbar,(1 Palette Mindestabnahme),D-06120 Halle (Saale),,{},259.0,20.0,259.0,20.0,259€ / Palette,20 Palette verfügbar,1.0,9590400000.0,"['https://restado.de/wp-content/uploads/products/2022/06/6fa1d06c-espitas-mela-2013-2.jpg', 'https://restado.de/wp-content/uploads/products/2022/06/dd46c396-kl-gl-halle-6-22.jpg', 'https://restado.de/wp-content/uploads/products/2022/06/97d4a6f3-kl-gl-in-reihe-am-lager.jpg']",Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,111.0,0.0
3110,105417,https://restado.de/baustoff/antik-ziegel-klinker-back-mauer-steine-feldbrand-handstrich-klosterformat-mauerwerk-rustikal-retro/,Antik Ziegel Klinker Back Mauer Steine Feldbrand Handstrich Kloster…,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1681084800000.0,"Die original historischen Mauersteine aus dieser Bergekampagne stammen vom selektiven Rückbau einer alten Papiermühle, Nähe Luckenwalde, bei Berlin.  Alter mindestens 150 Jahre, teils min. 230 Jahre.  Klosterformat, im Mix mit jüngeren, etwas schmaleren Steinen.  Maße Klosterformater: 29x15x8,5 cm, schmalere teils nur 6,5-7,5 cm.  Sorgfältig beim Rückbau aus einem teils aus Reichsformat (ab 1870) Errichtetem Mauerwerk heraussortiert.   Preis für den gesamten Posten mit unikatem Charakter 3 Palette je ca. 200 Stck.  Bezugnahme auf Art-Nr: Zg rt Kloster Lucke 20  Transportkosten auf Anfrage.  Antik-Stein auch auf Facebook, Pinterest & youtube  Page: baustoffe-antik.de",Gebraucht,1.000€ / Paket,1 Paket verfügbar,(1 Paket Mindestabnahme),D-06120 Halle (Saale),Antik-Stein,{},1000.0,1.0,1000.0,1.0,1.000€ / Paket,1 Paket verfügbar,1.0,7862400000.0,"['https://restado.de/wp-content/uploads/products/2022/05/be653ddb-kloster-lucke-20-4.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/16d7b00f-auf-der-baustelle-text.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/817cd4e3-mehr-ref-auf-baust-antik-17.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/7e249670-knoll-fruehjahr-2015-6.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/9bb29ad1-vk-p44-a-kl-rt-h2o-u-dieskauer-17.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/9a2ee329-kloster-lucke-20.jpg']",Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,91.0,0.0
3111,105114,https://restado.de/baustoff/zaunpfosten-ral-605-feuerverzinkt/,"Zaunpfosten , feuerverzinkt",Garten & Freianlagen,Zaun & Mauersysteme,2023-03-04,1686787200000.0,"6/5/6 Ral 6005, grün  Gesamthöhe Pfosten 1,40 mit Abdeckleisten  geeignet für Drahtmatten von 83 cm Zaunhöhe",Gebraucht,50€ Paketpreis,5 Stück verfügbar,(5 Stück Mindestabnahme),D-50859 Cologne,Zaun-experten,{},50.0,5.0,50.0,5.0,50€ Paketpreis,5 Stück verfügbar,1.0,8899200000.0,"['https://restado.de/wp-content/uploads/products/2022/05/ab014b50-screenshot_20220502-191819_firefox.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/fadd8aca-20220518_180825.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/2e3d89c6-20220502_190844.jpg', 'https://restado.de/wp-content/uploads/products/2022/05/eb727d28-20220518_180844.jpg']",Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,103.0,0.0
3112,93906,https://restado.de/baustoff/joniec/,Joniec,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1682985600000.0,"BlockZaun ist ein bewahrtet Lieferant.  Unsere langjährige Zusammenarbeit mit führenden Herstellern ermöglicht es uns, eine breite Palette von Produkten im Bereich der Fechtsysteme anzubieten.   In Angebot:  Dichtklebstoff für Zaun und Steinblöcke, Fertigteile. Ein Bindemittel zum Kleben und Abdichten von Zaun- und Steinblöcken sowie Fertigteilen. Starker, einkomponentiger Polyurethankleber / Dichtstoff. Sehr gute Haftung auf Beton, Ziegel, Metall und vielen anderen Untergründen.    Erhältlich in Paketen:  300 ml Kartusche  Mfg, BlockZaun Team",Neu,6€ (VB) / Stück,3.000 Stück verfügbar,(50 Stück Mindestabnahme),12 Monate Gewährleistung,Joniec,{},6.0,3000.0,6.0,3000.0,6€ (VB) / Stück,3.000 Stück verfügbar,1.0,9763200000.0,"['https://restado.de/wp-content/uploads/products/2022/03/5b3eff01-screenshot_20220331-204407_facebook.jpg', 'https://restado.de/wp-content/uploads/products/2022/03/aa120fa3-screenshot_20210815-172054_facebook.jpg', 'https://restado.de/wp-content/uploads/products/2023/03/3fae957e-klebe.jpg', 'https://restado.de/wp-content/uploads/products/2022/03/9b7930e3-screenshot_20210915-091745_samsung-internet.jpg', 'https://restado.de/wp-content/uploads/products/2022/03/d9ae70b4-screenshot_20211116-155724_samsung-internet.jpg']",Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,113.0,0.0
3113,87571,https://restado.de/baustoff/mauerstein-mauerblock/,"Mauerstein , Mauerblock",Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1682812800000.0,"BlockZaun ist ein bewahrtet Lieferant.  Unsere langjährige Zusammenarbeit mit führenden Herstellern ermöglicht es uns, eine breite Palette von Produkten im Bereich der Fechtsysteme anzubieten. Wir verkaufen modische Fechtsysteme aus Betonblock.   In Angebot:  BH20 Pfeilerblock / großer Mauerblock  Grosse 504x200x200 mm  Lieferzeit 4 bis 5 Wochen  Verschiedene Farben - Grafit, Marengo, Onyx, Platinum, Pyrit und NEU Farbe NERO  - passende Abdeckung fur Mauersteine  Weisst du nicht, wieviel Stuck brauchst du? Kein Problem. Bitte eine Nachricht schreiben, wir helfen gern unverbindlich!  Mfg, BlockZaun Team",Neu,"8,75€ (VB) / Stück",10.000 Stück verfügbar,(200 Stück Mindestabnahme),D-04435 Schkeuditz,BlockZaun,{},8.75,10000.0,8.75,10000.0,"8,75€ (VB) / Stück",10.000 Stück verfügbar,1.0,9590400000.0,"['https://restado.de/wp-content/uploads/products/2021/12/42d55b00-e47b077b673fd1286bd5cf87917b5ead.jpg', 'https://restado.de/wp-content/uploads/products/2022/03/d91c1077-screenshot_20210815-172546_facebook.jpg', 'https://restado.de/wp-content/uploads/products/2021/12/4458f0cd-bloczki-ogrodzeniowe-gladkie-roma-horizon-schemat_bh20.jpg', 'https://restado.de/wp-content/uploads/products/2022/03/fba210c6-screenshot_20210815-172054_facebook.jpg', 'https://restado.de/wp-content/uploads/products/2021/12/024cd7f4-musterzaun-04435-radefeld-1.png', 'https://restado.de/wp-content/uploads/products/2022/03/d6e48a31-grosse.jpg', 'https://restado.de/wp-content/uploads/products/2021/12/ccef55fb-e75e5f21b2abb47276341e7f89982b99-removebg-preview.png', 'https://restado.de/wp-content/uploads/products/2021/12/9edb94be-4c3658b08acf4d9342270d2d567186b8.jpg']",Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,111.0,0.0
3114,83516,https://restado.de/baustoff/flachstahlgelaender-gelaender-12050m-stabgelaender-ausgebaut/,"Flachstahlgeländer Geländer , m , Stabgeländer ausgebaut",Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1683849600000.0,"Preis pro lfm = 100€  Höhe: 1129 mm Länge: 12050 mm Stärke: 60 mm  Handlauf: Ja  Montageart: mit Stahlträger verschweißt  Beschichtung: Rostschutzanstrich, Brillux 99.00.51 Bodenfreiheit: 261 mm Einsatzbereich: außen  Strebenabstand: 261 mm Anordnung der Streben: horizontal",Gebraucht,100€ / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},100.0,1.0,100.0,1.0,100€ / Stück,1 Stück verfügbar,1.0,10627200000.0,['https://restado.de/wp-content/uploads/products/2021/10/b167521d-flachstahlgelaender-gelaender-12050m-stabgelaender-ausgebaut.jpg'],Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,123.0,0.0
3115,80663,https://restado.de/baustoff/doppelstabmattenzaun-stahl-verzinkt/,Doppelstabmattenzaun Stahl verzinkt,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1683417600000.0,"Doppelstabmattenzaun Höhen: 1250mm, 1400mm Breite 2500mm Maschenweite 200x50",Gebraucht,60€ (VB) / Stück,30 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},60.0,30.0,60.0,30.0,60€ (VB) / Stück,30 Stück verfügbar,1.0,10195200000.0,['https://restado.de/wp-content/uploads/products/2021/08/c4a9372a-zaun-scaled.jpg'],Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,118.0,0.0
3116,79643,https://restado.de/baustoff/mauerabdeckung-flachdach-sandstein-fensterbank-trittstufe/,Mauerabdeckung flachdach Sandstein Fensterbank Trittstufe,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1684540800000.0,"Flache Mauerabdeckung aus hellem Sandstein: Flachdach; Die Oberfläche gesägt und geschliffen; Die Kanten sind 45° schräg gefräst; Mit Wasserabtropfnut auf beiden langen Seiten.  Die FESTE Preise sind wie folgt: 1000x400x50 mm für 95€ (inkl. MwSt.) pro St. 1000x450x50 mm für 107€ (inkl. MwSt.) pro St. 1000x500x50 mm für 119€ (inkl. MwSt.) pro St.  Selbstabholung in 40229 Düsseldorf oder Lieferung auf Anfrage möglich!  Wenn Sie Interesse haben - kann ich 2 St. Musterplatten 200x100x20 mm per Hermes oder DHL gegen 12€ Musterpauschale verschicken.  Material: Es handelt sich hierbei um hochqualitativen, frostsicheren Naturstein. Der Farbton reicht von ganz hellgrau bis dunkelbeige mit braunen Adern.  Lagerverkauf: Dillenburger Weg 50, 40229 Düsseldorf (immer Freitags zwischen 14.00 und 17.00)  Wir sind unter 0178-8299083 erreicthbar.  Mehr Info finden Sie hier: http://sandstein-rusava.de",Neu,107€ / Stück,20 Stück verfügbar,(1 Stück Mindestabnahme),D-40229 Düsseldorf,Sandstein Rusava ,{},107.0,20.0,107.0,20.0,107€ / Stück,20 Stück verfügbar,1.0,11318400000.0,"['https://restado.de/wp-content/uploads/products/2021/07/1e8f3ead-20201020_153443-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/07/5eee666b-20201020_153351-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/07/2b640f8c-20201023_171156-scaled.jpg']",Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,131.0,0.0
3117,75632,https://restado.de/baustoff/edelstahlgelaender/,Edelstahlgeländer,Garten & Freianlagen,Zaun & Mauersysteme,2023-01-09,1673222400000.0, ,Gebraucht,400€ Paketpreis,2 Stück verfügbar,(2 Stück Mindestabnahme),D-50858 Cologne,,{},400.0,2.0,400.0,2.0,400€ Paketpreis,2 Stück verfügbar,0.0,0.0,"['https://restado.de/wp-content/uploads/products/2021/05/2616c5c8-1abb9499-4485-4ced-ace3-dc1fd9c8bd4c_1_105_c.jpeg', 'https://restado.de/wp-content/uploads/products/2021/05/fa363ee5-fac35ebe-b90f-4d16-9276-6466159c0a2c_1_105_c.jpeg', 'https://restado.de/wp-content/uploads/products/2021/05/3e16df05-9c9ccfa4-7cf8-4b8a-bc56-ad1257707468_1_105_c.jpeg']",Lignite,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,0.0,0.0
