,Unnamed: 0,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,Title_en,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
24,24,93817,https://restado.de/baustoff/stahlsickentuer-hoermann-weiss-inkl-zarge-guter-zustand/,"Stahlsickentür Hörmann, weiß, inkl. Zarge, guter Zustand",Türen & Zargen,Außentüren,2023-01-09,,"- Die Zarge ist neu, inkl. Dichtung - Die Tür hat zwei kleine Dellen (s. Fotos), ansonsten neuwertig - Inkl. Schlüssel",Neuwertig,250€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-64739 Höchst im Odenwald,Hörmann,"{""Material Türblatt"": ""Stahl"", ""Material Türzarge"": ""Stahl"", ""Türzargen-Art"": ""Umfassungszarge"", ""Schlossart"": ""Profilzylinder"", ""Farbe Türblatt"": ""weiß"", ""Farbe Türzarge"": ""weiß""}",250.0,1.0,250.0,1.0,250€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/03/6348decf-img_41821-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/03/cd14e2cd-img_41812-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/03/85efe981-img_41801-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2022/03/6735ab20-img_41832-scaled.jpg']","Hörmann steel beaded door , white , including frame , good condition",Structural steel,Stainless steel door frames,Pr_30_59_23_84,Other,"Door, Windows, Gates",Shaft-lining products,,0.0
46,46,32791,https://restado.de/baustoff/fsb-drueckerlochteil-06-1016-ovale-rosette-edelstahl/,"FSB Drückerlochteil 06 1016, Ovale Rosette, Edelstahl",Türen & Zargen,Außentüren,2023-01-09,,Biete hier 26 x FSB Drückerlochteil 06 1016 (NEU)  - siehe Bilder,Neu,30€ (VB) / Stück,26 Stück verfügbar,(4 Stück Mindestabnahme),D-38112 Braunschweig,,{},30.0,26.0,30.0,26.0,30€ (VB) / Stück,26 Stück verfügbar,0.0,,[],"handle hole part , oval rosette , stainless steel",Stainless steel,Stainless steel coping units,Pr_25_93_54_85,Other,Other,Shaft-lining products,,0.0
117,117,126578,https://restado.de/baustoff/ovp-tuerklinke-der-marke-hoppe-rosetten-garnitur-edelstahl-matt/,OVP Türklinke der Marke Hoppe. Rosetten-Garnitur. Edelstahl matt,Türen & Zargen,Sonstiges,2023-04-20,,"Zum Verkauf stehen insgesamt 11 originalverpackte Klinken der Marke Hoppe.  Es handelt sich um Drückergarnituren des Modells Amsterdam E1400Z/42KV/42KVS in mattem Edelstahl.  Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Form: rund Rosetten-Durchschnitt: 52 mm Schildstärke: 8 mm für Türstärke: 37-42 mm  Die Rosetten-Garnituren sind nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können das passende Türblatt der Marke Prüm sowie die entsprechende grundierte Stahlzarge (Farbe noch anpassbar) dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.",Neu,10€ (VB) / Stück,11 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Hoppe,{},10.0,11.0,10.0,11.0,,,0.0,,['https://restado.de/wp-content/uploads/products/2023/05/276087a2-image00004-scaled.jpeg'],Original door handle from the Hoppe brand . Rosette set . Matt stainless steel,Stainless steel,Stainless steel doorsets,Pr_30_59_24_85,Other,Other,Shaft-lining products,,0.0
174,174,83803,https://restado.de/baustoff/hoermann-schallschutztuer-stahl-din-r-141cm/,"Hörmann Schallschutztür Stahl DIN R, 141cm",Türen & Zargen,Sonstiges,2023-01-09,,"Eigenschaften  Zargentyp: Blockzarge  Schlossart: Profizylinderschloss  Wandstärke: 145 mm  DIN-Richtung: DIN R  Türband Typ: Zweiteilig  Zusatzinformationen: T30-RS, mit Drücker  Garnitur Ausführung: Rosettengarnitur  Bekleidungsaußenhöhe: 2910 mm  Bekleidungsaußenbreite: 1410 mm",Gebraucht,1.000€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},1000.0,1.0,1000.0,1.0,1.000€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/5a1eb417-hörmann-brandschutztür-stahl-din-r-141cm-scaled.jpg'],"Hörmann soundproof door steel , cm",Structural steel,Steel noise barrier panels,Pr_25_71_50_87,Other,"Door, Windows, Gates",Shaft-lining products,,0.0
175,175,83798,https://restado.de/baustoff/hoermann-schallschutztuer-stahl-din-l-136cm/,"Hörmann Schallschutztür Stahl DIN L, 136cm",Türen & Zargen,Sonstiges,2023-01-09,,"Eigenschaften  Zargentyp: Blockzarge  Schlossart: Profizylinderschloss  Wandstärke: 185 mm  DIN-Richtung: DIN L  Türband Typ: Zweiteilig  Zusatzinformationen: T30-RS, mit Knauf  Garnitur Ausführung: Rosettengarnitur  Bekleidungsaußenhöhe: 2880 mm  Bekleidungsaußenbreite: 1360 mm",Gebraucht,1.000€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,,{},1000.0,1.0,1000.0,1.0,1.000€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/99797e17-hörmann-brandschutztür-stahl-din-l-136cm-scaled.jpg'],"Hörmann soundproof door steel , cm",Structural steel,Steel noise barrier panels,Pr_25_71_50_87,Other,"Door, Windows, Gates",Shaft-lining products,,0.0
176,176,83814,https://restado.de/baustoff/hoermann-schallschutztuer-stahl-weiss-din-l-90cm/,"Hörmann Schallschutztür Stahl weiß DIN L, 90cm",Türen & Zargen,Sonstiges,2023-03-06,,Eigenschaften  Zargentyp: Umfassungszarge  Schlossart: Profizylinderschloss  Wandstärke: 100 mm  DIN-Richtung: DIN L  Türband Typ: Zweiteilig  Zusatzinformationen: T90-RS  Garnitur Ausführung: Rosettengarnitur  Bekleidungsaußenhöhe: 2080 mm  Bekleidungsaußenbreite: 900 mm,Gebraucht,1.000€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Hörmann,{},1000.0,1.0,1000.0,1.0,1.000€ (VB) / Stück,1 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/1176c53a-hörmann-brandschutztür-stahl-weiss-din-l-90cm-scaled.jpg'],"Hörmann soundproof door steel white , cm",Chrome steel,Steel noise barrier panels,Pr_25_71_50_87,Other,"Door, Windows, Gates",Shaft-lining products,,0.0
181,181,83644,https://restado.de/baustoff/hoermann-schallschutztuer-stahl-din-r-150cm/,"Hörmann Schallschutztür Stahl DIN R, 150cm",Türen & Zargen,Sonstiges,2023-01-09,,Eigenschaften  Zargentyp: Blockzarge  Schlossart: Profizylinderschloss  Wandstärke: 300 mm  DIN-Richtung: DIN R  Türband Typ: Zweiteilig  Zusatzinformationen: T30-RS  Garnitur Ausführung: Rosettengarnitur  Bekleidungsaußenhöhe: 2515 mm  Bekleidungsaußenbreite: 1500 mm,Gebraucht,1.000€ (VB) / Stück,1 Stück verfügbar,(1 Stück Mindestabnahme),D-40213 Düsseldorf,Hörmann,{},1000.0,1.0,1000.0,1.0,1.000€ (VB) / Stück,1 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/10/5537d5e8-schallschutztür-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/10/6ac0aadc-schallschutztüre-scaled.jpg']","Hörmann soundproof door steel , cm",Structural steel,Steel noise barrier panels,Pr_25_71_50_87,Other,"Door, Windows, Gates",Shaft-lining products,,0.0
204,204,78463,https://restado.de/baustoff/hafi-objektbeschlag-auf-rundrosette-edelstahl-8-mm-blindrosette/,"Zimmertürschlosskasten SAG Edelstahl, DIN R",Türen & Zargen,Sonstiges,2023-01-09,,"Zimmertürdrücker-Paar in Edelstahl der Fa. Hafi mit Blindrosette.  Design: 203 Serie: vermutlich Speed Line, jedoch Drückerlänge 130 mm Klassifizierung: Klasse 3",Neuwertig,50€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-70327 Stuttgart,HAFI,{},50.0,2.0,50.0,2.0,50€ (VB) / Stück,2 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2021/07/f544a73a-20210422_174635-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2021/07/daac72cc-20210422_175709-scaled.jpg']","Room door lock case stainless steel ,",Stainless steel,Stainless steel doorsets,Pr_30_59_24_85,Other,"Door, Windows, Gates",Shaft-lining products,,0.0
250,250,126547,https://restado.de/baustoff/ovp-pruem-tuerblatt-schallschutz-2110x985mm-bohrungen/,OVP Prüm Türblatt Schallschutz. 2110x985mm. Bohrungen,Türen & Zargen,Zimmertüren,2023-04-22,,"Zum Verkauf stehen insgesamt 2 originalverpackte Türblätter der Marke Prüm mit integriertem Schallschutz von 32 dB.  Die Türen enthalten bereits Bohrungen für einen Gleittürschließer (TS91, TS92 B , TS92 B Basic, TS93 EMR, TS 99 FL N Normalmontage, TS99 FLR/K Normalmontage, G-U BIVIS XE A, TS71, TS72, TS73 V, TS73 EMF, TS89, TS5000, TS3000).  Es handelt sich um CPL (Continuous Pressure Laminate) und mit dem ECO-Label zertifizierte Türblätter in Weißlack-Optik. Details zu den Eigenschaften des Materials erhalten Sie auf der Website der PRÜM Türenwerk GmbH.  Die Maße sowie weitere Informationen können der folgenden Auflistung entnommen werden:  Blattfarbe: RAL 9016 Anschlag: links Schallschutz: 32 dB Türbänder: silber Kantenausbildung: Kunststoffkante, Normalfalz, Rundpost-Kr (Postforming nur bis TB Dicke 48,5 | Aufdeck < 21,5) Einleimer: sichtbar Bandflügelteil 3-tlg. Vernickelt PZ-Schloss KL3 55mm Dom silberfarbig  Breite (Rohbaumaße): 1,010 m Höhe (Rohbaumaße): 2,135 m Breite (Rohbaumaße): 0,900 m  Breite 985 mm Höhe: 2110 mm Dicke: 39 Wandstärke 12,5 cm  Die Türblätter sind nach vorheriger Absprache in Rostock Brinckmansdorf abzuholen.  Da es sich um den Verkauf von Restbeständen handelt, wird die Ware unter Ausschluss jeglicher Gewährleistung verkauft. Außerdem ist eine Rücknahme oder der Umtausch der Ware ausgeschlossen.  AUFGEPASST: Sie können die passende grundierte Stahlzarge (Farbe noch anpassbar) und eine silberfarbene Klinke der Marke Hoppe dazu erwerben. Schauen Sie dafür gern bei unseren anderen Anzeigen vorbei. Beim Kauf eines Sets (Türblatt, Zarge und Klinke) kann ein Rabatt von 5% gewährleistet werden.  Bei den Bildern handelt es sich um beispielhafte Türen der gleichen Farbe, der gleichen Maße und des gleichen Herstellers.",Neu,100€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,Prüm Türenwerk GmbH,"{""Material Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Anschlag"": ""DIN Links"", ""Türblatt-Ausführung"": ""Normalfalz, Rundpost-Kr"", ""Oberfläche Türblatt"": ""CPL (Continuous Pressure Laminate)"", ""Schlossart"": ""PZ-Schloss KL3 35mm Dom silberfarbig"", ""Farbe Türblatt"": ""Weißlack RAL 9016"", ""Türblatt-Breite"": ""985mm"", ""Türblatt-Höhe"": ""2110mm""}",100.0,2.0,100.0,2.0,,,0.0,,"['https://restado.de/wp-content/uploads/products/2023/05/bcc4db3a-tuer-schallschutzbohrung.png', 'https://restado.de/wp-content/uploads/products/2023/05/9df2274a-image00009-scaled.jpeg']",Prüm door leaf sound insulation . xmm . drilling,Brass,Sound insulation gypsum plasterboards,Pr_25_71_35_80,Other,Other,Shaft-lining products,,0.0
291,291,84772,https://restado.de/baustoff/tuergriffe/,Türgriffe mit PZ-Langschild Jugendstil Nickel matt für Profilzyli…,Türen & Zargen,Zimmertüren,2023-01-09,,Türgriff mit PZ-Langschild Jugendstil Nickel matt für Profilzylinder,Neu,480€ Paketpreis,6 Stück verfügbar,(6 Stück Mindestabnahme),D-22765 Hamburg,,{},480.0,6.0,480.0,6.0,480€ Paketpreis,6 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2021/10/c07bdf5c-image-scaled.jpg'],Door handles with long plate Art Nouveau matt nickel for profile cylinder…,Nickel steel,Door lever handle sets,Pr_30_36_59_25,Other,Other,Shaft-lining products,,0.0
