,UBP_Total,UPB_Fabrication,UBP_Élimination,REN_Total,REN_Total fabrication,REN_Valorisé sous forme énergétique fabrication,REN_Valorisé sous forme de matière fabrication,REN_Élimination,NREN_Total,NREN_Total fabrication,NREN_Valorisé sous forme énergétique fabrication,NREN_Valorisé sous forme de matière fabrication,NREN_Élimination,GES_Total,GES_Fabrication,GES_Élimination,Contenu dans le produit,Travaux de préparation,material_emb
0,1300000.0,1140000.0,167000.0,129.0,120.0,120.0,0.0,9.02,2120.0,1870.0,1870.0,0.0,248.0,861.0,801.0,60.5,0.0,"Blindage de fouille, paroi parisienne, étayé",Rubble concrete
1,1230000.0,1070000.0,167000.0,114.0,105.0,105.0,0.0,9.02,1940.0,1690.0,1690.0,0.0,248.0,821.0,761.0,60.5,0.0,"Blindage de fouille, paroi parisienne, flottant",In situ concrete
2,846000.0,735000.0,111000.0,103.0,96.9,96.9,0.0,5.96,1390.0,1230.0,1230.0,0.0,164.0,535.0,495.0,40.0,0.0,"Blindage de fouille, paroi parisienne, fixe",Rubble concrete
3,188000.0,164000.0,24300.0,22.5,21.2,21.2,0.0,1.31,297.0,261.0,261.0,0.0,35.9,121.0,112.0,8.78,0.0,"Blindage de fouille, paroi clouée",Rubble concrete
4,436000.0,397000.0,39000.0,107.0,105.0,105.0,0.0,2.13,874.0,817.0,817.0,0.0,57.6,270.0,256.0,14.2,0.0,"Blindage de fouille, paroi berlinoise, en porte-à-faux",
5,305000.0,282000.0,22800.0,46.6,45.4,45.4,0.0,1.23,637.0,603.0,603.0,0.0,33.8,187.0,178.0,8.26,0.0,"Blindage de fouille, paroi berlinoise, étayé",
6,319000.0,292000.0,26400.0,45.4,44.0,44.0,0.0,1.42,641.0,602.0,602.0,0.0,39.0,197.0,187.0,9.54,0.0,"Blindage de fouille, paroi berlinoise, fixe",
7,777000.0,693000.0,84200.0,88.9,84.4,84.4,0.0,4.54,1160.0,1040.0,1040.0,0.0,124.0,423.0,393.0,30.3,0.0,"Blindage de fouille, paroi moulée, 400 mm",Rubble concrete
8,1380000.0,1210000.0,166000.0,168.0,159.0,159.0,0.0,8.94,2080.0,1840.0,1840.0,0.0,245.0,809.0,749.0,59.8,0.0,"Blindage de fouille, paroi moulée, 800 mm",Rubble concrete
9,287000.0,285000.0,1690.0,44.2,44.1,44.1,0.0,0.0868,732.0,727.0,727.0,0.0,4.16,169.0,168.0,1.06,0.0,"Blindage de fouille, paroi de palplanche, en porte-à-faux",Rubble concrete
10,162000.0,161000.0,926.0,24.3,24.3,24.3,0.0,0.0475,412.0,410.0,410.0,0.0,2.28,95.7,95.1,0.58,0.0,"Blindage de fouille, paroi de palplanche, étayé",Rubble concrete
11,321000.0,315000.0,5450.0,53.2,53.0,53.0,0.0,0.289,793.0,783.0,783.0,0.0,10.0,187.0,185.0,2.49,0.0,"Blindage de fouille, paroi de palplanche, fixe",Rubble concrete
12,52500.0,52500.0,0.0,8.28,8.28,8.28,0.0,0.0,110.0,110.0,110.0,0.0,0.0,31.4,31.4,0.0,0.0,"Fondations profondes, micropieu ",Coarse aggregates
13,258000.0,258000.0,0.0,28.4,28.4,28.4,0.0,0.0,367.0,367.0,367.0,0.0,0.0,163.0,163.0,0.0,0.0,"Fondations profondes, pieu coulé sur site, 700 mm",Rubble concrete
14,377000.0,377000.0,0.0,43.8,43.8,43.8,0.0,0.0,505.0,505.0,505.0,0.0,0.0,244.0,244.0,0.0,0.0,"Fondations profondes, pieu coulé sur site, 900 mm",Rubble concrete
15,579000.0,579000.0,0.0,69.2,69.2,69.2,0.0,0.0,751.0,751.0,751.0,0.0,0.0,379.0,379.0,0.0,0.0,"Fondations profondes, pieu coulé sur site, 1200 mm",Rubble concrete
16,122000.0,122000.0,0.0,13.4,13.4,13.4,0.0,0.0,215.0,215.0,215.0,0.0,0.0,76.4,76.4,0.0,0.0,"Fondations profondes, pieux forés vissés, 560/480 mm",Rubble concrete
17,153000.0,153000.0,0.0,17.7,17.7,17.7,0.0,0.0,256.0,256.0,256.0,0.0,0.0,95.9,95.9,0.0,0.0,"Fondations profondes, pieux forés vissés, 660/580 mm",Fine lightweight aggregates for concrete and mortar
