,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
588,Colonne de douche,11.0,Sitka spruce,Shower enclosures,1.0,127.0,['a6a49412-4018-4f5f-b2d0-1177b3d0efe3.png'],"Roof, Slabs, Stairs",Other,Sanitary fittings and accessories,,,
3564,Ensemble de cabine de douche,120.0,Sitka spruce,Shower enclosures,0.0,180.0,['34b0b224-56c4-4d42-b64c-58e5b5285a3d.png'],Furnishings,Furnishings,Sanitary fittings and accessories,,,
5582,Duschkabine zerlegbar,,Potable water,Shower enclosures,1.0,18.0,,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,,,
5874,Duschmittelablage aus Steinzeug,,Ceramic,Shower enclosures,1.0,265.0,20180611_164541_570x570.jpg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,12.0,28.0,12.0
5884,Duschtür,,Sitka spruce,Shower enclosures,1.0,265.0,sam_8834_570x570.jpg,"Roof, Slabs, Stairs",Other,Sanitary fittings and accessories,,80.0,200.0
5914,Duschtüre,,Sitka spruce,Shower enclosures,1.0,265.0,20200709_104212_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Sanitary fittings and accessories,,85.0,198.0
5999,Einbaubadewanne mit Wannenträger,,Potable water,Shower enclosures,1.0,265.0,haupt_%281%29_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,80.0,180.0,60.0
6900,Duschhalterung,,Sitka spruce,Shower enclosures,1.0,90.0,111991_570x570.jpg,"Roof, Slabs, Stairs",Other,Sanitary fittings and accessories,,,
7029,"Duschtüre aus Echtglas , matt",,Patterned glass,Shower enclosures,1.0,58.0,20230220_143754_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Glass blocks and panels,,80.0,185.0
7224,Cloisons mobiles pour cabines de douches collectives,,Potable water,Shower enclosures,1.0,0.0,"['https://materiuum.ch/wp-content/uploads/2023/04/2302-5645-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5645-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5645-c-600x800.jpg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,0.0,332.0,152.0
7387,Duschwand -teilig,,Sitka spruce,Shower enclosures,1.0,0.0,112062_570x570.jpg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,,145.0,195.0
