,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
28,Distributeur de savon,15.0,Soap,Soap dispensers,1.0,266.0,"['2c29b06f-520f-4942-a42c-b5908405a8b9.JPG', '9504e027-e051-42c1-82c8-adf0c61069e7.JPG']",Other,Other,Sanitary fittings and accessories,,,
262,Distributeur de savon,10.0,Soap,Soap dispensers,1.0,266.0,['808111f5-0f6d-4477-9cab-c04008b76d19.jpg'],Other,Other,Sanitary fittings and accessories,,,
316,Distributeur de savon,15.0,Soap,Soap dispensers,1.0,266.0,"['63715cf3-1ed0-469f-a066-727f248a2cde.JPG', 'ed31bdc2-7959-4419-ac3a-b678758f4859.JPG']",Other,Other,Sanitary fittings and accessories,,,
746,Distributeur de savon,15.0,Soap,Soap dispensers,1.0,266.0,"['2de27d33-35fa-4a04-b40a-acfa0edef6a2.JPG', '1b11f38b-a5cc-440d-94aa-ad7f12142a61.JPG']",Other,Other,Sanitary fittings and accessories,,,
874,Distributeur poussoir à savon rechargeable,8.0,Soap,Soap dispensers,1.0,127.0,"['46ef114c-8b95-4b89-b5b5-1046be927239.jpg', '11c0159e-7eb7-4919-b9ff-2c504fc4efb2.jpg', 'b8e6dab0-c2aa-4309-9dad-34efb9099ca3.jpg']",Other,Other,Sanitary fittings and accessories,,,
987,"Porte savon , distributeur de savon",10.0,Soap,Soap dispensers,1.0,17.0,"['3e445756-aa90-402c-85e6-82ebe90ca867.jpeg', 'c3e14211-672b-403a-aef0-6da8a01e21a3.jpeg']",Other,Other,Sanitary fittings and accessories,,,
996,"Porte savon , distributeur de savon",7.0,Soap,Soap dispensers,1.0,185.0,"['209aa1eb-a14c-4420-af4c-224628212deb.jpeg', '6a7e8dde-18b2-4ce4-9aa5-cdb8302d0574.jpeg']",Other,Other,Sanitary fittings and accessories,,,
1556,"Porte savon , distributeur de savon",7.0,Soap,Soap dispensers,0.0,332.0,"['e5806ac0-2a2f-4b9b-8e25-505e3d511985.jpeg', '222ce43b-a46b-4397-8846-c841aef47f90.jpeg']",Other,Other,Sanitary fittings and accessories,,,
2325,"Porte savon , distributeur de savon",8.0,Soap,Soap dispensers,0.0,283.0,['74a3586f-9073-4751-ad63-cff6e2a93551.jpeg'],Other,Other,Sanitary fittings and accessories,,,
2627,"Porte savon , distributeur de savon",7.0,Soap,Soap dispensers,1.0,100.0,['02024a9c-9b18-4dbe-bc49-a35d6ee16cf1.jpeg'],Other,Other,Sanitary fittings and accessories,,,
2974,Distributeur de savon,10.0,Soap,Soap dispensers,0.0,213.0,"['487f7e87-0ff7-4b0e-9bcc-4a1ac30dd41b.jpeg', '1c32708b-4441-4502-afcb-4fa2433fd57e.jpeg']",Other,Other,Sanitary fittings and accessories,,,
