,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
5595,Kühl-/Gefrierkombination -Türig :,,Slag bound mixtures,Fridge-freezers,1.0,15.0,,Other,Other,Space heating and cooling products,,,
6713,Kühl-Gefrierkombination / Kühl- und Gefrierschrank,,Air-cooled steel slag,Fridge-freezers,1.0,26.0,1_%28318%29_570x570.jpg,Other,Other,Space heating and cooling products,,,
6866,Gefrierfachtüre Kühlschrank,,Insulating glass,Fridge-freezers,1.0,2.0,2897-2_570x570.jpg,Other,"Door, Windows, Gates",Space heating and cooling products,,,
6875,Gefrierfachtüre Kühlschrank,,Insulating glass,Fridge-freezers,1.0,90.0,2896-2_570x570.jpg,Other,"Door, Windows, Gates",Space heating and cooling products,,48.5,16.8
6876,Gefrierfachtüre Kühlschrank,,Insulating glass,Fridge-freezers,1.0,90.0,2895-2_570x570.jpg,Other,"Door, Windows, Gates",Space heating and cooling products,,48.5,28.0
6877,Gefrierfachtüre Kühlschrank,,Insulating glass,Fridge-freezers,1.0,90.0,2894-2_570x570.jpg,Other,"Door, Windows, Gates",Space heating and cooling products,,46.0,21.0
6947,Kühl-Gefrierkombination / Kühl- und Gefrierschrank,,Air-cooled steel slag,Fridge-freezers,1.0,0.0,1_%28336%29_570x570.jpg,Other,Other,Space heating and cooling products,,,
6948,Kühlschrank Whirlpool,,Wychert,Fridge-freezers,1.0,81.0,112574_570x570.jpg,Other,Other,Space heating and cooling products,58.0,54.0,142.0
6951,Kühlschrank mit Gefrierfächer,,Air-cooled steel slag,Fridge-freezers,1.0,81.0,112571_570x570.jpg,Other,Other,Space heating and cooling products,56.0,54.0,176.0
7074,Kühl-Gefrierkombination / Kühl- und Gefrierschrank,,Air-cooled steel slag,Fridge-freezers,1.0,25.0,1_%28342%29_570x570.jpg,Other,Other,Space heating and cooling products,55.0,55.9,177.0
7150,"Kühlschrank Perfect , Breite cm",,Air-cooled steel slag,Fridge-freezers,1.0,51.0,2969-2_570x570.jpg,Other,Other,Space heating and cooling products,56.0,55.0,127.0
7173,Kühlschrank / Kühl- und Gefrierkombination,,Air-cooled steel slag,Fridge-freezers,1.0,0.0,1_%28366%29_570x570.jpg,Other,Other,Space heating and cooling products,54.5,54.5,177.6
7463,Kühlschrank Electrolux mit Gefriefach,,Air-cooled steel slag,Fridge-freezers,0.0,4.0,3026-2_570x570.jpg,Other,Other,Space heating and cooling products,57.0,55.0,151.5
7465,Kühlschrank V-Zug Perfect,,Air-cooled steel slag,Fridge-freezers,0.0,4.0,3023-2_570x570.jpg,Other,Other,Space heating and cooling products,57.5,55.0,127.0
7467,Kühlschrank mit Gefriefach Electrolux,,Thermoplastic elastomer resin,Fridge-freezers,0.0,4.0,3019-2_570x570.jpg,Other,Other,Space heating and cooling products,60.0,55.0,165.0
7472,Gefrierschrank/Tiefkühlschrank,,Lignite,Fridge-freezers,0.0,4.0,_dsc0692_570x570.jpg,Other,Other,Space heating and cooling products,47.7,43.8,51.1
