,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
276,Pompe à chaleur,190.0,Silt,Heat pumps,1.0,279.0,['3271cfcc-ec95-48d0-84c7-5bd49c8148c8.jpeg'],"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Space heating and cooling products,,,
594,Pompe à chaleur,190.0,Silt,Heat pumps,1.0,279.0,['9deb62f0-c0e2-4cf8-91fc-1115949777f3.jpeg'],"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Space heating and cooling products,,,
634,Pompe à chaleur,800.0,Silt,Heat pumps,1.0,181.0,"['49d88c64-2379-4e14-bd8b-6eab504c4420.jpg', '46e257fd-4a67-4705-8a45-9ef10594e4f2.jpg']","Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Space heating and cooling products,,,
1368,Thermofrigopompe,6000.0,Thermoplastic elastomer resin,Heat pumps,0.0,326.0,"['a24a6001-7edd-4ac3-b549-bc9f9a9d4d59.jpeg', '14ad2033-8e05-4d9a-a45e-f3fbaef1936f.jpeg']",Other,Other,Space heating and cooling products,,,
1548,Thermofrigopompe,4000.0,Thermoplastic elastomer resin,Heat pumps,0.0,326.0,"['6d3a88db-2b05-48a0-abc9-9c012db7ac27.jpeg', '0268ad6a-119a-46ff-b8e4-bc21149778f2.jpeg']",Other,Other,Space heating and cooling products,,,
1553,Pompe à chaleur individuelle,75.0,Heat-absorbing glass,Heat pumps,1.0,86.0,"['e5266306-6c31-4400-8fb3-7ba5bee11ec7.jpeg', '4f13a6d0-c776-47f7-a9a7-1a45184d0805.jpeg', '172fd19d-2958-4bc6-a3b8-5323651e4bad.jpeg']",Technical elements,Other,Space heating and cooling products,,,
1579,Thermofrigopompe,4000.0,Thermoplastic elastomer resin,Heat pumps,0.0,326.0,['02dbc8ee-1ba7-41b7-8fde-98e51a34b045.png'],Other,Other,Space heating and cooling products,,,
1608,Thermofrigopompe,18000.0,Thermoplastic elastomer resin,Heat pumps,0.0,326.0,"['1ef0dae2-bc9f-4db3-85b8-b152474c85e4.jpeg', '17bb9df5-4a0f-4e97-9484-d59d8ef9ae81.jpeg']",Other,Other,Space heating and cooling products,,,
1755,Thermofrigopompe,4000.0,Thermoplastic elastomer resin,Heat pumps,0.0,326.0,"['dca70b26-6051-4c03-a7f9-e5bc246889d5.jpeg', 'dd4fbda1-7c6f-4b6e-8eb3-e1f4baab37ed.jpeg']",Other,Other,Space heating and cooling products,,,
1894,Pompe à chaleur tertiaire,1100.0,Gas,Heat pumps,1.0,45.0,"['bc2efbcf-570e-4bc7-ba09-bbabd77bc23c.jpeg', '46abfdd8-57c2-449b-aab4-bb03f68761eb.jpeg']",Technical elements,"Stairs, Ramps, Lift, Hardware",Space heating and cooling products,,,
