,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
23,Bac de lavage,350.0,Sitka spruce,Countertop washbasins,1.0,87.0,['788509b7-3ba5-4534-bc8a-e604fd80b420.jpg'],"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories,,,
5790,Doppelwaschtisch mit Unterbau,,Sitka spruce,Countertop washbasins,1.0,177.0,20210618_161607_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories,,,
5893,Doppelwaschtisch mit Unterbau cm,,Sitka spruce,Countertop washbasins,1.0,265.0,20200304_084213_570x570.jpg,Furnishings,"Floors, Ceiling",Sanitary fittings and accessories,,120.0,
5930,Doppelwaschtisch mit Unterbau,,Sitka spruce,Countertop washbasins,1.0,265.0,03.05.10-018_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories,57.0,195.0,82.5
6020,Doppelwaschtisch mit Unterbau,,Sitka spruce,Countertop washbasins,1.0,265.0,img_6654_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories,50.0,130.0,84.5
6095,Waschküchentrog,,Sitka spruce,Countertop washbasins,1.0,173.0,20211117_142839_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories,52.0,74.0,
6253,Einbauwaschtisch cm,,Sitka spruce,Countertop washbasins,1.0,92.0,45381_1_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
6285,Auflegewaschtisch,,Sitka spruce,Countertop washbasins,1.0,92.0,91707_1_570x570.jpg,Furnishings,Furnishings,Sanitary fittings and accessories,,,
6308,Einbauwaschtisch cm,,Sitka spruce,Countertop washbasins,1.0,92.0,109264_1_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
6309,Doppelwaschtisch,,Sitka spruce,Countertop washbasins,1.0,92.0,109562_1_570x570.jpg,Furnishings,"Covering, Finish",Sanitary fittings and accessories,,,
6312,Doppelwaschtisch,,Sitka spruce,Countertop washbasins,1.0,92.0,110417_1_570x570.jpg,Furnishings,"Covering, Finish",Sanitary fittings and accessories,,,
