,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
49,Arbre type bouleau,100.0,Borosilicate glass,Bolsters,1.0,255.0,['021265ac-d4a6-4687-b571-37905eb7a307.jpeg'],"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
371,Boiserie,5.0,Pisé,Bolsters,1.0,231.0,['7b5f982b-6b75-4fee-95f3-407f5d7babf9.jpeg'],Other,Other,"Lighting columns, brackets and bollards",,,
584,Boiserie,35.0,Pisé,Bolsters,0.0,443.0,"['e5c94b78-d6bd-4b02-bd4f-c59f3f272b7b.jpg', 'efc7dbc2-8bbc-4060-b55e-10084baaa78b.jpg', '23209514-eaf1-4d57-956d-99f57aa6d403.jpg']",Other,Other,"Lighting columns, brackets and bollards",,,
768,Boiserie,40.0,Pisé,Bolsters,1.0,132.0,"['52a9a11f-bd6a-4d1b-b28b-0562a097184c.jpeg', 'af5b4fc3-aad4-4bf1-9986-75a70a249c24.jpeg', 'ff2cb864-d6b5-4459-a3f1-2358cb145441.jpeg']",Other,Other,"Lighting columns, brackets and bollards",,,
788,Boiserie,5.0,Pisé,Bolsters,1.0,230.0,"['5960d686-fe27-4bf6-b20d-5aa46361289a.jpeg', 'b1d1fa95-56e7-4c90-84c1-a211845aa164.jpeg']",Other,Other,"Lighting columns, brackets and bollards",,,
1012,Boiserie,60.0,Pisé,Bolsters,1.0,125.0,"['b773e2c2-199a-47a9-9fa1-f8c1457786e0.jpeg', '46f07586-d2c0-4277-88c3-b52b55db7174.jpeg', 'bf0584eb-6d4a-438a-b5ab-4be5f7f6388e.jpeg', 'bce6470a-72f0-48a7-a31f-9a8a3bfae20c.jpeg']",Other,Other,"Lighting columns, brackets and bollards",,,
1013,Boiserie,50.0,Pisé,Bolsters,1.0,125.0,"['66e8bb8e-4f5d-4404-9256-97c2cbf159b8.jpeg', '5adbac56-0d32-4547-8206-7b42aaebccd4.jpeg', '080d5e8f-1ae3-45af-928f-d13e4128a5a3.jpeg']",Other,Other,"Lighting columns, brackets and bollards",,,
1062,Bouche,7.0,Pisé,Bolsters,1.0,11.0,"['0c774e10-22ff-4bfc-a54e-ed00de3d77a3.jpeg', '656ca1b0-f8a3-4b36-9559-1acdc7a5fafb.jpeg']",Other,Other,Other,,,
1182,Bouche,7.0,Pisé,Bolsters,1.0,11.0,"['9c550c9d-f614-43bd-9f07-597b1b74b433.jpeg', 'fc531b81-a8b6-4279-ab77-9c83de83d754.jpeg', 'e2659b19-a123-492a-834f-7be76ed51ab2.jpeg']",Other,Other,Other,,,
2311,Boiserie,39.0,Pisé,Bolsters,0.0,283.0,['d801f2e0-355c-4102-9b9e-502d34e1d68a.jpeg'],Other,Other,"Lighting columns, brackets and bollards",,,
5686,Boden/-Wandfliesen x,,Daub,Bolsters,1.0,18.0,,Other,Other,"Lighting columns, brackets and bollards",,,
6879,Gerüstbalken / Bohlen,,Lignite,Bolsters,1.0,90.0,112541_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,24.0,4.0
