,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
698,Claustra bois intérieur,20.0,Wood,Wood architraves,0.0,570.0,"['f645aedd-f09e-4cd8-9cfa-e8dae6900257.jpg', '1cecf907-a9a7-4ca4-8e60-aa0ba2dce074.jpg']",Furnishings,Furnishings,Furnishings,,,
1055,Voliges de charpente bois massif,3.0,Spruce,Wood architraves,1.0,154.0,"['72d5a849-0d30-46cd-85f7-b10c65c9409f.jpeg', '68631ea5-e145-4c84-b94d-fd81e3450b18.jpeg']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Masonry walling units,,,
1193,Rambarde bois,30.0,Mahogany,Wood architraves,1.0,17.0,['978de5d6-085c-4eb4-b37f-399af121eb24.jpeg'],Other,"Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,,
1433,Porte simple bois massif,50.0,Wood,Wood architraves,1.0,239.0,"['94916f99-1a4c-4cce-acae-873b80dc760a.jpeg', '18b9cc49-70e5-4cb3-be3a-03a24feaacfc.jpeg']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,,
1487,Porte simple bois massif,50.0,Wood,Wood architraves,1.0,239.0,"['2bbcfb3c-6b26-409d-8163-3e1d69658f74.jpeg', 'c05b32ca-5e62-4ee0-be1f-ec88a4726f67.jpeg']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,,
1591,Plaques bois,32.0,Wood,Wood architraves,0.0,326.0,"['644d76e1-6647-4be7-a594-60b4a12e0564.jpeg', '7b05a278-418f-4469-b976-5e448b5747ed.jpeg']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
1634,Porte simple bois massif,50.0,Wood,Wood architraves,1.0,239.0,['b655d5de-0806-4848-aa41-e4e012166a58.jpeg'],"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,,
1853,Porte simple bois massif,50.0,Wood,Wood architraves,1.0,239.0,['7da5edc1-f6b5-41c8-90a6-c7d9f64bca34.jpeg'],"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,,
2100,Plaques bois,32.0,Wood,Wood architraves,0.0,326.0,"['47fdae91-e191-49b4-8729-3296c1015062.jpeg', '8187cc0b-385b-409e-9fd6-b1318b01343f.jpeg']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
2115,Porte simple bois massif,50.0,Wood,Wood architraves,1.0,239.0,"['37382b18-c900-4e8b-a3df-69c248304a31.jpeg', 'e076d3e5-ccb4-4503-9fd6-9ddf277994b3.jpeg']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,,
