,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
51,Grilles d'aération à fente,8.0,Fire clay,Soffit grilles,1.0,41.0,['51347e33-5ee1-4e91-9065-8a94d1533ce9.JPG'],"Roof, Slabs, Stairs",Other,Space heating and cooling products,,,
196,Grille de façade,25.0,Gravel,Soffit grilles,1.0,127.0,['eafb4d99-6d5d-467b-8251-e3d4a6bed63d.png'],"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
375,Grille de façade,25.0,Gravel,Soffit grilles,1.0,127.0,"['d2488af3-2bff-4f72-bf46-2ca3e61556a4.png', '66d0bfeb-0477-4e41-ae60-9ff48d37c277.png']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
848,Clôture grillagée,12.0,Granule,Soffit grilles,1.0,6.0,"['9f1c7494-7851-4505-8c13-311c5556f0dd.jpeg', 'ff7279e1-80f5-4226-9884-41cad216e836.jpeg', 'c1bf9d8d-95b4-4f0a-a47e-18854703ad9c.jpeg', 'a1dc92a4-60c0-4c89-a18a-da908cc330e7.jpeg', '82998445-9a15-4d12-8cb0-f5c2d688a9e2.jpeg']","Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
854,Clôture grillagée,9.0,Granule,Soffit grilles,1.0,216.0,['70f7f945-2940-459a-bcdb-461181435e55.jpeg'],"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
879,Clôture grillagée,30.0,Granule,Soffit grilles,1.0,6.0,"['f104487c-1ee8-4d18-8848-8989bc4b609b.jpeg', '0f8ff897-733b-4608-9831-c71961c80040.jpeg', '8acbd87c-8244-4377-924f-ae78d38f6396.jpg']","Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
883,Grilles d'aération à fente,8.0,Fire clay,Soffit grilles,1.0,-2.0,['bfe78297-c5e8-4457-a6ce-1941e232d41f.JPG'],"Roof, Slabs, Stairs",Other,Space heating and cooling products,,,
1150,Grille d'aération,23.0,Fire clay,Soffit grilles,1.0,125.0,['bbc29c50-62c4-4e8f-8f4d-aa80d421caea.jpeg'],"Roof, Slabs, Stairs",Other,Space heating and cooling products,,,
1289,Grille d'aération,23.0,Fire clay,Soffit grilles,1.0,125.0,['25e09d45-c258-4dd7-a972-04401e55f093.jpeg'],"Roof, Slabs, Stairs",Other,Space heating and cooling products,,,
1497,Grille extensible ou enroulable,300.0,Heat-strengthened glass,Soffit grilles,1.0,119.0,['0f410263-3f91-4337-a303-a3cc59070f68.jpeg'],"Wall, Barriers, Pannels",Other,Space heating and cooling products,,,
1530,Grille de caniveau,0.0,Pisé,Soffit grilles,1.0,64.0,['2738354c-4951-4ac9-92ac-100662e7cd17.jpeg'],"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
1566,Grille extensible ou enroulable,300.0,Heat-strengthened glass,Soffit grilles,1.0,119.0,"['e34ab975-d8a9-4444-ad04-b53668531906.jpeg', 'e23a6604-1781-4c49-b350-3a00a3b96957.jpeg', 'f2c38f86-cd78-480e-b74c-c90828beb325.jpeg']","Wall, Barriers, Pannels",Other,Space heating and cooling products,,,
1642,Clôture grillagée,0.0,Granule,Soffit grilles,1.0,64.0,['4b2ed001-1549-4a3b-a79a-ef5f3f6abc69.jpeg'],"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
1643,Grille de caniveau,0.0,Pisé,Soffit grilles,1.0,64.0,['f8949855-62dd-4c52-99fa-3f6b50050c63.jpeg'],"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
1662,Clôture grillagée,15.0,Granule,Soffit grilles,1.0,117.0,"['88b6ff6e-8008-4111-a7c5-7bb6bcbd10d7.jpeg', '309f183a-9179-4f34-9e0a-4a80385dacf0.jpeg']","Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
1681,Grille soudée sur la façade,0.0,Gravel,Soffit grilles,1.0,64.0,['de35ef35-de0a-4719-b778-218d8c80e893.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
1729,Grille extensible ou enroulable,300.0,Heat-strengthened glass,Soffit grilles,1.0,119.0,"['e3bddecc-5f06-4f00-b68b-93508a577d39.jpeg', '21caf49c-63b8-424a-ba4b-811d92594c64.jpeg', '72e9b895-1cd6-40d3-895a-977f234150c8.jpeg']","Wall, Barriers, Pannels",Other,Space heating and cooling products,,,
1739,Grille extensible ou enroulable,300.0,Heat-strengthened glass,Soffit grilles,1.0,119.0,['4b0bc1bb-1068-4f0e-b05e-74b5f683377d.jpeg'],"Wall, Barriers, Pannels",Other,Space heating and cooling products,,,
1788,Grille extensible ou enroulable,300.0,Heat-strengthened glass,Soffit grilles,1.0,119.0,"['692044b4-9ba2-460a-92ff-c8332ee49345.jpeg', '4d4864b3-754c-410b-9e53-1b11cb3fdc7c.jpeg', 'd3cd1522-536c-4176-9f40-2b571a59e6a0.jpeg']","Wall, Barriers, Pannels",Other,Space heating and cooling products,,,
1825,Grille de caniveau,0.0,Pisé,Soffit grilles,1.0,64.0,['ff30e7b6-e4b6-40b5-a223-c1435524a15a.jpeg'],"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
1851,Grille de caniveau,0.0,Pisé,Soffit grilles,1.0,64.0,['b3992ae4-7931-4410-9b0a-dc90e6aed4e6.jpeg'],"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
1866,Clôture grillagée,21.0,Granule,Soffit grilles,0.0,326.0,"['ca0857a1-6af0-488b-bdee-2800def4712d.JPG', '862e402c-be9c-4391-87d1-8425facb82c2.JPG', 'e42bb262-d35d-4e0b-b692-2368c99e544c.JPG']","Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
1904,Grille de caniveau,0.0,Pisé,Soffit grilles,1.0,47.0,['604b3819-3863-4259-87aa-123b2165fe4e.jpeg'],"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
2007,Grille de caniveau,0.0,Pisé,Soffit grilles,1.0,46.0,['764c5ffd-1f74-41ec-8a07-7719106ecc17.jpeg'],"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
2091,Grille soudée sur la façade,0.0,Gravel,Soffit grilles,1.0,64.0,['98a36364-83bf-46df-9c82-c88f8ccb6414.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
2160,Grille de caniveau,0.0,Pisé,Soffit grilles,1.0,64.0,['ea61588a-4aad-4576-9fac-eed7f67d7855.jpeg'],"Roof, Slabs, Stairs","Covering, Finish","Floor plates, gratings and edgings",,,
2193,Grille extensible ou enroulable,300.0,Heat-strengthened glass,Soffit grilles,1.0,38.0,"['b4100860-9a26-4dfc-98cf-c9998a6f2005.jpeg', '3da5e8a9-7f40-4ff4-8304-b6c18ef0ee80.jpeg', '09346c5d-aad8-46f6-93c9-468883cfc726.jpeg']","Wall, Barriers, Pannels",Other,Space heating and cooling products,,,
5223,Grille d ’ aération,,Fire clay,Soffit grilles,1.0,0.0,"['https://materiuum.ch/wp-content/uploads/2023/01/2301-5563-a-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2301-5563-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2301-5563-c-600x450.jpg']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,,,
5981,Einbaubackofen,,Granule,Soffit grilles,1.0,265.0,20200904_103844_570x570.jpg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,53.0,60.0,45.0
5993,Tellerwärmerschublade,,Granule,Soffit grilles,1.0,265.0,20210409_162014_570x570.jpg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,57.0,60.0,22.0
6032,Einbaubackofen,,Granule,Soffit grilles,1.0,5.0,,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,,,
6035,Einbaubackofen,,Granule,Soffit grilles,1.0,5.0,,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,,,
6041,Einbaubackofen,,Granule,Soffit grilles,1.0,252.0,_dsc8996_570x570.jpg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,56.0,55.0,75.7
6438,Grill Upcycling,,Pulverized fuel ash,Soffit grilles,1.0,173.0,112231_570x570.jpg,Other,Other,"Floor plates, gratings and edgings",47.0,47.0,54.0
7009,Grillblech+Rost,,Lignite,Soffit grilles,1.0,58.0,111948_570x570.jpg,Other,Other,"Floor plates, gratings and edgings",,40.5,2.5
7126,Grille d'aération,,Fire clay,Soffit grilles,1.0,17.0,"['https://materiuum.ch/wp-content/uploads/2023/01/2301-5563-a-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2301-5563-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2301-5563-c-600x450.jpg']","Roof, Slabs, Stairs",Other,Space heating and cooling products,0.0,40.0,40.0
7149,Einbaubackofen,,Granule,Soffit grilles,1.0,45.0,_dsc0341_570x570.jpg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,56.8,59.5,59.5
