,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
1500,Spot sur rail,24.0,Gravel,Rail pads,0.0,326.0,"['344acd8c-756a-4384-9169-862e0887a774.jpeg', '9bb90b6b-9136-4a01-b98b-102f3ebe1631.jpeg', 'eb160d8f-bda3-4b88-8643-300842b0b385.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
1562,Spot sur rail,24.0,Gravel,Rail pads,0.0,328.0,['b443e4a4-6ffa-4fdc-b2b6-05840ba05d67.jpg'],"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
1618,Spot sur rail,20.0,Gravel,Rail pads,1.0,118.0,['b6b069f1-4295-485e-bd4d-480aa854058a.jpeg'],"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
1666,Spot sur rail,20.0,Gravel,Rail pads,1.0,118.0,['95faa2a1-679e-465b-96e5-75b8e033fac4.jpeg'],"Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
1992,Spot sur rail,50.0,Gravel,Rail pads,1.0,45.0,"['1e3db0e7-55d2-464f-8bcf-66691ee60cb6.jpeg', '3dccc391-2a31-4598-9e1e-59f719b8fc89.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
2274,Spot sur rail,11.0,Gravel,Rail pads,1.0,118.0,"['a1b929e7-4c74-42bc-bc7e-333e8d6aa6be.jpeg', 'a66640c1-8016-42e4-9419-885b026558a0.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
2575,Spot sur rail,50.0,Gravel,Rail pads,0.0,278.0,"['9a386417-fd49-4de1-a280-3844e61495cf.jpeg', '3a9e0534-b6e6-491b-acb5-139a7fea1300.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
2684,Spot sur rail,25.0,Gravel,Rail pads,1.0,72.0,"['9ad63208-f988-4811-93bb-2ba7eb671cbc.jpeg', 'dc43a8f6-f4b5-45ba-af44-09d54adc2da0.jpeg', 'fef463c3-eeff-4662-af06-15a786a23c25.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
2815,Spot sur rail,11.0,Gravel,Rail pads,0.0,208.0,"['71b6cd1f-ac53-4c62-8653-d1988ad87388.jpeg', '353eae98-0fdf-430f-8576-3090c1e5e3a3.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
3038,Spot sur rail,13.0,Gravel,Rail pads,0.0,200.0,"['f219b599-d75d-4aba-b4ee-caf1fafe1355.jpeg', '7f6c4c27-13d7-48ee-8019-e275e0f9350e.jpeg', '2dab10ed-f1cb-4534-bbd5-8af74b25e42b.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
3096,Spot sur rail,15.0,Gravel,Rail pads,0.0,200.0,"['c2ad467d-d79b-409c-8694-bc8f9f00163b.jpeg', 'c9133a41-d023-465d-a0c1-7e30db6cb1d4.jpeg', '1f5746e3-2414-4f48-863d-6aa04c4b26e6.jpeg', '7121569f-63fb-421f-8085-e2daa49cf80b.jpeg', '036da108-9f62-468d-b31b-52c8e5040a14.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
3321,Spot sur rail,11.0,Gravel,Rail pads,0.0,208.0,"['c9075fa3-fba6-44d5-b0dd-3b995273b1af.jpeg', 'c83f5597-fd41-41ac-a5f4-d18a27c2f649.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
4273,Spot sur rail,20.0,Gravel,Rail pads,0.0,125.0,"['b31986dc-8c48-4a66-8aa1-334427443a5d.jpg', 'eebae138-3958-47e9-8232-c8acb7172185.jpg', 'bdc3711c-f27d-49c2-87d5-170ab4a61c89.jpg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
4344,Spot sur rail,15.0,Gravel,Rail pads,0.0,130.0,"['10f97fe7-6292-4cc0-b68a-30e47c1839ae.jpg', 'be9cac41-072d-4c68-8ec1-59cfbdae7fa2.jpg', 'f90ec5ef-4783-496f-9c60-97270dfba0cc.jpg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Handrails,,,
