,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
95,/ unité de climatisation,250.0,Compressed air,Air conditioning units,1.0,32.0,"['4f127d1a-3686-4019-8fba-035fff8ef33c.png', '562f35e6-01f2-4ce3-acbc-f1d8b55c8f83.png']",Technical elements,"Floors, Ceiling",Space heating and cooling products,,,
129,Unité interne de climatisation Mitsubichi,300.0,Compressed air,Air conditioning units,0.0,542.0,"['651ed47e-8562-4a99-bd88-f9bc2730d24c.JPG', '7949dcbe-e970-47af-8388-cb814908cb05.PNG', '1f4f924e-b96a-44c1-baa8-111ac3ea9bf1.JPG', '7f469e6d-5333-45f8-8598-dcef1c0daf0b.JPG', '1d0db55d-28be-42b4-989e-a4b76b79e2b1.JPG']",Other,"Floors, Ceiling",Space heating and cooling products,,,
162,"Distribution de l'air , chauffage , refroidissement",150.0,Compressed air,Air conditioning units,1.0,197.0,['7083617a-d2c8-4cf4-a8d6-06f40f64f1e5.png'],"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
362,Unité de climatisation Mitsubishi mfz-kjve,750.0,Compressed air,Air conditioning units,0.0,542.0,"['e04438aa-44f0-4bd2-944b-e570f4d4a051.jpeg', '1315863d-98bc-41c6-85b6-f8e2cefdfcc5.jpeg', 'f2e1ff7f-8c4c-47df-a916-eca2d1c6bcfc.jpeg']",Other,Other,Space heating and cooling products,,,
398,"Distribution de l'air , chauffage , refroidissement",0.0,Compressed air,Air conditioning units,1.0,20.0,['7e985556-7ffd-4717-8b2c-6ba9d803fd7f.jpg'],"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
571,Armoire de climatisation,100.0,Compressed air,Air conditioning units,0.0,409.0,"['2b2e6eb9-bf9d-4e3c-906a-ddedf3ba7485.jpg', '32045148-db6a-45ff-8b4d-85916da711d4.jpg']",Furnishings,"Floors, Ceiling",Space heating and cooling products,,,
778,Unité interne de climatisation,300.0,Compressed air,Air conditioning units,0.0,542.0,"['cc2b8e3e-6a7e-4261-99c2-dd45dc0f9741.png', '8cd40b1d-2033-4fc7-873d-38dc1de46bac.JPG', '4e91c830-1a9d-4baf-ac3f-d17b657f3c5c.JPG', '6386a02e-a007-4a63-86df-99899dbd62e6.JPG']",Furnishings,"Floors, Ceiling",Space heating and cooling products,,,
966,_ unité de climatisation,250.0,Compressed air,Air conditioning units,1.0,180.0,"['b872aa87-d070-4d7f-b411-1ed3d1d24d10.png', '19bfee4e-4ea9-4d7d-928c-c03ece971814.png']",Technical elements,"Floors, Ceiling",Space heating and cooling products,,,
2267,Réglage de climatisation,20.0,Compressed air,Air conditioning units,1.0,102.0,"['90213f0f-b2a3-45fa-971a-426fc495bf21.jpeg', 'bc00f897-a1d6-45fa-830b-b07eb1a6f1d0.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
3715,Climatiseur Airwell,80.0,Compressed air,Air conditioning units,1.0,35.0,"['b2795084-269a-4092-bd43-03fba2f979c7.jpeg', 'b37b27dd-260a-4d99-b30d-7f63425c40e2.png']",Other,Other,Space heating and cooling products,,,
3815,"Distribution de l'air , chauffage , refroidissement",50.0,Compressed air,Air conditioning units,0.0,194.0,['3cdc748a-439b-48ad-b433-a0c60fab5709.png'],"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
3827,Climatiseur Airwell,80.0,Compressed air,Air conditioning units,1.0,70.0,"['972eee45-b147-4f84-bc74-73a223739889.jpg', 'a966d019-a0ed-438e-808c-acec516b6c33.jpg']",Other,Other,Space heating and cooling products,,,
3845,"Distribution de l'air , chauffage , refroidissement",50.0,Compressed air,Air conditioning units,0.0,194.0,['7d9045b7-458d-4217-872f-170143bc539c.png'],"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
3872,"Distribution de l'air , chauffage , refroidissement",50.0,Compressed air,Air conditioning units,0.0,194.0,['01aa4c5d-443c-48b6-9eff-d7363f4bab37.png'],"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
4291,"Distribution de l'air , chauffage , refroidissement",90.0,Compressed air,Air conditioning units,0.0,131.0,"['c6b7209b-3a2f-4a9b-aa75-bb4096f274f4.jpg', '6f2e2077-bf18-41f4-b4ab-59aee94b5998.jpg', '6e85a813-56bf-4b40-8754-89be825e0c17.jpg', 'b7562ca2-9b56-4c57-82bc-9cb74b568949.jpg', '448f3896-c994-4bf4-ba68-afcde41dd3c3.jpg']","Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
4297,"Distribution de l'air , chauffage , refroidissement",180.0,Compressed air,Air conditioning units,0.0,131.0,"['52b39f6c-54af-4521-b752-94064444b51e.jpg', 'd804ee2c-3559-4aae-a53c-e7f58e4138a0.jpg', 'ef32355a-b3a6-4f78-8f36-7712d23da7f2.jpg']","Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
6202,Daikin Klimagerät,,Compressed air,Air conditioning units,1.0,70.0,img_20220824_1135478_570x570.jpg,Technical elements,"Stairs, Ramps, Lift, Hardware",Space heating and cooling products,,,
6203,Daikin Klimagerät,,Compressed air,Air conditioning units,1.0,70.0,img_20220824_1136516_570x570.jpg,Technical elements,"Stairs, Ramps, Lift, Hardware",Space heating and cooling products,,,
