,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
116,Colonne pour descente de câble,22.0,Encaustic,Coaxial cables,1.0,73.0,"['ff18d157-4afa-4739-b70a-1ea26083fb35.jpeg', '2cec1408-2794-42ef-929f-0ab379490aa1.jpeg', '2e024c45-f704-48f3-820c-c586df55becc.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Wire structure and general products,,,
140,Chemin de câble filaire,8.0,Filament,Coaxial cables,0.0,409.0,"['5312510e-cbcb-47ff-8c97-e2ed12650525.jpg', '5aa12faa-4793-4493-a5b3-09f27ae392d5.jpg']",Technical elements,"Stairs, Ramps, Lift, Hardware",Wire structure and general products,,,
189,Colonne pour descente de câble,22.0,Encaustic,Coaxial cables,1.0,73.0,"['bb39a3d2-3162-4fd0-8d86-ad010982d6ff.jpeg', '4fd535a8-0c7a-4f4b-9f20-09904dea885d.jpeg', 'fedb9d37-1bc8-477d-8e17-5675e7af7e2d.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Wire structure and general products,,,
596,Colonne pour descente de câble,18.0,Encaustic,Coaxial cables,1.0,73.0,"['376b9d35-5119-4e81-8e67-b508a7e6e752.jpeg', '263babae-170c-4682-947b-3d22ca301d47.jpeg', 'ed734add-b5dd-4b99-9ca9-615efaf90b98.jpeg', '0b1e0f08-0193-46d3-8214-51eca65c72e1.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Wire structure and general products,,,
764,Câbles,1.0,Encaustic,Coaxial cables,1.0,252.0,"['0da0f453-b36c-4c86-bfc2-d98acd485b05.jpg', '6dc53069-24de-4444-ae11-bbda313c1a74.jpg']",Technical elements,"Stairs, Ramps, Lift, Hardware",Power and lighting outlet products,,,
808,Colonne pour descente de câble,22.0,Encaustic,Coaxial cables,1.0,73.0,"['f6a285d1-4ff0-4dad-809f-d2468f90889b.jpeg', '71de2764-c43f-47f4-888e-66680afe6c1e.jpeg', 'beb0f902-d82e-49c6-ad6b-a906383f4cf2.jpeg', 'e993e510-6ee8-4ac4-9349-8c4164ad29bd.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Wire structure and general products,,,
811,Chemin de câble filaire,7.0,Filament,Coaxial cables,1.0,465.0,['5c37736b-5293-470f-aaf9-6c9eace41ab0.png'],Technical elements,"Stairs, Ramps, Lift, Hardware",Wire structure and general products,,,
1188,Chemin de câble filaire,4.0,Filament,Coaxial cables,1.0,224.0,['ab264b10-d2d2-474e-8368-fbb18b13a9d3.jpeg'],Technical elements,"Stairs, Ramps, Lift, Hardware",Wire structure and general products,,,
2194,Colonne pour descente de câble,20.0,Encaustic,Coaxial cables,1.0,38.0,"['cda28c1e-695c-4dd0-be02-ed77d17af365.jpeg', 'e78193eb-cbff-45c7-aeea-f35f97c32a58.jpeg', '4806e278-289d-4c21-98d3-67602650062b.jpeg']","Wall, Barriers, Pannels","Stairs, Ramps, Lift, Hardware",Wire structure and general products,,,
2578,Chemin de câble type cablofil,6.0,Filament,Coaxial cables,1.0,84.0,['f438b068-21b6-4ca3-b3f2-9929a67fc92a.jpeg'],Technical elements,Other,Wire structure and general products,,,
5002,"Electrical textile cable * ,",3.0,Fibre,Coaxial cables,0.0,,['36444_143c2df.png'],Technical elements,Other,Wire structure and general products,,,
5003,"Electrical textile cable * ,",3.0,Fibre,Coaxial cables,0.0,,['36443_143c2df.png'],Technical elements,Other,Wire structure and general products,,,
5005,"Electrical textile cable * ,",3.0,Fibre,Coaxial cables,0.0,,['36440_143c2df.png'],Technical elements,Other,Wire structure and general products,,,
5006,"Electrical textile cable * ,",3.0,Fibre,Coaxial cables,0.0,,['36439_143c2df.png'],Technical elements,Other,Wire structure and general products,,,
5007,"Electrical textile cable * ,",3.0,Fibre,Coaxial cables,0.0,,['36438_143c2df.png'],Technical elements,Other,Wire structure and general products,,,
5008,"Electrical textile cable * ,",3.0,Fibre,Coaxial cables,0.0,,['36437_143c2df.png'],Technical elements,Other,Wire structure and general products,,,
5009,"Electrical textile cable `` twist '' * ,",3.0,Fibre,Coaxial cables,0.0,,['36436_143c2df.png'],Other,Other,Wire structure and general products,,,
5010,"Electrical textile cable `` twist '' * ,",3.0,Fibre,Coaxial cables,0.0,,['36435_143c2df.png'],Other,Other,Wire structure and general products,,,
5011,"Electrical textile cable `` twist '' * ,",3.0,Fibre,Coaxial cables,0.0,,['36434_143c2df.png'],Other,Other,Wire structure and general products,,,
5012,"Electrical textile cable `` twist '' * ,",3.0,Fibre,Coaxial cables,0.0,,['36433_143c2df.png'],Other,Other,Wire structure and general products,,,
5017,"Electrical textile cable * ,",3.0,Fibre,Coaxial cables,0.0,,"['34801_143c2df.png', '3962_92eaeaf.png', '3963_92eaeaf.png']",Technical elements,Other,Wire structure and general products,,,
6540,Div . Flachkabel-Anschlussdosen,,Sitka spruce,Coaxial cables,1.0,173.0,111280_570x570.jpg,Technical elements,Other,Wire structure and general products,,,
