,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
306,Plaque de plâtre,4.0,Ceramic,Plaques,0.0,573.0,['9dc564a2-a34e-46d4-a726-b25406be9f63.jpg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
539,Lot de plaques métal,30.0,Metal,Plaques,0.0,429.0,"['66171346-f4a4-4151-b44e-5cc1fe13d7d8.png', '59cf064f-b4e0-4d4e-8cc6-315d35841944.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
1832,Plaque minérale,44.0,Basalt,Plaques,0.0,325.0,"['2e559c2f-a112-4605-bf5c-081945205264.jpeg', '5ebf76b5-192a-4d97-b8b8-053f0a746cd0.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
2101,Plaque minérale,44.0,Basalt,Plaques,0.0,326.0,"['a9c412f8-45f8-48b5-b9c0-03d75cdb405c.jpeg', '234e031e-45a1-4ea8-a2c0-d48ce41ec46f.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
2278,Plaque minérale,60.0,Basalt,Plaques,0.0,283.0,['ad711271-0385-48df-a790-ef49f7177c99.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
2340,Plaque minérale,60.0,Basalt,Plaques,0.0,263.0,['6e66d08c-fa5d-48d9-a23d-086c7a16cd04.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
2568,Plaque minérale,60.0,Basalt,Plaques,1.0,84.0,"['c98c79b9-4a67-4f29-91f3-140f0e2e2817.jpeg', '8a6f4977-6d56-491b-b904-b4ddf02b0aac.jpeg', 'b7e8a7d7-c392-4b4e-b34e-d825f454cd4a.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
3472,Plaque minérale,60.0,Basalt,Plaques,0.0,186.0,['2c9d3c89-e665-46f5-846e-11a828c87d84.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
3496,Plaque minérale,60.0,Basalt,Plaques,0.0,186.0,"['3082b343-931c-4d40-8e9c-705633188629.jpeg', 'ed1345cb-ff2d-4324-8f43-0c481773f937.jpeg', '91a9a9c5-9eac-4319-9dfb-308a6d0f9c23.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
3501,Plaque minérale,60.0,Basalt,Plaques,0.0,185.0,['f9b70d6e-b151-48d0-b2fb-61406209de2b.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
4000,Plaque de revêtement / Platelage,15.0,Plate glass,Plaques,0.0,209.0,['6e7f974b-8053-46af-bba4-1b5afe0eeaf1.jpeg'],Structural elements,"Covering, Finish","Floor plates, gratings and edgings",,,
4023,Plaque de revêtement / Platelage,15.0,Plate glass,Plaques,0.0,209.0,['4eb333db-874e-465d-93f8-8dd9be5d0645.jpeg'],Structural elements,"Covering, Finish","Floor plates, gratings and edgings",,,
4042,Plaque de revêtement / Platelage,15.0,Plate glass,Plaques,0.0,209.0,['4fabd058-e4f7-482e-bded-210045173b6b.jpeg'],Structural elements,"Covering, Finish","Floor plates, gratings and edgings",,,
4059,Plaque de revêtement / Platelage,15.0,Plate glass,Plaques,0.0,209.0,"['a95c1da0-7dda-48e7-a890-b29431612e21.jpeg', '94f2647c-3be4-4b2d-ba72-e15100cd4c4a.jpeg']",Structural elements,"Covering, Finish","Floor plates, gratings and edgings",,,
4080,Plaque de revêtement / Platelage,15.0,Plate glass,Plaques,0.0,209.0,['e90dfc6a-1fc7-4c3a-8ad8-097c0e3cce25.jpeg'],Structural elements,"Covering, Finish","Floor plates, gratings and edgings",,,
4088,Plaque de revêtement / Platelage,15.0,Plate glass,Plaques,0.0,209.0,['9447c88e-30de-4c3f-a360-83a94acf551f.jpeg'],Structural elements,"Covering, Finish","Floor plates, gratings and edgings",,,
4098,Plaque de revêtement / Platelage,15.0,Plate glass,Plaques,0.0,209.0,['10189c1e-4e4a-4868-9dce-3e05de18f4f0.jpeg'],Structural elements,"Covering, Finish","Floor plates, gratings and edgings",,,
5915,Arbeits-/ Abdeckplatte Granit,,Basalt,Plaques,1.0,232.0,2597_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,189.0,60.0,3.0
7005,Granit Fassade Platten m,,Granite,Plaques,1.0,58.0,img_0202_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
