,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
347,Panneau acoustique suspendu,70.0,Silt,Acoustic duct linings,0.0,417.0,['1cd35d43-07a9-4a47-a884-79a842b48b77.png'],Other,Other,Other,,,
696,Panneau acoustique suspendu,60.0,Silt,Acoustic duct linings,1.0,170.0,['a68ad609-fb13-404b-9263-52f8312b2fb0.png'],Other,Other,Other,,,
1304,Panneau acoustique suspendu,20.0,Silt,Acoustic duct linings,1.0,11.0,"['1287179d-21dd-4f38-97bb-adebb678c5f9.png', '6c034ce2-8ace-4549-805a-c07a6fda0aa8.jpeg', 'ea3098c2-1846-4407-957e-d173fdcda906.jpeg']",Other,Other,Other,,,
1766,Autre panneau acoustique suspendu,32.0,Silt,Acoustic duct linings,0.0,326.0,[],"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories,,,
1933,Autre panneau acoustique suspendu,15.0,Silt,Acoustic duct linings,1.0,45.0,"['121346aa-c027-4727-9657-dc442f973db7.jpeg', '1ac9633d-6525-4522-887f-32f21286ecc1.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories,,,
2566,Autre panneau acoustique suspendu,15.0,Silt,Acoustic duct linings,0.0,278.0,"['5dd5c1e2-fdc6-413b-b281-ba11b26d0b38.jpeg', 'd15886eb-0113-4646-8ab4-b72d4d5ee83b.jpeg', '192be68d-a796-4056-8de0-eedeb4a2be1f.jpeg', '8050797a-96d3-41c9-a44e-f09f27817dad.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories,,,
2916,Cloison acoustique pour bureau,45.0,Encaustic,Acoustic duct linings,0.0,202.0,['4af6be5c-0568-4511-9ce7-a62ff6d737d0.jpg'],Technical elements,"Floors, Ceiling",Sanitary fittings and accessories,,,
3077,Cloison acoustique pour bench cm,85.0,Normal-weight concrete,Acoustic duct linings,0.0,202.0,['399992e3-49e1-4381-be0f-e397641e322c.jpg'],Other,Other,Sanitary fittings and accessories,,,
3358,Cloison acoustique pour bureau,25.0,Encaustic,Acoustic duct linings,0.0,202.0,['9eacedaf-10f3-4610-8343-162435a754a9.jpeg'],Technical elements,"Floors, Ceiling",Sanitary fittings and accessories,,,
3413,Panneau acoustique suspendu,50.0,Silt,Acoustic duct linings,0.0,199.0,"['93562e54-e770-40d3-9928-6f3845e9bfdc.JPG', 'f8ea205b-833e-438b-8462-fbe5f767e21f.jpg', 'e78a6fcc-49af-45de-aa85-2636ba854a94.jpg', 'c3907276-7151-44d9-b232-de4c3206857a.jpg']",Other,Other,Other,,,
