,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
14,Porte garage toile,150.0,Gravel,Garage door holders,1.0,31.0,['94855f4e-8381-4fc6-ac74-9ab9c64adc66.png'],"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories,,,
234,Porte de garage,80.0,Gravel,Garage door holders,1.0,399.0,['d8f33a7b-0174-44af-b2a5-9833e65e9225.jpeg'],"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,,,
305,Porte basculante de garage,110.0,Gravel,Garage door holders,0.0,487.0,"['3dda67e4-6bfc-47de-8805-2ff8d408f9ae.jpg', '77747880-3e71-4c0a-9319-98cbd5f71d5c.jpg', '499d7bfb-d2a1-476c-8728-51a8b8d31e83.jpg', '7b85ea32-48e8-496e-a96b-3810d5c7a60e.jpg']","Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,,,
517,Porte de garage,80.0,Gravel,Garage door holders,1.0,398.0,['e0e863e9-6670-4cae-ad95-5bca798b2ffa.jpeg'],"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,,,
531,Porte de garage,80.0,Gravel,Garage door holders,1.0,398.0,['cb22e82b-8886-43c5-b250-e4dfdf58a6d3.jpeg'],"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,,,
1119,Porte garage toile,150.0,Gravel,Garage door holders,1.0,7.0,['cfde964e-eed4-4b9d-b12e-ee78e17174bf.png'],"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Sanitary fittings and accessories,,,
1446,Porte de garage basculante,80.0,Gravel,Garage door holders,1.0,119.0,"['5e0c27b9-2b93-4988-9a03-16939525666f.jpeg', '1436fc8c-8d57-4e5c-b8ad-e136a377c792.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Structural roofing units,,,
1449,Porte de garage basculante,80.0,Gravel,Garage door holders,1.0,119.0,"['e9eae063-1fc5-4e41-b309-78c1b3cc37a3.jpeg', '9cc44181-997e-499e-824c-8571fbd44512.jpeg', '236c2973-25df-4e62-b605-395d617e375c.jpeg', 'd3449a2b-0ee2-4530-a087-c16c66770d59.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Structural roofing units,,,
2410,Porte de garage basculante,300.0,Gravel,Garage door holders,1.0,83.0,"['f698fedb-0948-4b79-887b-73ea60f42cef.jpeg', 'bb0746a4-aabd-4679-8091-c8f6f7ab059c.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Structural roofing units,,,
7199,Garagentor / Flügeltüre für Garage,,Asphalt,Garage door holders,1.0,45.0,1_%28368%29_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,5.0,298.3,217.8
