,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
101,Porte extérieure double metallique,45.0,Metal,Aluminium doorsets,1.0,398.0,['7f8526c2-1ab2-4896-b326-36854ba2c2bf.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
275,Poignée de porte aluminium,15.0,Aluminium,Aluminium doorsets,1.0,127.0,"['a701b383-4623-481b-bc97-059f018557c7.png', 'f9a5b54b-382c-4002-9aa0-6deb222980ab.png']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,,,
369,Porte extérieure simple metallique,45.0,Sitka spruce,Aluminium doorsets,1.0,398.0,['fac23a99-0259-4989-8649-e45fb37894c9.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
407,Porte extérieure double metallique,45.0,Metal,Aluminium doorsets,1.0,398.0,['e3667d8a-5fdf-4e13-aeb4-8a7af48580f4.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
709,Porte extérieure double metallique,45.0,Metal,Aluminium doorsets,1.0,398.0,['e9267945-9b7d-43eb-9897-6c3457a4cb45.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2793,Porte vitrée extérieure en aluminium,40.0,Insulating glass,Aluminium doorsets,0.0,237.0,"['0ac01f31-19d7-4a02-865f-8fe0c305171a.png', '67c87fea-db59-4b7f-9235-cb374762a576.png', '99fb203a-090d-438c-9157-04561c2d2faa.png', '47c58c1e-a6db-4256-bcf9-9a3be76869f8.png', '3f849cb1-316d-45d2-80ca-3f296098b9b5.png']","Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,,
4511,Sliding door knob in aluminium,17.0,Aluminium,Aluminium doorsets,0.0,,,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
4527,Wavy window lever in aluminium with rosette,9.0,Insulating glass,Aluminium doorsets,0.0,,,Furnishings,"Door, Windows, Gates",Glass blocks and panels,,,
4547,Set of aluminum keyholes,0.0,Aluminium,Aluminium doorsets,0.0,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
4584,Doorlever in aluminium,12.0,Aluminium,Aluminium doorsets,0.0,,,Structural elements,"Door, Windows, Gates","Non-rigid sheet, mat and strip covering and finish products",,,
4587,Door stop / moon in aluminium by,9.0,Aluminium,Aluminium doorsets,0.0,,,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
4943,Round door knob in aluminium,29.0,Aluminium,Aluminium doorsets,0.0,,"['58611_143c2df.png', '5891_2cd6df6.png']","Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
4949,Door knob in aluminium,39.0,Aluminium,Aluminium doorsets,0.0,,['54531_143c2df.png'],"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
5848,Metalltüre mit Glas,,Structural glass,Aluminium doorsets,1.0,265.0,20220406_095354_570x570.jpg,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,6.0,103.0,203.0
6460,"Metalltüre mit Glas , mit Metallrahmen , Band : links",,Structural glass,Aluminium doorsets,1.0,173.0,20220727_164752_570x570.jpg,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,5.0,84.0,203.0
