,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
3449,Châssis intérieur bois avec vitrage intégré vitré,75.0,Architectural glass,Wood window walls,1.0,55.0,['aeb23f65-2f5c-4d43-b144-0518db50f3e8.JPG'],Furnishings,"Door, Windows, Gates",Glass blocks and panels,,,
5059,Door transom in painted wood with stained and textured glass window x cm,99.0,Architectural glass,Wood window walls,1.0,0.0,"['59942_0e5feaa.png', '11381_25a4400.png', '11382_25a4400.png', '11383_25a4400.png', '11384_25a4400.png']",Furnishings,"Door, Windows, Gates",Glass blocks and panels,,,
5681,Holzfenster,,Architectural glass,Wood window walls,1.0,18.0,,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
5760,Fensterläden aus Holz mit Fries,,Wood,Wood window walls,1.0,265.0,fensterlanden-haus2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates","Floor plates, gratings and edgings",,75.0,105.0
5794,Altes Holzfenster,,Architectural glass,Wood window walls,1.0,265.0,_dsc7563_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,5.0,113.0,169.2
5810,Holzfenster mit Doppelverglasung,,Architectural glass,Wood window walls,1.0,265.0,rl-doppelfenster_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,48.0,116.0
6351,Fenster mit Holzrahmen,,Architectural glass,Wood window walls,1.0,12.0,111379_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
6365,Holzfenster zweiflügelig,,Architectural glass,Wood window walls,1.0,29.0,110668_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
6499,Holzfenster,,Architectural glass,Wood window walls,1.0,179.0,111886_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,7.5,114.0,191.5
6696,Holzfenster,,Architectural glass,Wood window walls,1.0,144.0,2446_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,177.0,6.0,95.0
6730,Fensterläden aus Holz,,Wood,Wood window walls,1.0,26.0,20221128_110035_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
6738,Fensterläden aus Holz,,Wood,Wood window walls,1.0,26.0,20221128_110035_%281%29_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
6943,Holzfenster,,Architectural glass,Wood window walls,1.0,48.0,2827_1_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,5.0,169.0,137.0
6944,Holzfenster,,Architectural glass,Wood window walls,1.0,81.0,2839_1_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,7.0,73.0,124.0
6949,Holzfenster,,Architectural glass,Wood window walls,1.0,81.0,2834_1_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,7.0,92.2,132.0
6950,Holzfenster,,Architectural glass,Wood window walls,1.0,81.0,2836_1_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,7.0,74.5,127.5
6980,Holzfenster,,Architectural glass,Wood window walls,1.0,58.0,112551_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,5.0,119.0,186.0
7063,Holzfenster,,Architectural glass,Wood window walls,1.0,,112555_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,7.9,74.0,242.0
7085,Holzfenster mit einer Sprosse,,Architectural glass,Wood window walls,1.0,0.0,img_20230309_135246_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,89.5,120.0
7442,Balkontür Holz Alu Neu zweiflüglig,,Architectural glass,Wood window walls,0.0,4.0,,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,,108.0,211.0
