,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
5548,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,1.0,18.0,,Technical elements,Other,Glass blocks and panels,,,
5830,Glaskeramik Electrolux,,Wired glass,Electrochromic glass,1.0,121.0,2511_1_570x570.jpg,Technical elements,Other,Glass blocks and panels,,,
6116,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,1.0,173.0,111341_570x570.jpg,Technical elements,Other,Glass blocks and panels,54.5,82.5,4.2
6123,Glaskeramik Electrolux,,Wired glass,Electrochromic glass,1.0,173.0,2754_1_570x570.jpg,Technical elements,Other,Glass blocks and panels,,55.0,76.0
6136,Glaskeramikkochfeld Elektrolux,,Spandrel glass,Electrochromic glass,1.0,173.0,112369_570x570.jpg,Other,Other,Glass blocks and panels,51.0,55.0,4.0
6137,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,1.0,173.0,108157_1_570x570.jpg,Technical elements,Other,Glass blocks and panels,,,
6138,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,1.0,173.0,108161_1_570x570.jpg,Technical elements,Other,Glass blocks and panels,49.0,77.0,5.0
6139,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,1.0,173.0,109826_1_570x570.jpg,Technical elements,Other,Glass blocks and panels,44.0,77.0,44.0
6390,Glaskeramik Electrolux,,Wired glass,Electrochromic glass,1.0,28.0,2754_1_%281%29_570x570.jpg,Technical elements,Other,Glass blocks and panels,,,
6391,Glaskeramik Electrolux,,Wired glass,Electrochromic glass,1.0,28.0,2780_2_570x570.jpg,Technical elements,Other,Glass blocks and panels,,,
7151,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,1.0,51.0,112088_570x570.jpg,Technical elements,Other,Glass blocks and panels,50.5,57.5,5.0
7172,"Electrolux Glaskeramikplatte , Set",,Wired glass,Electrochromic glass,1.0,0.0,112109_570x570.jpg,Technical elements,Other,Glass blocks and panels,55.5,51.5,4.0
7474,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,0.0,35.0,112170_570x570.jpg,Technical elements,Other,Glass blocks and panels,49.0,53.0,4.0
7476,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,0.0,35.0,111070_570x570.jpg,Technical elements,Other,Glass blocks and panels,49.0,77.5,4.0
7477,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,0.0,35.0,111069_570x570.jpg,Technical elements,Other,Glass blocks and panels,49.0,77.5,4.0
7478,Glaskeramikkochfeld Electrolux,,Wired glass,Electrochromic glass,0.0,35.0,112056_570x570.jpg,Technical elements,Other,Glass blocks and panels,50.6,76.6,4.7
