,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
163,Plafonnier,13.0,Pisé,Sprinklers,1.0,255.0,"['4ec63cac-b442-4161-ace1-1d4b2b0574d4.jpeg', '4310ea64-2d05-47f2-98e1-67f2c62eedaf.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
206,Plafonnier,10.0,Pisé,Sprinklers,1.0,230.0,['e1e265ba-2a83-425e-a174-01be00aba47a.jpeg'],"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
222,Plafonnier,10.0,Pisé,Sprinklers,1.0,255.0,"['73b0821f-24e8-454f-9f17-302344ab769d.jpeg', 'eb40b17f-1f92-42e6-bc91-32ff51fa0fa1.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
405,Plafonnier,13.0,Pisé,Sprinklers,1.0,255.0,"['257fac0b-3b8f-4005-8944-91f86fb023b6.jpeg', '65d13ed6-d901-48da-8bd1-7ac26ce1d875.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
1005,Plafonnier,25.0,Pisé,Sprinklers,1.0,125.0,"['843e5842-edc9-4b73-af1a-0b39c0b9c348.jpeg', '67daf63c-debb-40bf-97ca-eada57e5a8d5.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
1929,Plafonnier,200.0,Pisé,Sprinklers,1.0,45.0,"['fb42bd72-4cf3-4e26-887c-2e368c799112.jpeg', '6acfd697-e425-4bdb-b5b3-d4c033b71344.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2024,Plafonnier,25.0,Pisé,Sprinklers,1.0,45.0,"['46f278b6-523b-4f94-8dff-a456d8add07e.jpeg', 'ec490649-1058-45b6-ae2d-775897121641.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2085,Plafonnier,100.0,Pisé,Sprinklers,1.0,45.0,"['fd513e8e-0644-46b0-8ed6-beef92eb498c.jpeg', '1253fcd5-bfc0-4e62-89aa-0aa2b5a35010.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2104,Plafonnier,25.0,Pisé,Sprinklers,0.0,332.0,['77e86e6f-f9f2-46e2-a440-174981175c90.jpeg'],"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2474,Plafonnier,200.0,Pisé,Sprinklers,0.0,278.0,"['1578ad79-c189-47c5-b268-c588a8d89649.jpeg', '33de11f2-5735-433a-88da-819e1e27ef53.jpeg', '0171b65d-5429-494b-b420-905e4cc70d0d.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2508,Plafonnier,25.0,Pisé,Sprinklers,0.0,278.0,"['6b1d2a99-7db8-478c-b300-0af75e51dd41.jpeg', '9a2753cb-3c02-409f-bbd4-68e6991df0a3.jpeg', '201a147f-c0a7-4d3a-8cfe-5f697688383f.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2781,Plafonnier,15.0,Pisé,Sprinklers,0.0,213.0,"['5c82f8c2-4c56-4ad8-88cd-302e83aaf2bb.jpeg', '38ea0fcb-f009-4ace-ac17-86118a253629.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2828,Plafonnier,15.0,Pisé,Sprinklers,0.0,212.0,['68f97110-a456-4704-9021-c18754661bc6.jpeg'],"Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2875,Plafonnier,15.0,Pisé,Sprinklers,0.0,213.0,"['347e3e97-0be4-44fa-af33-466e88be5402.jpeg', '46b80011-a343-4068-8919-6b2bea0ce77b.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2970,Plafonnier,15.0,Pisé,Sprinklers,0.0,213.0,"['e5ebc1ac-86df-4741-a885-814aa03eb23a.jpeg', '08507e29-962e-447d-af13-9d4ab225ea52.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
2983,Plafonnier,45.0,Pisé,Sprinklers,1.0,55.0,"['e259608e-eb22-4a3b-8c13-3b3e1b2def97.jpeg', '8b937e23-226f-41f7-af62-436ff1c07e5f.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
3251,Plafonnier,15.0,Pisé,Sprinklers,0.0,213.0,"['19364488-3bb7-4687-a430-2db417ec383c.jpeg', '5dd96440-c03c-4d45-b5b7-f5ef3678a341.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
3376,Plafonnier,25.0,Pisé,Sprinklers,1.0,57.0,"['058c0a6e-d822-4905-8f52-9707ed3be4fc.jpeg', '4197ac2c-7648-440f-addf-24c3d8564245.jpeg', '75fb8631-4357-461a-918e-3fe22a5f1e7a.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
3404,Plafonnier,15.0,Pisé,Sprinklers,0.0,213.0,"['ddb4b1ee-7ce6-4af5-a517-c11eab856a88.jpeg', 'ae8db3a3-aeab-4fe9-aacd-40a64666ad41.jpeg']","Wall, Barriers, Pannels",Other,"Lighting columns, brackets and bollards",,,
