,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
6278,Geschirrspüler V-Zug,,Sitka spruce,Fishwashers,1.0,140.0,2775_3_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",57.0,54.5,75.5
6396,Geschirrspüler Fust Novamatic,,Condensed silica fume,Fishwashers,1.0,24.0,2739_1_570x570.jpg,Technical elements,Other,Sanitary fittings and accessories,,,
6682,Geschirrspüler V-Zug,,Sitka spruce,Fishwashers,1.0,146.0,2849-2_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",57.0,55.0,76.0
6841,Geschirrspüler V-Zug,,Sitka spruce,Fishwashers,1.0,1.0,2865-3_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",,,
6843,Geschirrspüler V-Zug,,Sitka spruce,Fishwashers,1.0,104.0,2866-2_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",53.0,55.0,76.0
7048,Geschirrspüler V-Zug,,Sitka spruce,Fishwashers,1.0,64.0,2960-2_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",58.0,55.0,76.0
7052,Geschirrspüler V-Zug,,Sitka spruce,Fishwashers,1.0,25.0,2928-2_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",60.0,55.0,75.0
7077,"Küche mit Backofen , Glaskochfeld , Geschirrspüler und Kühlschrank . Alles von Electrolux",,Heat-resisting glass,Fishwashers,1.0,0.0,2957_1_570x570.jpg,Other,"Stairs, Ramps, Lift, Hardware",Space heating and cooling products,250.0,212.0,226.0
7258,Geschirrspühler,,Lignite,Fishwashers,1.0,33.0,2023-03-2613_51_41-window_570x570.png,Technical elements,"Stairs, Ramps, Lift, Hardware",Space heating and cooling products,,,
7269,"Küche mit Backofen , Mikrowelle , Geschirrspüler , Kochfeld , Dampfabzug und Kühlschrank",,Air-cooled steel slag,Fishwashers,1.0,0.0,20230406_131959_570x570.jpg,"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Space heating and cooling products,341.0,281.0,240.0
7348,Geschirrspüler V-Zug,,Sitka spruce,Fishwashers,1.0,9.0,112175_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",57.0,60.0,85.5
