,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
194,Etagère sur pied en bois brut,35.0,Wood,Wood skirtings,1.0,41.0,['7ca96c30-8626-4bee-a522-a081bccc6ccc.png'],Furnishings,Furnishings,Furnishings,,,
233,Escalier colimaçon métal / marche en bois,350.0,Wood,Wood skirtings,0.0,517.0,"['9f9f0d50-51d6-42a0-871a-72cbb7628bb4.png', '47ac5697-79b6-4989-b248-aa99ea46d93b.jpg', '7e4cd8b3-4883-45c9-a07c-ce260695a7cb.jpg', 'c815862c-2ac0-4cb7-8df8-e379732beb0a.jpg']","Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Handrails,,,
308,Porte tierce bois massif,70.0,Wood,Wood skirtings,1.0,289.0,"['10a83308-f6ac-404f-b8d5-a8570eab574d.jpg', '856ce597-78db-443e-9f91-6f0e4ce5b5a1.jpg', 'e3ea671c-c3d4-4bfe-a776-a107785219aa.jpg', '81570d36-1c27-4ada-b35c-da680271d46f.jpg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Masonry walling units,,,
374,Escalier intérieur bois,180.0,Wood,Wood skirtings,0.0,487.0,['9acf84c8-39e3-43b6-a59a-d2de828b5256.jpg'],"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Furnishings,,,
520,Traverses en bois,15.0,Wood,Wood skirtings,1.0,398.0,['8c785d2f-5be1-463b-8c09-451702c6ec68.jpeg'],"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Handrails,,,
617,Porte tierce bois aggloméré,50.0,Wood,Wood skirtings,0.0,537.0,"['c4bf7dc3-5605-467b-9481-5cef8b91cd2b.jpg', '3e2539d5-053c-42e0-8264-e21fd7432512.jpg', '5d379bdd-2640-424f-8a32-ee76322b8fdd.jpg', '4eb5d190-4ea5-4c65-9693-37540487f2d9.jpg']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks","Lighting columns, brackets and bollards",,,
646,Escalier intérieur bois,110.0,Wood,Wood skirtings,0.0,487.0,['5c4b79f3-1ab3-4197-abd9-0b7c632a76b3.jpg'],"Roof, Slabs, Stairs","Stairs, Ramps, Lift, Hardware",Furnishings,,,
866,Etagère sur pied en bois brut,35.0,Wood,Wood skirtings,1.0,-2.0,['846ecf80-1256-4b07-b64f-cb1adc1bcf47.png'],Furnishings,Furnishings,Furnishings,,,
1194,Etagère bois,90.0,Wood,Wood skirtings,1.0,14.0,['c5000460-7f4d-4915-a685-9e0ab9dded7d.jpeg'],Furnishings,Furnishings,Furnishings,,,
1241,Cloison bois fixe,80.0,Wood,Wood skirtings,1.0,84.0,"['5d2477d6-db78-4e31-9688-796c0430d1c9.jpeg', 'e7913d9b-66c6-42fb-bbce-86612f936661.jpeg', '04bd6d2c-fda9-4d69-8bc8-e75f3ec8fc58.jpeg']",Furnishings,"Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,,,
