,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
115,Console,45.0,Net,Paging consoles,1.0,313.0,"['e3e5b271-2821-4a8a-a5ff-7f077bf8ccbe.jpeg', '1f7cca02-ff19-49be-8763-002da7872f7b.jpeg', '642d537a-039c-44b1-acd1-df1c14679d4c.jpeg']",Technical elements,Other,Hardware products,,,
171,Console,30.0,Net,Paging consoles,1.0,132.0,"['195ecc9b-7c72-498b-a3a3-2ed372341a06.jpeg', '6de716f7-f653-4691-9ba1-405affd4d820.jpeg', '1a225255-c6d2-464f-ab83-7650d1775e89.jpeg']",Technical elements,Other,Hardware products,,,
558,Console,149.0,Net,Paging consoles,1.0,313.0,"['fc3db823-2281-46b4-ac98-f2ee14a36f2a.jpeg', '1a6d46d8-ee5e-442e-915f-a1e7e32478a1.jpeg', '9a01a4dd-accf-49ad-bdd6-374d80739281.jpeg']",Technical elements,Other,Hardware products,,,
638,Console,85.0,Net,Paging consoles,1.0,214.0,"['fef9a84b-d558-4297-8fd5-6353d0cf8f58.jpeg', 'de45b544-7a49-4ee2-a154-4587f2a16417.jpeg']",Technical elements,Other,Hardware products,,,
747,Console,85.0,Net,Paging consoles,1.0,313.0,"['2ff5eeef-a9fe-4a0d-b708-d3f37e802b44.jpeg', '22dea2ef-375d-4220-8698-46230cdf0ea2.jpeg', '3745ef99-4579-4614-809a-cc4bcffdc6e6.jpeg']",Technical elements,Other,Hardware products,,,
1465,Console,40.0,Net,Paging consoles,1.0,117.0,"['b4ea620f-85e4-4afa-925f-01b95e24659b.jpeg', '32c87c2a-3cfd-47ad-8791-3bcd7a394360.jpeg', 'f9acca1b-eb4a-4bfa-aec6-2ae2536db2a8.jpeg']",Technical elements,Other,Hardware products,,,
1640,Console,50.0,Net,Paging consoles,1.0,117.0,"['8734bba3-16a6-4dd1-8e3b-c71b3e7861cf.jpeg', '5540450b-18c4-4591-bded-b0ac04b3ed7f.jpeg']",Technical elements,Other,Hardware products,,,
1679,Console,50.0,Net,Paging consoles,1.0,117.0,['6608eeaf-f275-427a-a227-3b810b6d2b4d.jpeg'],Technical elements,Other,Hardware products,,,
1914,Console,50.0,Net,Paging consoles,1.0,122.0,['a27e3503-7fc0-4081-92cb-67ae8bfc52af.jpeg'],Technical elements,Other,Hardware products,,,
1932,Console,30.0,Net,Paging consoles,1.0,122.0,['d527ad3e-04c5-41cc-aa80-a60268183ba7.jpeg'],Technical elements,Other,Hardware products,,,
2280,Console,50.0,Net,Paging consoles,1.0,102.0,"['63064056-33ca-48f4-8f6d-6d134c651bf7.jpeg', 'a2f5b5ae-20bc-42ed-83cb-8687fa5fae2b.jpeg']",Technical elements,Other,Hardware products,,,
2291,Console,50.0,Net,Paging consoles,1.0,118.0,"['f485a436-0138-4949-8b69-8a17e4ea37b5.jpeg', '70f055e2-37a4-43f8-a15a-dcc7ef21bd70.jpeg', 'c54d3253-3678-454c-beb4-399ef43cac90.jpeg', '249d81ba-55f1-4b6f-9496-b4a2fef35fdb.jpeg']",Technical elements,Other,Hardware products,,,
2312,Console,50.0,Net,Paging consoles,1.0,118.0,['302e858a-90ca-40f5-8e70-7d6abe7cfc5c.jpeg'],Technical elements,Other,Hardware products,,,
2313,Console,50.0,Net,Paging consoles,1.0,118.0,"['4be96578-b313-4761-beb4-2070bc768921.jpeg', '6f80890e-7316-423c-990a-60011b127c69.jpeg', '1f60b353-e782-4ff5-8154-a136805f32f6.jpeg', '7a5fe48f-4a5f-4198-baa1-86df4e9b8e0d.jpeg']",Technical elements,Other,Hardware products,,,
2317,Console,50.0,Net,Paging consoles,1.0,118.0,"['32450a4b-f295-445b-bb8a-5ec714aebd23.jpeg', '748b82d2-f238-4100-9705-a79acc1627a5.jpeg', 'f355f6c9-91bf-4ff6-93a6-978639e7a99f.jpeg']",Technical elements,Other,Hardware products,,,
2320,Console,50.0,Net,Paging consoles,1.0,118.0,"['2ef8bbfd-5984-40f3-a060-5cd00c88ef5a.jpeg', '7cf93f11-b0e8-40ac-8867-6edc7ec34af8.jpeg', 'e6de5587-07d8-44f6-bb0f-8545ef9b45d2.jpeg', '63a9bcde-c2b0-43ef-a8e7-756f3d85d1f7.jpeg']",Technical elements,Other,Hardware products,,,
2323,Console,50.0,Net,Paging consoles,1.0,126.0,['bf01ad43-b97a-4f77-b6a4-4293ec4a591c.jpeg'],Technical elements,Other,Hardware products,,,
2713,Console,50.0,Net,Paging consoles,0.0,263.0,['64371fb2-b7ce-47f1-8520-84c9d49b2ca0.jpeg'],Technical elements,Other,Hardware products,,,
2810,Console,35.0,Net,Paging consoles,1.0,56.0,['12208704-8c90-4e64-bdc3-5563194e39f7.jpeg'],Technical elements,Other,Hardware products,,,
2825,Console,45.0,Net,Paging consoles,1.0,56.0,['35a44db5-27f8-4fed-9655-58451997813b.jpeg'],Technical elements,Other,Hardware products,,,
2832,Console,35.0,Net,Paging consoles,1.0,56.0,['35465c20-73b7-46f6-8d3e-f5d2e89bf81b.jpeg'],Technical elements,Other,Hardware products,,,
2963,Console,50.0,Net,Paging consoles,1.0,55.0,['40afd02c-27d7-4c13-a8a5-6ec55b5c6f4a.jpeg'],Technical elements,Other,Hardware products,,,
3017,Console,50.0,Net,Paging consoles,1.0,55.0,['2df666e0-b12d-4550-8a2c-77cf6261b8b3.jpeg'],Technical elements,Other,Hardware products,,,
3065,Console,35.0,Net,Paging consoles,1.0,56.0,"['1ef8687b-1851-414a-8a64-e5e5d03baa8b.jpeg', '6424da3f-edca-4721-9fd0-c9910f8b628b.jpeg', '7c6646f1-7edb-4405-8c4e-e491e44d10f3.jpeg']",Technical elements,Other,Hardware products,,,
3152,Console,50.0,Net,Paging consoles,1.0,71.0,['195e52ab-313f-43b7-aedf-1b28961fe0d0.png'],Technical elements,Other,Hardware products,,,
3275,Console,33.0,Net,Paging consoles,1.0,56.0,['09519d89-e56a-4f12-a2ac-6298bdbd3db0.jpeg'],Technical elements,Other,Hardware products,,,
3276,Console,50.0,Net,Paging consoles,1.0,47.0,['73ad9a86-4dcb-42bd-a172-8aa325bdac79.png'],Technical elements,Other,Hardware products,,,
3368,Console,50.0,Net,Paging consoles,1.0,47.0,"['c9434414-e01b-4b62-abee-82f1bcac88a1.png', '03df2f67-ecdc-48a3-912d-0d3c7db66a95.png']",Technical elements,Other,Hardware products,,,
3419,Console,33.0,Net,Paging consoles,1.0,56.0,['4ba53fc3-1dfd-4aa1-a8b6-728322707425.jpeg'],Technical elements,Other,Hardware products,,,
3726,Console,50.0,Net,Paging consoles,0.0,184.0,['297dba80-2693-4a0b-8a04-fe4e5d773ccf.jpeg'],Technical elements,Other,Hardware products,,,
4228,Console,50.0,Net,Paging consoles,0.0,143.0,"['57f686d5-7463-4117-9068-81abc3d91a41.jpg', '12fadcfb-29c2-4e74-882d-fc677ec84d78.jpg']",Technical elements,Other,Hardware products,,,
