,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
4605,Medium cone lampshade - Black,12.0,Blinding coarse aggregates,Special lamps,0.0,,,Other,Other,"Lighting columns, brackets and bollards",,,
4606,Small cone lampshade - Black,12.0,Sitka spruce,Special lamps,0.0,,,Other,Other,"Lighting columns, brackets and bollards",,,
4607,Cone lampshade - Brown,15.0,Coloured glass,Special lamps,0.0,,,Other,Other,"Lighting columns, brackets and bollards",,,
4616,Hanging light with shade in opaline,74.0,Opal glass,Special lamps,1.0,4.0,,Other,Other,Power and lighting outlet products,,,
4624,Small hanging light 'Miranda ',39.0,Sitka spruce,Special lamps,1.0,4.0,,Other,Other,Power and lighting outlet products,,,
4980,Wall lights by Leucos with handcrafted glass shade,99.0,Coloured glass,Special lamps,1.0,0.0,"['59694_ea340f7.png', '10474_6b7f5d1.png', '10475_6b7f5d1.png', '10476_6b7f5d1.png', '10477_6b7f5d1.png']",Furnishings,Furnishings,"Lighting columns, brackets and bollards",,,
4983,Wall light ! ! ' by Modular Lighting Instruments,79.0,Reflective glass,Special lamps,0.0,,"['59660_7cc0ded.png', '10370_7cc0ded.png', '10371_7cc0ded.png', '10372_7cc0ded.png', '10373_7cc0ded.png']",Other,Other,Power and lighting outlet products,,,
4987,Batch of lamp shades in opaline glass,49.0,Opal glass,Special lamps,1.0,0.0,"['59596_0db9f43.png', '10159_f3bd1f7.png', '10160_f3bd1f7.png', '10161_f3bd1f7.png']",Other,Other,Glass blocks and panels,,,
5427,"Lamp fitting diameter , cm",18.0,Glare-reducing glass,Special lamps,0.0,,"['54570_50e6e31.png', '5368_ab47246.png', '5369_ab47246.png', '5370_ab47246.png']",Other,Other,Power and lighting outlet products,,,
6017,Kleine runde Lampe * kein Platz,,Sitka spruce,Special lamps,1.0,271.0,1242.1_570x570.jpg,Furnishings,Furnishings,"Lighting columns, brackets and bollards",,,
6541,Unterbauleuchte ohne Leuchtstoffröhre,,Non-reflective glass,Special lamps,1.0,173.0,gf_570x570.jpg,Other,"Floors, Ceiling",Power and lighting outlet products,,,
6611,Vintage Pendel- Industrielampe Disano Lamp-V s,,Coloured glass,Special lamps,1.0,7.0,lampe1_%281%29_570x570.jpg,Other,Other,Power and lighting outlet products,,,
6663,Grosse runde Lampe,,Figured glass,Special lamps,1.0,155.0,1241.1_570x570.jpg,Furnishings,Furnishings,"Lighting columns, brackets and bollards",10.0,,
6664,Kleine runde Lampe,,Sitka spruce,Special lamps,1.0,155.0,1243.1_570x570.jpg,Furnishings,Furnishings,"Lighting columns, brackets and bollards",24.0,24.0,12.0
6666,Kleine runde Lampe,,Sitka spruce,Special lamps,1.0,155.0,1242.1_570x570.jpg,Furnishings,Furnishings,"Lighting columns, brackets and bollards",26.0,26.0,11.0
6711,Quadratische Lampe,,Reflective glass,Special lamps,1.0,113.0,1245.1_570x570.jpg,Other,Other,"Lighting columns, brackets and bollards",21.0,21.0,11.5
7242,Empfangstheke mit integrierter Beleuchtung / Material,,Reflective glass,Special lamps,1.0,33.0,empfangstheke_v_570x570.jpg,Technical elements,Furnishings,Power and lighting outlet products,430.0,,110.5
7271,gut erhaltene Stehleuchte mit direkter u indirekter Beleuchtung,,Reflective glass,Special lamps,1.0,15.0,20221020_101823-kopie_570x570.jpg,Furnishings,Furnishings,Power and lighting outlet products,45.0,64.0,192.0
