,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
391,Réglette d'éclairage,15.0,Blinding aggregates,Lamps,1.0,87.0,"['6ac9da77-a4d5-4b44-8ea3-7f28dcf1a7bf.jpg', '1a130a7f-8c86-408c-8d27-b6fa41720af7.jpg', 'c151e2ed-f50d-45e3-8846-d4b1c86be7ba.jpg']",Technical elements,Furnishings,Power and lighting outlet products,,,
622,Équipement d'éclairage,3.0,Reflective glass,Lamps,0.0,517.0,"['e7b0fffc-fbe1-4393-8813-e66d04a46052.png', '63378d69-1dd2-413d-92c7-b99753f4be7c.png', '3c1db6c8-a854-46e8-9bba-775e2215d984.png']",Technical elements,Furnishings,Power and lighting outlet products,,,
826,Lampe Industrielle,100.0,Wired glass,Lamps,0.0,465.0,"['1d885555-0756-4c19-bf61-d8bb9aefb6af.jpg', '39009077-5d3b-4113-84cd-7a6c7cca3ad7.jpg', '36256a93-ad0f-4caf-9e2e-64592309841e.jpg', '896c622b-455c-4d13-88d0-fc1f616ba747.jpg']",Technical elements,Furnishings,Power and lighting outlet products,,,
833,Équipement d'éclairage,1080.0,Reflective glass,Lamps,1.0,6.0,"['8bd46aa9-47ed-4143-9a76-5ed652ba74a2.jpeg', 'e16da618-1f79-4ea0-b99e-a81a4c30da64.jpeg', '7b2f5ec8-8f1e-494b-ada0-b6aaccf9f00b.png']",Technical elements,Furnishings,Power and lighting outlet products,,,
840,Équipement d'éclairage,1500.0,Reflective glass,Lamps,1.0,6.0,"['fc685f79-c5c0-45a0-b496-dcef59216ebd.jpeg', '0f0144ff-07ec-49ca-876b-164d65dae8b0.jpeg', '9bf023a4-9075-44d5-bc0e-4af88665e3af.jpeg', '9d1778dc-ee1f-4c20-ac43-ecdaf526c3db.png']",Technical elements,Furnishings,Power and lighting outlet products,,,
1611,Équipement d'éclairage,30.0,Reflective glass,Lamps,0.0,321.0,['21766d2c-da82-46f6-89aa-e9b7898d9a3b.png'],Technical elements,Furnishings,Power and lighting outlet products,,,
1654,Équipement d'éclairage,30.0,Reflective glass,Lamps,0.0,321.0,['9ca8027b-77cf-4914-95ef-e04e1a0dc681.png'],Technical elements,Furnishings,Power and lighting outlet products,,,
1998,Lampe de bureau,17.0,Sitka spruce,Lamps,1.0,99.0,['1d757fc8-dcc8-4a17-af35-e2c1eaa9157b.jpeg'],Furnishings,Furnishings,Power and lighting outlet products,,,
2039,Lampe de bureau,17.0,Sitka spruce,Lamps,1.0,122.0,"['b724b098-1897-4b5f-b693-e3878a0b2a56.jpeg', 'a8e8e2ba-8334-46e8-b91b-0952b57e6889.jpeg', 'd57c7c47-ee07-4ddf-8e94-791313403a07.jpeg']",Furnishings,Furnishings,Power and lighting outlet products,,,
2586,Lampe de bureau,20.0,Sitka spruce,Lamps,1.0,100.0,"['af72aa1e-3fe6-45c2-86ce-e5b7f3d2a703.jpeg', '44daa26d-03d9-4d1b-ac7e-0e560336dae0.jpeg']",Furnishings,Furnishings,Power and lighting outlet products,,,
2885,Ampoules,27.0,Lignite,Lamps,1.0,55.0,['ba6ef0ce-7e57-40ef-ad4f-8ee2bad4562d.jpeg'],Technical elements,Other,Power and lighting outlet products,,,
2961,Lampe de signalisation incendie,10.0,Fir,Lamps,0.0,208.0,['1304bab5-fa54-4234-a0b2-258553fca079.jpeg'],Other,Other,Power and lighting outlet products,,,
3027,Ampoules,27.0,Lignite,Lamps,1.0,55.0,['132293b6-4429-4e3b-a5f9-5e3298aa0a9a.jpeg'],Technical elements,Other,Power and lighting outlet products,,,
3050,Equipement d'éclairage,20.0,Reflective glass,Lamps,0.0,212.0,"['53eacc62-9e40-428a-b2b2-24da0d942cc6.jpeg', '9155bf96-95af-4871-8a91-9d337bd1f25e.jpeg']",Technical elements,Furnishings,Power and lighting outlet products,,,
3119,Ampoules,27.0,Lignite,Lamps,1.0,55.0,"['98336be4-bf49-46db-bcc8-6c2079b720c1.jpeg', '3bcb59e4-91aa-4871-8afa-40329e37ae8f.jpeg']",Technical elements,Other,Power and lighting outlet products,,,
3125,Ampoules,27.0,Lignite,Lamps,1.0,55.0,['4f02d11d-d6e4-42fa-98ef-b256720d2d0f.jpeg'],Technical elements,Other,Power and lighting outlet products,,,
