,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
5,Porte double manuelle,97.0,Encaustic,Double slips,1.0,406.0,"['7ee8e83a-0ac1-4954-b2ad-dcb806462be0.jpeg', '2f086143-c270-4f96-8b84-b586f6fc2057.jpeg', '7d4b9ea8-ac55-42d4-8335-15337f0dff15.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
52,Porte double manuelle,80.0,Encaustic,Double slips,1.0,95.0,"['ddc38b16-79b5-4fc5-a876-26aa2bbf4f82.jpeg', '71f397a6-9f6e-4571-b00c-219c09fffde1.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
55,Porte double manuelle,80.0,Encaustic,Double slips,1.0,70.0,"['ac572cdb-2c8d-41f4-ad3a-f490f01d7a73.jpeg', 'aebee100-3d74-4636-bbb5-7a62f43c0e44.jpeg', '638a1448-0328-43ab-9b88-97444a92cd1f.jpeg', 'dfbf4039-31c4-428a-b20f-07fd5855db3c.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
94,Porte double manuelle,80.0,Encaustic,Double slips,1.0,70.0,"['9c8f90e2-a936-4f0b-86c5-369f53236c91.jpeg', '22b92996-0f9b-4495-9e67-3c7027694f4a.jpeg', 'a9e73a5c-1e23-48f5-b3ef-f0461382643c.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
134,Fenêtre double,45.0,Pisé,Double slips,1.0,100.0,"['8ac89460-ba58-4d44-b8b4-09f9b3acbc0d.jpg', 'fb8da5f2-fbff-46e0-82d9-08f2fc1f9a69.jpg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
270,Fenêtre double,45.0,Pisé,Double slips,1.0,100.0,"['466a5d81-766d-48f9-b210-01a77bcfc72f.jpg', '58259429-8540-4dbf-a1dd-f6d63661a05a.jpg', 'ab6a8991-e601-46b9-9a57-34c412ea97d3.jpg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
606,Porte double manuelle,80.0,Encaustic,Double slips,1.0,95.0,['a2b8b96c-be2f-4ab8-b5b7-94a339914a53.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
669,Porte double manuelle,80.0,Encaustic,Double slips,1.0,95.0,['6874f363-db7b-4d3b-862f-2f80069c7f6d.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
677,Porte double manuelle,130.0,Encaustic,Double slips,1.0,132.0,"['a5210a07-aa1f-467f-9645-7b3ceb839051.jpeg', '40457a47-1d26-44c4-b84d-01e02ffd4c38.jpeg', '4928fbd5-85bf-4cb1-b32d-ba477e5c3298.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
678,Fenêtre double,45.0,Pisé,Double slips,1.0,100.0,"['aeda7a96-d398-4fe5-a08c-6e0ea4af898b.jpg', '7b0f60d5-a3da-4fc6-b66c-16b256fe09fc.jpg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
982,Porte double manuelle,30.0,Encaustic,Double slips,1.0,11.0,['345d7f3c-b18d-415d-802f-27cf154a7a82.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1027,Porte double manuelle,30.0,Encaustic,Double slips,1.0,11.0,['ba25c6d5-75f8-46df-b73e-f7a1432ebd09.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1043,Porte double manuelle,30.0,Encaustic,Double slips,1.0,11.0,['9589f38a-c515-422e-ba38-9d78428130ec.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1046,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['c7bf9679-9641-4ead-876a-fcbcb8c7cc32.jpeg', '8b991bfb-2f4e-4291-be4f-196595d54e92.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1077,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['c5dbde86-c83f-4e0d-b200-25d3c72c1200.jpeg', '8377c5e6-ded4-4189-8515-777cbb5023ca.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1086,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['9b00d7e5-560e-4d3e-9301-9d4a59a810ea.jpeg', '845f8f83-b0f9-41c5-90d1-285c60137c06.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1103,Porte double manuelle,100.0,Encaustic,Double slips,1.0,126.0,"['9bccc8b5-2f14-4a9d-826d-ef0923361808.jpeg', '9630336b-1794-4fcb-ae02-86101d912186.jpeg', 'c2909334-e1ce-4292-986f-cdfe9cbda2f7.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1104,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['1e7d500d-e208-4a5e-bd07-c07f90d64530.jpeg', 'e16b0014-f71b-4550-abd0-b8328ee479ab.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1107,Porte double manuelle,30.0,Encaustic,Double slips,1.0,11.0,['282ee8ee-d8cf-40ba-8163-d544e361f3c9.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1108,Porte double manuelle,30.0,Encaustic,Double slips,1.0,11.0,['0f5b9c62-453c-4a23-ad64-4edb4ec55d58.jpeg'],Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1113,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['dd63290c-a1a9-4505-b031-549ee298cf52.jpeg', '0ff510e2-b020-40b6-b219-e7ecbd240984.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1136,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['c4a28bb3-c1e3-4bfb-a914-dcd91df939d9.jpeg', '8bbbafaa-200d-4f8d-b7d7-669c99af5d89.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1159,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['3d222379-15db-4062-a6d4-5b747a699f4e.jpeg', '8dc2eb95-be99-4d0f-a5a1-8ed910aec259.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
1204,Porte double manuelle,60.0,Encaustic,Double slips,1.0,224.0,"['edaca8b0-9e48-4b8a-af6e-67dbe259dc55.jpeg', '0b4641cf-fb10-4f9e-a5b9-1560c05cda13.jpeg']",Technical elements,"Covering, Finish",Sanitary fittings and accessories,,,
