,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
57,.,38.0,Pisé,Sedge,0.0,537.0,['9fdf8ccb-f8d3-494c-bd45-107c88dd6c3d.png'],"Wall, Barriers, Pannels","Covering, Finish",Other,,,
75,Vasque,56.0,Pisé,Sedge,1.0,70.0,"['cb29c598-2b38-41d4-8a60-79e219098fc8.jpeg', '07d67fb5-6951-4bdc-af17-3e4ec7ee7e34.jpeg']","Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,,
87,Mitigeur,14.0,Pisé,Sedge,1.0,279.0,['8f1a4876-e0ab-44d0-b9b9-de697ebde61b.jpeg'],"Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
118,Vasque,70.0,Pisé,Sedge,1.0,87.0,['f1851a72-1d90-417b-a51e-ce45bc44cc8e.jpg'],"Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,,
177,Mitigeur,12.0,Pisé,Sedge,0.0,537.0,['ce6160e7-d31b-4c08-937d-7f8f09d50a53.jpg'],"Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
187,Vasque,75.0,Pisé,Sedge,1.0,70.0,"['1f79e56f-95f2-4cff-a746-b4960aad8903.jpeg', '1a96a3c8-8c2a-4af7-aaf2-4e0bd24475f4.jpeg', 'af61f3d7-4bab-4cee-94a5-b1529977ceec.jpeg']","Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,,
201,Dalle,8.0,Pisé,Sedge,1.0,230.0,"['4c689a77-be81-45d4-a05e-a471e80e09ec.jpeg', '9d5ae3ff-1d5e-450f-94e8-3e18fb931112.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
221,Vasque,75.0,Pisé,Sedge,1.0,70.0,"['dc074907-a75f-4339-9a24-a28fc9b0edfb.jpeg', '81a7c901-40ae-4c00-9b3d-f305ee6e92c2.jpeg', '81d53491-3d7f-4baa-a280-cf8db00d7a25.jpeg']","Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,,
223,Mitigeur,15.0,Pisé,Sedge,1.0,398.0,['52d6ea3a-26d6-457f-83af-0faa3eb48520.jpeg'],"Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
226,Dalle,8.0,Pisé,Sedge,1.0,230.0,['b97f7076-6177-4276-824e-22691c600bdd.jpeg'],"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
