,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
183,Chaise,7.0,Sitka spruce,Reclining chairs,1.0,393.0,"['6366b45f-6dc0-44de-b311-3b769a009584.jpg', '79397296-b2fb-4b89-88cd-ba92ca9addd4.jpg', 'b9a9da4e-03c4-4a32-b893-bce447fae885.jpg']",Furnishings,Furnishings,Furnishings,,,
344,Chaise,10.0,Sitka spruce,Reclining chairs,1.0,266.0,['cb1df9fa-79ae-4195-ad34-fe76962e3399.jpeg'],Furnishings,Furnishings,Furnishings,,,
523,Chaise,20.0,Sitka spruce,Reclining chairs,1.0,266.0,['ef630755-2c3a-4648-8090-c927413c8569.jpg'],Furnishings,Furnishings,Furnishings,,,
1880,Chaise,10.0,Sitka spruce,Reclining chairs,1.0,122.0,['53a2710e-c782-46f1-bbdd-1b0b9124ac5e.jpeg'],Furnishings,Furnishings,Furnishings,,,
1884,Chaise,20.0,Sitka spruce,Reclining chairs,1.0,122.0,['1745c1b3-59c8-4846-b9d6-a78e8849e4f1.jpeg'],Furnishings,Furnishings,Furnishings,,,
1885,Chaise,15.0,Sitka spruce,Reclining chairs,1.0,122.0,['35f3fc2c-809c-4a2f-b69e-603177a9bb53.jpeg'],Furnishings,Furnishings,Furnishings,,,
1888,Chaise,22.0,Sitka spruce,Reclining chairs,1.0,56.0,['335dc73e-1be1-4190-8edc-2b1889bb3a5c.jpeg'],Furnishings,Furnishings,Furnishings,,,
1892,Chaise,22.0,Sitka spruce,Reclining chairs,1.0,122.0,['2dbd56a8-a8c5-460f-93dc-b40201462fd4.jpeg'],Furnishings,Furnishings,Furnishings,,,
1899,Chaise,10.0,Sitka spruce,Reclining chairs,1.0,122.0,['3063b25a-4410-486c-8840-c059f4844f86.jpeg'],Furnishings,Furnishings,Furnishings,,,
1902,Chaise,22.0,Sitka spruce,Reclining chairs,1.0,122.0,"['b0316879-6b3e-472e-8328-8c5ce9facfcc.jpeg', '925ba2bb-3ef9-4b50-bd55-a73e723364a6.jpeg', '70a66da3-87f2-458a-b654-b8f5d3bead16.jpeg', '599b8cb6-8540-49d7-a82a-03cd58934f19.jpeg']",Furnishings,Furnishings,Furnishings,,,
1910,Chaise,50.0,Sitka spruce,Reclining chairs,1.0,122.0,['5c3b41ef-0921-48d2-8341-9c2138e14e90.jpeg'],Furnishings,Furnishings,Furnishings,,,
1913,Chaise,15.0,Sitka spruce,Reclining chairs,1.0,122.0,['884f6160-3b5d-4351-a023-7b31ca97f919.jpeg'],Furnishings,Furnishings,Furnishings,,,
1940,Chaise,20.0,Sitka spruce,Reclining chairs,1.0,122.0,['aa88ac86-55a3-48db-8ac8-423767d8dc75.jpeg'],Furnishings,Furnishings,Furnishings,,,
1945,Chaise,22.0,Sitka spruce,Reclining chairs,1.0,122.0,['e42fad9d-3461-48cb-8fe8-44c80621e058.jpeg'],Furnishings,Furnishings,Furnishings,,,
1959,Chaise,22.0,Sitka spruce,Reclining chairs,1.0,122.0,"['5c8c854e-e58e-4fb8-aec8-fec1b74836eb.jpeg', 'e117a395-c9ab-4248-bb52-7b6892faed07.jpeg']",Furnishings,Furnishings,Furnishings,,,
1966,Chaise,22.0,Sitka spruce,Reclining chairs,1.0,122.0,['c740d0f9-e52b-42ff-8ac7-baecc8f272f2.jpeg'],Furnishings,Furnishings,Furnishings,,,
1972,Chaise,15.0,Sitka spruce,Reclining chairs,1.0,122.0,['f33f2b81-6a19-4d6a-8a1d-5d74913a8ff1.jpeg'],Furnishings,Furnishings,Furnishings,,,
1976,Chaise,15.0,Sitka spruce,Reclining chairs,1.0,122.0,['2aee6735-1cc9-444b-9f5b-8e87dc8305b6.jpeg'],Furnishings,Furnishings,Furnishings,,,
1980,Chaise,15.0,Sitka spruce,Reclining chairs,1.0,122.0,"['b4aae2a7-8051-4469-be45-93ed63a6b6b1.jpeg', '0ab2e24b-0e5e-40c4-ab60-5ca59ca38be3.jpeg']",Furnishings,Furnishings,Furnishings,,,
1981,Chaise,15.0,Sitka spruce,Reclining chairs,1.0,122.0,['eb987305-ae9c-462d-84ff-39cf52e3b24e.jpeg'],Furnishings,Furnishings,Furnishings,,,
1991,Chaise,22.0,Sitka spruce,Reclining chairs,1.0,122.0,['4a3db408-a4bb-4463-ba4a-07aa8789ebe2.jpeg'],Furnishings,Furnishings,Furnishings,,,
2015,Chaise,10.0,Sitka spruce,Reclining chairs,1.0,122.0,['be96cade-2128-493d-b7f5-a678d8902266.jpeg'],Furnishings,Furnishings,Furnishings,,,
2025,Chaise,200.0,Sitka spruce,Reclining chairs,1.0,122.0,"['c7f57b99-3190-4129-8ce4-4fa4b8db9c15.jpeg', 'daf860ed-e4ca-4ca5-8f20-8e75d120f076.jpeg']",Furnishings,Furnishings,Furnishings,,,
