,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
2706,Fenêtre double double vitrage,160.0,Figured glass,Double window steam sight glasses,1.0,88.0,"['3a9e9e90-474f-417f-80ed-3f19a7dab225.jpeg', 'e06cbd65-bddf-4c9c-b865-6c31a635ffbc.jpeg']","Wall, Barriers, Pannels","Covering, Finish",Glass blocks and panels,,,
6614,Fenster doppelverglast,,Prismatic glass,Double window steam sight glasses,1.0,79.0,2802_1_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
6615,Fenster doppelverglast,,Prismatic glass,Double window steam sight glasses,1.0,79.0,2797_2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
6618,Fenster doppeltverglast,,Prismatic glass,Double window steam sight glasses,1.0,16.0,2789_2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
6619,Fenster doppeltverglast,,Prismatic glass,Double window steam sight glasses,1.0,127.0,2790_2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,176.4,,71.3
6620,Fenster doppelverglast,,Prismatic glass,Double window steam sight glasses,1.0,127.0,2792_2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,284.0,,102.0
6621,Fenster doppeltverglast,,Prismatic glass,Double window steam sight glasses,1.0,127.0,2794_2_%281%29_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,86.5,,98.0
6622,Fenster doppelverglast,,Prismatic glass,Double window steam sight glasses,1.0,127.0,2791_2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,264.5,7.0,57.0
6623,Fenster doppelverglast,,Prismatic glass,Double window steam sight glasses,1.0,127.0,2795_2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,76.0,7.0,70.0
6624,Fenster doppelverglast,,Prismatic glass,Double window steam sight glasses,1.0,127.0,2799_2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,192.5,,222.5
6628,Fenster doppelverglast,,Prismatic glass,Double window steam sight glasses,1.0,127.0,2798_2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,99.0,7.0,75.0
6637,Fenster doppeltverglast,,Prismatic glass,Double window steam sight glasses,1.0,121.0,2806_2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,136.5,220.8
6865,Fenster doppelverglast,,Prismatic glass,Double window steam sight glasses,1.0,57.0,2876-2_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,210.0,110.0
6939,Blindfenster doppelverglast,,Prismatic glass,Double window steam sight glasses,1.0,48.0,2875-2_570x570.jpg,"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,71.5,180.0
