,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
36,Applique murale,10.0,Decorative aggregates,Murals,1.0,230.0,['26870399-0e50-495b-b9e9-005de288edd2.png'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
56,Applique murale,45.0,Decorative aggregates,Murals,1.0,230.0,"['5e5e4060-79e5-4b93-8e47-e57cb69b6651.jpeg', '09387ae0-b8a4-4381-a83d-26972ee44964.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
82,Applique murale extérieure,20.0,Loose surfacing decorative aggregates,Murals,1.0,398.0,['9b9d5a4e-b77e-4c76-9767-5fe27fea2077.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
97,Applique murale,25.0,Decorative aggregates,Murals,1.0,127.0,['2a864d41-7fa1-461f-af95-0b784070b29d.png'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
111,Etagère murale,35.0,Decorative aggregates,Murals,1.0,313.0,"['cc04b8d1-271c-48e2-ada7-1b88ad446fbf.jpeg', '7f6d9bbe-6a56-4de6-9583-05d510312d9d.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
135,Applique murale,25.0,Decorative aggregates,Murals,1.0,127.0,['f473c8eb-7eca-457c-b459-bb38f173bd52.png'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
215,Dérouleur mural,6.0,Loose surfacing decorative aggregates,Murals,1.0,398.0,['752eada6-abba-4922-afba-821bf876533d.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
267,Applique murale,13.0,Decorative aggregates,Murals,1.0,95.0,['ada676b0-5252-4104-bb3a-6470796ac53d.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
269,Applique murale,10.0,Decorative aggregates,Murals,1.0,230.0,['82c7b163-69a3-458a-ae96-6018e49935df.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
303,Prise murale,5.0,Decorative aggregates,Murals,1.0,60.0,"['341bf596-94ed-40d0-b02f-925446995bae.png', '223e71bc-3113-4459-8dbd-d0154c9a1603.png']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
318,Applique murale,15.0,Decorative aggregates,Murals,0.0,409.0,['438a4dc3-b662-40e9-ab1a-b16f60c45a76.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
336,Applique murale,35.0,Decorative aggregates,Murals,1.0,405.0,"['b2041ce2-d4f4-4baa-900f-d0aaf394d607.jpeg', 'bd64bb7f-9cd7-42cd-9898-ff773fd42f8b.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
366,Applique murale extérieure,20.0,Loose surfacing decorative aggregates,Murals,1.0,398.0,['4e7000b3-03bb-4628-ba01-d1442f9efd03.JPG'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
416,Applique murale,10.0,Decorative aggregates,Murals,1.0,127.0,['8e31d424-01b1-4487-a371-888f3677ad4c.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
479,Applique murale extérieure,20.0,Loose surfacing decorative aggregates,Murals,1.0,398.0,['62f24088-78c3-416a-a6b7-212d294639a3.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
569,Applique murale,20.0,Decorative aggregates,Murals,1.0,127.0,['9274c9ab-1872-4d54-8997-b1346e0c4cca.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
674,Applique murale,45.0,Decorative aggregates,Murals,1.0,230.0,['7468f93f-a829-4bed-9766-8403eef0068b.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
728,Applique murale extérieure,20.0,Loose surfacing decorative aggregates,Murals,1.0,399.0,['d72fd63b-07ba-440e-ac04-57d745aeda7c.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
749,Applique murale extérieure,20.0,Loose surfacing decorative aggregates,Murals,1.0,398.0,['05b88958-5925-4d42-9966-6a5588bd02ac.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
