,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
89,Panneaux acoustiques,20.0,Silt,Acoustic batten cradles,1.0,87.0,['dc22e8e2-0375-4296-a50f-a4d408297921.jpg'],Other,Other,Other,,,
302,Blocs de faux plafonds acoustiques,80.0,Silt,Acoustic batten cradles,0.0,424.0,['3a1918b8-0d4a-4988-8b68-92d164672ad9.png'],"Roof, Slabs, Stairs","Floors, Ceiling",Glass blocks and panels,,,
1091,Mobilier acoustique,15.0,Silt,Acoustic batten cradles,1.0,11.0,"['eb7bec4b-8505-484c-a4cc-15597b166591.jpeg', '9ae817c1-4de3-4f4d-8790-8d9173464f65.jpeg', 'c1129c84-92a1-4a8f-9921-e74838741b5f.jpeg']",Technical elements,Furnishings,Sanitary fittings and accessories,,,
1178,Mobilier acoustique,15.0,Silt,Acoustic batten cradles,1.0,11.0,"['476b5116-962e-4357-9bd3-64b779937567.jpeg', '93594eaa-8c00-4275-ae30-4a6cf37ff41a.jpeg', '2ae3cfa4-ce43-4787-a75d-f7c6751229a3.jpeg', '73f7f8df-310f-4c01-ac5d-e9cddd81dcda.jpeg']",Technical elements,Furnishings,Sanitary fittings and accessories,,,
1224,Dalle de faux plafond acoustique,40.0,Silt,Acoustic batten cradles,1.0,224.0,"['769b7e0a-c7c8-446d-b6ef-b2aeaf93bcd6.jpeg', 'e4db53e0-a2f1-4ca0-97ff-ed8dd2949576.jpeg', 'd7b0e133-c632-43b0-896c-4e9b401c96ed.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1230,Mobilier acoustique,15.0,Silt,Acoustic batten cradles,1.0,11.0,"['ebf51baf-36dc-45ae-975d-22e85785e5db.jpeg', '9b84ee1a-9648-4bfb-97ac-0bb44b0261e8.jpeg', 'eb3ff9b1-e418-48bc-887d-d042776cb525.jpeg', 'd3e27ede-d011-4759-b30c-13d131b897ad.jpeg']",Technical elements,Furnishings,Sanitary fittings and accessories,,,
1365,Mobilier acoustique,20.0,Silt,Acoustic batten cradles,1.0,11.0,['da89f54e-9c54-4692-99ff-a3d718cea35d.jpeg'],Technical elements,Furnishings,Sanitary fittings and accessories,,,
2205,Mobilier acoustique,30.0,Silt,Acoustic batten cradles,1.0,38.0,"['49aad19a-6944-424a-b59e-15ade38db3a2.jpeg', '059fefd3-bddc-4c97-ae87-394240a524ec.jpeg', '77c96d0d-dfcf-4ea6-9714-f8195e369f7f.jpeg']",Technical elements,Furnishings,Sanitary fittings and accessories,,,
2237,Panneaux acoustiques,30.0,Silt,Acoustic batten cradles,1.0,38.0,"['7017e44c-9437-4282-a19a-60d776ad753e.jpeg', '249edaf3-8852-42f8-8a07-1a3e1e49b2fe.jpeg']",Other,Other,Other,,,
2239,Panneaux acoustiques,30.0,Silt,Acoustic batten cradles,1.0,38.0,"['4f0b3d45-e9fd-429c-8c26-5eaf5e58663b.jpeg', '11f8067a-78f0-4320-992a-8fd4708eee8e.jpeg']",Other,Other,Other,,,
3229,Cloison acoustique,45.0,Clinker,Acoustic batten cradles,1.0,56.0,"['714f3f47-9634-4cec-9b5a-daa42237b1cb.jpeg', '4c5820f4-7e41-4905-bf55-366dbd60543b.jpeg']",Other,Other,Other,,,
