,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
716,"Compartiment , cabine et division de toilette",30.0,Sitka spruce,WC pans,1.0,231.0,"['7d095167-19ee-4f3c-bb59-62109e5d47a6.jpeg', '73591b3c-efdd-4c64-8d98-4b586d41cc1e.jpeg']","Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
1357,Portes séparatrices toilettes,72.0,Sitka spruce,WC pans,1.0,224.0,"['40137826-c797-45d2-a4cb-53824c4c0262.jpeg', '0b129e06-febd-46c4-aa41-fb79c8aef95d.jpeg', '71d69205-72c9-4318-a6cb-29678e2bebd9.jpeg']","Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
2119,Autre lavabo,72.0,Sitka spruce,WC pans,0.0,326.0,"['3c87a66c-1204-4a6f-8f37-c57b0f7b8ab4.jpeg', '9f5f6996-536b-41b9-b712-5af3d0a8e825.jpeg', 'bd8d6564-cd97-4f02-b65f-17c1fcec2ecf.jpeg']","Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
3427,Brosse toilette neuve,5.0,Sitka spruce,WC pans,1.0,55.0,['2bbccefc-f77b-4773-a910-266cdf727105.jpeg'],"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,,,
4202,Vasques lavabo sur colonne,40.0,Sitka spruce,WC pans,0.0,143.0,"['0d1de432-1aff-437f-8c9d-c094a3a9577e.jpg', '6cacaedc-c75f-4e69-a317-32c9cae4c735.jpg']","Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
4383,Batch of toilet doors in Formica ca . pc .,99.0,Sitka spruce,WC pans,1.0,146.0,,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
4573,Toilet signage in aluminum pair,9.0,Aluminium,WC pans,0.0,,,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,,,
4684,Hanging toilet by Porcher,29.0,Sitka spruce,WC pans,1.0,4.0,,"Roof, Slabs, Stairs","Floors, Ceiling",Sanitary fittings and accessories,,,
5197,Petit lavabo,,Sitka spruce,WC pans,1.0,0.0,"['https://materiuum.ch/wp-content/uploads/2023/01/2212-5453-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2212-5453-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2212-5453-c-600x800.jpg']","Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
5601,Antike Toilette stehend,,Fire clay,WC pans,1.0,265.0,dsc00993_570x570.jpg,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,47.0,38.0,40.0
5652,WC-Wandklosett,,Sitka spruce,WC pans,1.0,265.0,unbenannt-4_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,67.0,36.0,39.0
5742,WC-Wandklosett komplett,,Sitka spruce,WC pans,1.0,162.0,1_%2859%29_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
5819,WC-Wandklosett,,Sitka spruce,WC pans,1.0,121.0,hintergrund-horizontal-neu_%287%29_570x570.png,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
5880,- % Spender für Toilettensitzreiniger,,Dolerite,WC pans,1.0,265.0,1804_570x570.jpg,Other,Other,Sanitary fittings and accessories,8.5,9.0,25.0
5932,Toilette Argovit,,Pisé,WC pans,1.0,,2704_2_570x570.jpg,"Wall, Barriers, Pannels",Other,Other,46.0,36.0,39.0
5941,WC-türe mit Trennwand -Front,,Sitka spruce,WC pans,1.0,106.0,20191209_142155_570x570.jpg,"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
6056,WC-Schüssel,,Sitka spruce,WC pans,1.0,92.0,111890_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
6166,WC-Bürstenhalter aus Edelstahl,,Sitka spruce,WC pans,1.0,173.0,20220523_142640-kopie_570x570.jpg,"Wall, Barriers, Pannels",Other,Sanitary fittings and accessories,,,
