,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
3,Isolation laine de verre,5.0,Patterned glass,Glass fins,1.0,38.0,"['c3f04845-48da-4f7d-bdb8-ea08f1b8953f.jpeg', '48bc342b-5a4e-4f43-af59-84bbf47a3c35.jpeg', 'ec838a21-915b-450c-adfe-1c6f47678e10.jpeg', '58251e40-dbbd-478b-aa68-22e4f9bdd80a.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
598,Porte coulissante automatique en verre,115.0,Patterned glass,Glass fins,1.0,31.0,['bfd849d8-906e-4e9b-81f4-310c58366d67.png'],"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,,
664,Cloison verre,60.0,Patterned glass,Glass fins,0.0,443.0,"['80532913-0728-4cc3-9404-50697954d81f.png', '33bde42f-2c73-48bc-9fb6-7de690d110c4.png', '71a6f3e4-5a38-4533-b7bb-0a31ba32118d.png']","Wall, Barriers, Pannels","Covering, Finish",Glass blocks and panels,,,
938,Porte coulissante automatique en verre,115.0,Patterned glass,Glass fins,1.0,180.0,['58f1ec06-c590-4d33-93af-e6c01f334ec1.png'],"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,,
1215,Bandes verre,146.0,Patterned glass,Glass fins,1.0,17.0,"['eb774b6a-fd9b-47f8-8eda-114bed771aea.jpeg', 'afed5051-d501-4e1d-b8c2-7b4081020d41.jpeg']","Wall, Barriers, Pannels","Covering, Finish",Glass blocks and panels,,,
1386,Brique de verre,90.0,Patterned glass,Glass fins,1.0,239.0,"['c5bec206-539a-444c-bf43-fcfbf92f7f8f.jpeg', '0e9d7fb2-2e86-4d8e-9815-c4c1552098d4.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
1451,Plafonnier verre,40.0,Patterned glass,Glass fins,0.0,354.0,['61bec690-588b-4a55-beb9-c7d0a4a3d711.jpeg'],"Wall, Barriers, Pannels","Floors, Ceiling",Glass blocks and panels,,,
1456,Brique de verre,0.0,Patterned glass,Glass fins,1.0,64.0,['0ad06b67-ad7c-45d6-bdc0-42f21feb8a5d.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
1478,Brique de verre,0.0,Patterned glass,Glass fins,1.0,64.0,['655c1e1a-94b9-4ea3-b404-244931349e91.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
1575,Brique de verre,100.0,Patterned glass,Glass fins,0.0,326.0,"['7776bce6-eaec-4dd8-b929-8ed52b2b9406.jpeg', '42705feb-57a4-4bcb-9f72-111451604bb2.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
