,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
142,Pompe à Chaleur,200.0,Pisé,Sprigs,1.0,77.0,"['c83f732d-11d2-4aa6-bf5a-fde4800386bc.jpeg', 'c4d1c112-e14f-4591-bae1-d0733276253f.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
169,Pompe à Chaleur,220.0,Pisé,Sprigs,1.0,77.0,"['522fb042-f521-4bf5-9eb2-3dfb4513986c.jpeg', '9ffe325f-0e6f-4bb5-80d0-78f8f7d98aab.jpeg', '829c7412-b201-48ea-b3a6-e1a0b023aa87.jpeg', '9f20b77e-bbc8-44bc-9247-d97a41f04b7d.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
202,Dalle de moquette,8.0,Pisé,Sprigs,1.0,70.0,"['aa847bd0-486a-481e-858c-b1f2a9e0b2d6.jpeg', '687a306a-3634-42fc-9161-eff6eab87c8a.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
247,Poubelle,30.0,Pisé,Sprigs,1.0,67.0,['3e1921af-d9c1-4c77-9333-1c0a08f7c7af.jpeg'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
307,Pompe à Chaleur,200.0,Pisé,Sprigs,1.0,77.0,"['52daead9-52e4-452c-a363-696cdc4b3fc5.jpeg', '5685d441-8c93-4bd7-8cba-fd091ced5dc4.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
529,Dalle de moquette,5.0,Pisé,Sprigs,0.0,537.0,"['2dafc4f2-25b0-4d76-a02a-1319f0d46aa3.jpg', '38935e5f-0680-4c12-a2d4-054b5f565a69.jpg']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
681,Poubelle,15.0,Pisé,Sprigs,1.0,82.0,['7976706e-41a8-4ef2-801e-51ee9c76586a.jpeg'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
712,Pompe à Chaleur,2348.0,Pisé,Sprigs,1.0,77.0,"['1fce7128-96a7-41ea-91b5-c83d6bcae11e.jpeg', 'dce604ff-bcf8-47aa-b5f4-96d9e74e8b4a.jpeg', '5d8d83e6-cc20-45b0-8b2b-90eb944b0f0e.jpeg', 'bf2cd95c-4368-416b-bf78-437c50c0526f.jpeg', 'f9f9ebce-5d5f-4e99-930c-fb0c700be907.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
714,Poubelle,0.0,Pisé,Sprigs,0.0,445.0,"['0b5d7d9d-74f3-48cf-a3c7-3b0948caeb47.jpeg', '5d02ad42-5f3a-4c2a-a8b1-c2032bdd9cfa.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
726,Pompe à Chaleur,200.0,Pisé,Sprigs,1.0,77.0,"['56b72c35-64b7-4c14-a2a2-88e8c5f558e0.jpeg', 'cdd0feba-d886-41c4-bffb-e9b14ae4106f.jpeg', 'ca21d8be-dbab-4ff7-b0f8-54569208095b.jpeg', 'ece29fee-35f9-47f0-a155-42436db81116.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
