,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
26,Radiateur électrique,40.0,Compressed air,Radiators,0.0,465.0,"['9c0eafe6-4395-4202-b925-a038ef374b66.jpg', 'ed4d39ea-e9e1-44f2-a5d5-a42f18305f52.jpg', '91932e9d-88dd-499b-9531-7d8b6b8d26fd.jpg']",Technical elements,"Floors, Ceiling",Space heating and cooling products,,,
77,Radiateur,30.0,Compressed air,Radiators,1.0,398.0,['a97c001f-62ab-4226-8f54-b85059851b34.jpeg'],Other,Other,Space heating and cooling products,,,
143,Radiateur,30.0,Compressed air,Radiators,1.0,398.0,['f1d9d260-3bd0-4566-af7b-05d910ec48d8.jpeg'],Other,Other,Space heating and cooling products,,,
145,Radiateur,40.0,Compressed air,Radiators,1.0,67.0,"['23ae1680-fdb2-4e5e-a7a9-c1d94c3810b3.jpeg', '79b38cd6-a2ed-4b99-9234-ac29d24fa865.jpeg', 'ed48ddd2-cc14-4a6b-b5c4-a4574c042dde.png', '3a0a4509-bd20-48a9-9cd1-c5b97a9ba579.png']",Other,Other,Space heating and cooling products,,,
180,Radiateur électrique,38.0,Compressed air,Radiators,1.0,279.0,['33d24c88-7c73-4b12-9bf9-a7d79f15e496.jpeg'],Technical elements,"Floors, Ceiling",Space heating and cooling products,,,
214,Radiateur électrique,38.0,Compressed air,Radiators,0.0,527.0,['de272944-6e5f-491c-8ba1-6589503e7489.jpeg'],Technical elements,"Floors, Ceiling",Space heating and cooling products,,,
227,Radiateur électrique,38.0,Compressed air,Radiators,0.0,527.0,['4b97e686-c01e-48aa-8a8f-91bca888c14d.jpeg'],Technical elements,"Floors, Ceiling",Space heating and cooling products,,,
236,Radiateur électrique,24.0,Compressed air,Radiators,0.0,537.0,"['5f379998-566f-489a-a396-9d383e2ff73d.jpeg', '39225584-c41e-46eb-b090-dddb61610561.jpeg']",Technical elements,"Floors, Ceiling",Space heating and cooling products,,,
259,Radiateur électrique,38.0,Compressed air,Radiators,1.0,279.0,['f467d122-bbb0-4705-aef9-8d372a4561f4.jpeg'],Technical elements,"Floors, Ceiling",Space heating and cooling products,,,
385,Radiateur,40.0,Compressed air,Radiators,1.0,67.0,"['3b9710f0-7040-4928-892d-874b16100313.jpeg', 'e4a6654a-cb1a-442d-bc24-dc72cef3b88c.jpeg']",Other,Other,Space heating and cooling products,,,
389,Radiateur,30.0,Compressed air,Radiators,1.0,398.0,['9894c5df-8d9a-4c5c-85a6-454d72870b0c.jpeg'],Other,Other,Space heating and cooling products,,,
430,Radiateur,24.0,Compressed air,Radiators,0.0,537.0,"['59ad7c37-2b67-47c5-b34a-b82e5f8bd3a6.jpg', '4d7636f5-aa3c-4121-960c-0336b568e263.jpg', 'd63092f9-6ab8-474c-b56b-68aeda4b919b.jpg']",Other,Other,Space heating and cooling products,,,
445,Cache-radiateur,10.0,Radon,Radiators,1.0,313.0,"['88b6ca63-b628-4026-b103-1691e80565e0.png', '26dbf5e8-eb8c-475c-b570-d012d45f9c29.jpeg']",Technical elements,Other,Space heating and cooling products,,,
446,Radiateur,30.0,Compressed air,Radiators,1.0,398.0,['ecdbce3c-378c-4ef5-a75a-b5d599ef9f2f.jpeg'],Other,Other,Space heating and cooling products,,,
453,Radiateur,40.0,Compressed air,Radiators,1.0,67.0,"['df9ce875-b08a-42a8-9863-6b61bfb46a5f.jpeg', 'd26c8efb-60f8-453e-ab60-b4693f488366.jpeg', '9f94892e-dded-46da-aae8-5c907cadecc2.jpeg']",Other,Other,Space heating and cooling products,,,
