,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
870,Garde-corps,17.0,Gravel,Column guards,1.0,5.0,"['800da5fe-fbcb-42b0-8b81-a703024ddf79.jpeg', 'fe94f67f-fdfe-47a2-b826-fd991b57795d.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
926,Garde-corps,24.0,Gravel,Column guards,1.0,5.0,['f05ada7e-a2fb-4b5b-acb4-90a39b789890.jpg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
1064,Garde-corps,30.0,Gravel,Column guards,1.0,11.0,['adf4513b-97c5-4d30-b41e-a77f85cf6dcc.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
1112,Garde-corps,10.0,Gravel,Column guards,1.0,224.0,"['a33e8480-9418-44a5-81ef-94a01f96e3b2.jpeg', 'd9535027-5323-441f-9462-62bd7172c21f.jpeg', 'f6242a43-0e75-4257-8273-a30194fbc23f.jpeg', 'e96a0e66-6b15-4f02-8e3f-2371062e66f6.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
1509,Garde-corps,0.0,Gravel,Column guards,1.0,64.0,['fd3ad2c8-4738-4202-aad7-a583fa827694.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
1568,Garde-corps,40.0,Gravel,Column guards,1.0,117.0,"['f8fbaa26-0cd0-47d2-80e2-280a48253bde.jpeg', '536d7ba8-4144-4cbf-a13a-258cae97a384.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
1572,Garde-corps,50.0,Gravel,Column guards,1.0,117.0,['f58b1915-8578-4607-9606-181b3b37d6c0.jpeg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
1580,Garde-corps,40.0,Gravel,Column guards,1.0,117.0,"['45297f0c-7b0e-484e-9565-8f80827a7e74.jpeg', '297cf095-db87-4d5c-aad3-d54e37230a8c.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
1638,Garde-corps,50.0,Gravel,Column guards,0.0,332.0,"['3f28e03a-f848-4f17-8691-9f3b366eb1c2.jpeg', 'f02c91a3-c225-483b-8c8e-2f0ef567757c.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
2051,Garde-corps,40.0,Gravel,Column guards,1.0,45.0,"['0165f604-9469-4642-9f91-214aed78b472.jpeg', '4e9965eb-4600-4b7a-af58-e0196940e6eb.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
2659,Garde-corps,49.0,Gravel,Column guards,1.0,100.0,"['9ea28d16-063e-4b78-a87e-3426f38430df.jpeg', 'da6f1fb9-d417-4c75-b190-86e92025f4e6.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
3772,Garde-corps,25.0,Gravel,Column guards,0.0,186.0,"['b11b9c90-2efa-4fce-9260-b3d8c7130c91.jpeg', '2ee4aa66-7dc0-46cb-a22a-59266cf66000.jpeg', '46f135cb-4583-4ab1-911d-e11f6322480c.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
4259,Garde-corps,50.0,Gravel,Column guards,0.0,152.0,['9debc6ce-b119-47de-bd54-c6c48383c954.jpg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Safety cages,,,
