,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
5530,Kühl- & Gefrierschrank Electrolux,,Thermoplastic elastomer resin,Catering refrigerators,1.0,,2694_1_570x570.jpg,Other,Other,Space heating and cooling products,55.0,55.0,163.0
5593,Kühl- & Gefrierschrank Electrolux,,Thermoplastic elastomer resin,Catering refrigerators,1.0,15.0,,Other,Other,Space heating and cooling products,,,
5722,Kühl- & Gefrierschrank Electrolux,,Thermoplastic elastomer resin,Catering refrigerators,1.0,18.0,,Other,Other,Space heating and cooling products,,,
5786,Einbauküche mit Ofen und Kühlschrank,,Air-cooled steel slag,Catering refrigerators,1.0,184.0,img_11211_570x570.jpg,"Roof, Slabs, Stairs",Other,Space heating and cooling products,,,
5882,: grosser Getränkekühler,,Air-cooled steel slag,Catering refrigerators,1.0,265.0,img_0678_570x570.jpg,Other,Other,Space heating and cooling products,,,
5905,Kühl- & Gefrierschrank Electrolux,,Thermoplastic elastomer resin,Catering refrigerators,1.0,265.0,2699_1_570x570.jpg,Other,Other,Space heating and cooling products,52.0,55.0,152.0
5968,Kühl- & Gefrierschrank Elektrolux,,Thermoplastic elastomer resin,Catering refrigerators,1.0,265.0,2459_570x570.jpg,Other,Other,Space heating and cooling products,58.0,54.0,153.0
6325,Kühlschrank Primotecq,,Lignite,Catering refrigerators,1.0,14.0,112242_570x570.jpg,Other,Other,Space heating and cooling products,,,
6692,Gastro Kühlschrank,,Gas,Catering refrigerators,1.0,1.0,1_%28306%29_570x570.jpg,Other,Other,Space heating and cooling products,,,
6695,Kühl- & Gefrierschrank Electrolux,,Thermoplastic elastomer resin,Catering refrigerators,1.0,144.0,2692_1_570x570.jpg,Other,Other,Space heating and cooling products,51.0,55.0,150.0
6748,Kühl- & Gefrierschrank Electrolux,,Thermoplastic elastomer resin,Catering refrigerators,1.0,4.0,2404_1_570x570.jpg,Other,Other,Space heating and cooling products,,,
6946,Kombi Elektrolux Gefrierfächer,,Thermoplastic elastomer resin,Catering refrigerators,1.0,23.0,112569_2_%281%29_570x570.jpg,Other,Other,Space heating and cooling products,63.0,60.0,174.5
