,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
99,Lavabo céramique,25.0,Ceramic,Ceramic slates,0.0,489.0,"['f5080c41-9bed-4767-a925-adc86acaae49.jpg', '8a971c72-c16a-4416-b57a-9c7b789c10cb.jpg', 'b65a3352-6d42-4c97-8a1d-d478fe648038.jpg', '25e4cd78-db3b-4a9f-81b8-1276292f2059.jpg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
319,Vasque céramique encastrable,25.0,Ceramic,Ceramic slates,1.0,111.0,"['f3d8e1a0-844b-42a8-ae00-16e8e082f5a7.jpeg', '723eec37-1113-413a-80b2-8d3e6b52b0a0.png']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
396,Lavabo céramique + robinetterie + tablette,20.0,Ceramic,Ceramic slates,0.0,573.0,['d7ea40b3-4db1-48ea-b3bc-0f35cebe5a8f.jpg'],"Wall, Barriers, Pannels",Furnishings,"Floor plates, gratings and edgings",,,
585,Lavabo céramique,25.0,Ceramic,Ceramic slates,0.0,489.0,['e6cffe4a-6fd0-4d6f-9de9-6adafb3eb80e.jpg'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
1167,Lavabo céramique,75.0,Ceramic,Ceramic slates,1.0,14.0,"['b1850f0e-9439-408b-86ea-fa0b96f44c99.jpeg', '62ebcbe8-6614-4c48-9767-ea2b1b222165.jpeg', 'faafed57-fd97-405c-a898-e198d1cb8246.jpeg', '1a86fc99-7be5-46b8-abe8-0fc44543a610.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",,,
4422,Ceramic plinth by,5.0,Ceramic,Ceramic slates,0.0,,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
5938,Keramikplatten/Bodenfliesen,,Ceramic,Ceramic slates,1.0,0.0,2494_1_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks","Floor plates, gratings and edgings",30.0,30.0,1.0
6027,Wandklosett Laufen Moderna Keramik,,Ceramic,Ceramic slates,1.0,0.0,,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
6072,Lavabo Keramik weiss,,Ceramic,Ceramic slates,1.0,173.0,107247_1_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,49.5,69.0,16.0
6111,Lavabo Keramik weiss,,Ceramic,Ceramic slates,1.0,173.0,107947_1_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
