,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
1,Projecteur,13.0,Film,Projectors,1.0,95.0,['ca0a2dfe-b2c0-4e00-bf13-faabd43e891e.jpeg'],Technical elements,Other,Other,,,
358,Projecteur,50.0,Film,Projectors,1.0,230.0,"['8d0433ab-96ca-481f-92fa-72f7014c8972.jpeg', 'c3da726e-9f5a-4a5a-9040-801416275684.jpeg']",Technical elements,Other,Other,,,
424,Projecteur extérieur Optiflood Philips,900.0,Reflective glass,Projectors,0.0,573.0,['a2e33296-b6a6-4284-b6c8-5b9c57540938.jpg'],Technical elements,Other,Power and lighting outlet products,,,
701,Spot projecteur,22.0,Film,Projectors,1.0,73.0,['8538cbf9-9fdd-4e9f-820c-0a8c6da147b0.jpeg'],Other,Other,Other,,,
816,Projecteur,10.0,Film,Projectors,1.0,89.0,"['aedbecea-5edf-4f66-bcf3-43ef0e6311b6.jpeg', '02cae548-8800-4671-ad66-113b72f2bd52.jpeg']",Technical elements,Other,Other,,,
819,Projecteur,50.0,Film,Projectors,1.0,230.0,"['ba005b94-5559-48b0-988b-134b536a591f.jpeg', '18fe5744-a5c4-49c3-a905-de49eda600b0.jpeg']",Technical elements,Other,Other,,,
1251,Projecteur,25.0,Film,Projectors,1.0,14.0,['effcd97b-782a-4ece-8ec4-e5874646ca4a.jpg'],Technical elements,Other,Other,,,
1417,Projecteur,36.0,Film,Projectors,1.0,45.0,"['a97d2f21-9b4c-4f0a-8256-a27d4470fd03.jpg', 'c303b873-81ff-4589-bffc-6b8e24f6d815.jpg']",Technical elements,Other,Other,,,
1706,Projecteur,40.0,Film,Projectors,1.0,118.0,"['7e09c1d1-6f6c-4fc8-a784-d65fcba692f5.jpeg', 'd7f9bb78-862b-41aa-ac19-7b4fae590122.jpeg']",Technical elements,Other,Other,,,
1769,Projecteur,36.0,Film,Projectors,0.0,326.0,['75e5ceb5-df3e-40a5-9ebb-23874ccbe65e.jpeg'],Technical elements,Other,Other,,,
2151,Projecteur,40.0,Film,Projectors,1.0,118.0,"['84014886-57f4-4b02-a08d-020e2e37d15d.jpeg', '9edfdc8c-c3de-40dc-bb2a-a5eae1cd0dc1.jpeg']",Technical elements,Other,Other,,,
2518,Projecteur extérieur -Optiflood Philipps-,900.0,Prismatic glass,Projectors,0.0,270.0,['132f670d-065c-4802-b2f9-c27140d946ac.jpg'],Technical elements,Other,Glass blocks and panels,,,
2826,Projecteur et structure,44.0,Prismatic glass,Projectors,1.0,56.0,"['e78ea4aa-83e1-48d2-99ba-fb50eff1f977.jpeg', '3afff194-1c9b-4588-a026-6211e34d8a20.png']",Technical elements,Other,Glass blocks and panels,,,
2906,Projecteur haute qualité,125.0,Prismatic glass,Projectors,1.0,55.0,['7bd9e39a-2fce-4c45-ba77-225545f3aadc.jpeg'],Technical elements,Other,Glass blocks and panels,,,
2954,Projecteur haute qualité,110.0,Prismatic glass,Projectors,1.0,57.0,['ec486b28-295d-49c9-a690-689d8d8704ac.jpeg'],Technical elements,Other,Glass blocks and panels,,,
3371,Projecteur et structure,95.0,Prismatic glass,Projectors,1.0,57.0,['b3655744-111d-4ae4-9407-7b5b615d4adf.jpeg'],Technical elements,Other,Glass blocks and panels,,,
4093,Projecteur,35.0,Film,Projectors,0.0,209.0,"['a61c2517-66b0-4ff3-bbb9-fb3b91e16225.jpeg', '840b171d-2774-42c3-8194-7ea93e4bd8fe.jpeg']",Technical elements,Other,Other,,,
4267,Projecteur,35.0,Film,Projectors,0.0,143.0,['0df2cfef-1bd4-42e6-891d-f50ef7307755.jpg'],Technical elements,Other,Other,,,
5134,Rétroprojecteur,,Fir,Projectors,1.0,0.0,"['https://materiuum.ch/wp-content/uploads/2022/12/2212-5500-a-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2212-5500-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2022/12/2212-5500-c-600x450.jpg']",Technical elements,Other,"Lighting columns, brackets and bollards",,,
6799,Écran de projection,,Figured glass,Projectors,1.0,17.0,"['https://materiuum.ch/wp-content/uploads/2023/01/2301-5529-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/01/2301-5529-b-600x800.jpg']",Technical elements,Other,Glass blocks and panels,0.0,245.0,5.0
