,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
1510,Appui de baie,20.0,Sitka spruce,Baths,1.0,118.0,"['f222df24-9c7a-46f7-b3d5-fc14020f7a88.jpeg', 'db48ee33-decf-40a6-8a36-c5b9237172e0.jpeg']",Other,"Covering, Finish",Headwall and swale inlet products,,,
2241,Appui de baie,50.0,Sitka spruce,Baths,1.0,38.0,"['52970a44-3b50-4d1d-901e-d77d9e520b55.jpeg', 'cd3327ff-3eb3-4cce-879a-d5f68faef87c.jpeg']",Other,"Covering, Finish",Headwall and swale inlet products,,,
2940,Lot baignoires,1450.0,Lignite,Baths,1.0,56.0,['c69cd3a3-cae3-46cf-86b0-965d763071c0.png'],"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Headwall and swale inlet products,,,
5520,Wannenarmatur bodenstehend,,Sitka spruce,Baths,1.0,18.0,,Furnishings,Furnishings,Sanitary fittings and accessories,,,
5901,Badewanne mit Armatur,,Water,Baths,1.0,265.0,dsc01151_570x570.jpg,"Wall, Barriers, Pannels",Other,Headwall and swale inlet products,,,
5947,Bademischer und Badewanne,,Water,Baths,1.0,265.0,img_3130_570x570.jpg,"Wall, Barriers, Pannels",Other,Headwall and swale inlet products,,,
6008,Badewanne weiss,,Sitka spruce,Baths,1.0,271.0,sam_8433_570x570.jpg,"Wall, Barriers, Pannels",Other,Headwall and swale inlet products,169.5,74.5,37.0
6697,Badewanne Laufen,,Water,Baths,1.0,144.0,bad11_570x570.jpg,"Wall, Barriers, Pannels",Other,Headwall and swale inlet products,,,
6882,Freistehende Badewanne Schmidlin,,Lignite,Baths,1.0,90.0,badewanne6_570x570.jpg,"Wall, Barriers, Pannels",Other,Headwall and swale inlet products,180.0,90.0,57.5
6992,Badewannearmaturen,,Sitka spruce,Baths,1.0,58.0,112079_570x570.jpg,Furnishings,Furnishings,Sanitary fittings and accessories,11.0,30.0,12.0
7008,Duschwand für Badewanne,,Sitka spruce,Baths,1.0,58.0,111918_570x570.jpg,Other,Other,Sanitary fittings and accessories,4.0,141.0,143.5
7386,Badewanne x,,Water,Baths,1.0,0.0,1_%28388%29_570x570.jpg,"Wall, Barriers, Pannels",Other,Headwall and swale inlet products,180.0,80.0,43.5
