,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
69,Porte blindée,110.0,Encaustic,High-security doorsets,1.0,95.0,"['f5f4d294-146e-4c1c-bf0b-afa550921c1d.jpeg', '264e096e-2bd1-4066-b5c1-eb7632344e92.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
80,Porte blindée,140.0,Encaustic,High-security doorsets,1.0,95.0,['53094905-22e3-4963-b6d4-9ca95064f8b0.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
301,Porte blindée,110.0,Encaustic,High-security doorsets,1.0,95.0,"['6c4626e8-c42e-44d7-a7fc-21a0723bb6d1.jpeg', '1c8d65ae-cf48-4f37-bee1-cbc5f68098e4.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
466,Portiques de sécurité,250.0,Safety glass,High-security doorsets,1.0,41.0,['8857f881-2cf1-4b69-ad50-686b0f07f14d.JPG'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
864,Portiques de sécurité,250.0,Safety glass,High-security doorsets,1.0,-2.0,['f16b58db-0ed1-4bfa-90b4-66047c4f68a7.JPG'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1412,Porte blindée,160.0,Encaustic,High-security doorsets,1.0,117.0,"['000dca56-1ccd-4b4e-8666-a8c754a66406.jpeg', 'a3efb087-d591-4ebc-b3e5-99ca4a725320.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1454,Porte blindée,0.0,Encaustic,High-security doorsets,1.0,142.0,['c9ad4d76-44ca-4bc5-aa49-bf5749de0eba.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1532,Porte blindée,160.0,Encaustic,High-security doorsets,1.0,117.0,['ac973444-534d-4271-8715-74925da5f10b.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1596,Porte blindée,160.0,Encaustic,High-security doorsets,1.0,117.0,"['6f729897-1e59-4205-9b8b-ff87c7983069.jpeg', 'de9f5b9e-9e3e-47d0-97d6-4651dcc698e6.jpeg', '39f3d30f-7ce1-4ce0-b58f-7e0ff59f27d7.jpeg', '8e985044-70f5-4b9e-9702-15fb44714ebd.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1621,Portiques de sécurité,1890.0,Safety glass,High-security doorsets,0.0,326.0,['9823fdc1-c713-4e73-806c-618e653292a8.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1650,Porte blindée,160.0,Encaustic,High-security doorsets,1.0,117.0,"['ff656256-54ec-4727-8c6a-47e32006e364.jpeg', '53cb5999-d491-448a-b922-d663f004be0f.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
