,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
2257,Portant pour vêtements,15.0,Sitka spruce,Wardrobes,1.0,102.0,"['b62f033d-3658-485f-a66b-c3f424e6113c.jpeg', 'da545a78-dabc-49d0-afbc-385a54fd1a9d.jpeg', '7dc1f503-219a-413d-bba0-8de18e42a82d.jpeg']",Furnishings,Furnishings,Sanitary fittings and accessories,,,
2271,Portant pour vêtements,15.0,Sitka spruce,Wardrobes,1.0,102.0,['16339ff9-dd3f-4ef1-8ad6-15aa070d7710.jpeg'],Furnishings,Furnishings,Sanitary fittings and accessories,,,
2272,Portant pour vêtements,15.0,Sitka spruce,Wardrobes,1.0,102.0,"['4c105df0-65f1-4ebd-8203-30d394463fe9.jpeg', '9eedd514-fd7f-41bf-86b9-3cbc09f27f3d.jpeg']",Furnishings,Furnishings,Sanitary fittings and accessories,,,
2277,Portant pour vêtements,15.0,Sitka spruce,Wardrobes,1.0,118.0,"['564b4d48-d60c-488d-8e65-445055e08f87.jpeg', 'bdea708b-9611-4d36-bac3-a84801c6f7ba.jpeg']",Furnishings,Furnishings,Sanitary fittings and accessories,,,
2283,Portant pour vêtements,15.0,Sitka spruce,Wardrobes,1.0,102.0,['7ed101ba-dd42-4635-8fde-0a037b7f7856.jpeg'],Furnishings,Furnishings,Sanitary fittings and accessories,,,
2294,Portant pour vêtements,15.0,Sitka spruce,Wardrobes,1.0,118.0,['504e0c58-568f-4afa-a0f3-fd8a5f7d868a.jpeg'],Furnishings,Furnishings,Sanitary fittings and accessories,,,
2297,Portant pour vêtements,15.0,Sitka spruce,Wardrobes,1.0,118.0,"['138da076-5b62-4261-8c24-c355ef2f45be.jpeg', '0376fb52-243d-4e11-b728-01720d1af20d.jpeg']",Furnishings,Furnishings,Sanitary fittings and accessories,,,
2314,Portant pour vêtements,15.0,Sitka spruce,Wardrobes,1.0,118.0,"['4488c6b5-706a-4d4a-b5ae-40d0321586a0.jpeg', '15da5509-30d0-489e-9c7a-b7c189411e47.jpeg']",Furnishings,Furnishings,Sanitary fittings and accessories,,,
2322,Portant pour vêtements,15.0,Sitka spruce,Wardrobes,1.0,102.0,['2a7066e9-e98b-4b0e-9613-f9677a1f1f22.jpeg'],Furnishings,Furnishings,Sanitary fittings and accessories,,,
5829,Kleiderschrank als Raumteiler,,Sitka spruce,Wardrobes,1.0,265.0,1_%2813%29_570x570.png,Furnishings,Furnishings,Furnishings,65.0,315.0,230.5
6043,Kleiderhaken,,Sitka spruce,Wardrobes,1.0,252.0,111876_570x570.jpg,Furnishings,Furnishings,Sanitary fittings and accessories,4.0,1.6,14.0
7451,Kleiderschrank Kunstharz weiss,,Sitka spruce,Wardrobes,0.0,4.0,,Furnishings,Furnishings,Furnishings,,,
