,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
4246,Porte vitrée sans cadre,61.0,Sitka spruce,Frameless glass door leaves,0.0,143.0,['fe4752bc-68ed-4ecd-abf9-b303aa9784ce.jpg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,,
4753,Solid wooden door with opaque glass panels from Ixelles City Hall . x cm -Right,149.0,Architectural glass,Frameless glass door leaves,0.0,,"['59703_7f82891.png', '10507_548704c.png', '10508_548704c.png', '10509_548704c.png']","Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
4756,Door in solid wood and texture glass from Ixelles City Hall x . cm - Left,99.0,Architectural glass,Frameless glass door leaves,0.0,,"['59700_2b8e355.png', '10500_f4ad472.png', '10501_f4ad472.png', '10502_f4ad472.png', '10503_f4ad472.png']","Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
4758,"Door in solid wood and opaque glass from Ixelles City Hall x , cm - Left",129.0,Architectural glass,Frameless glass door leaves,0.0,,"['59698_1dd03fe.png', '10492_9a04f6f.png', '10493_9a04f6f.png']","Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,,
4759,"Door in solid wood and opaque glass from Ixelles City Hall x , cm - Left/Right",129.0,Architectural glass,Frameless glass door leaves,0.0,,"['59697_0acc1e9.png', '10487_b6465ac.png', '10488_b6465ac.png', '10489_b6465ac.png', '10490_b6465ac.png', '10491_b6465ac.png']","Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,,
4779,"Double door with etched glass panels , x cm – Right",449.0,Architectural glass,Frameless glass door leaves,1.0,0.0,"['59570_308340d.png', '10056_bf7bc9b.png', '10057_bf7bc9b.png', '10058_bf7bc9b.png', '10059_bf7bc9b.png', '10060_bf7bc9b.png']","Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
4784,Double door with glass panel . x cm – Left,199.0,Architectural glass,Frameless glass door leaves,0.0,,"['59509_76ee49b.png', '9852_d5ffcdf.png', '9853_d5ffcdf.png', '9854_d5ffcdf.png', '9855_d5ffcdf.png']","Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
4786,Quadruple door with glass panels x cm - Right,349.0,Architectural glass,Frameless glass door leaves,1.0,0.0,"['59505_83e7cf3.png', '9835_aa92f23.png', '9836_aa92f23.png', '9837_aa92f23.png', '9838_aa92f23.png']","Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
4787,Double door with textured glass panels x cm - Left,199.0,Architectural glass,Frameless glass door leaves,1.0,59.0,"['59504_2bc61f2.png', '9831_b2e0b75.png', '9832_b2e0b75.png', '9833_b2e0b75.png', '9834_b2e0b75.png']","Wall, Barriers, Pannels","Door, Windows, Gates",Glass blocks and panels,,,
5529,Zimmertüre ohne Rahmen,,Sitka spruce,Frameless glass door leaves,1.0,102.0,1_%28136%29_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Furnishings,,,
5606,Zimmertüre ohne Rahmen,,Sitka spruce,Frameless glass door leaves,1.0,265.0,1_%28137%29_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Furnishings,4.0,75.0,209.5
5625,Türe mit Glaseinsatz ohne Rahmen,,Architectural glass,Frameless glass door leaves,1.0,0.0,,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
5708,Innentüre ohne Rahmen,,Architectural glass,Frameless glass door leaves,1.0,265.0,1_%28115%29_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Structural roofing units,4.0,85.0,198.0
6272,"Hauseingangstüre mit Glas -matt ,",,Architectural glass,Frameless glass door leaves,1.0,,20181212_101817_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,127.0,222.0
6397,Zimmertüre mit Glas,,Architectural glass,Frameless glass door leaves,1.0,24.0,110923_570x570.jpg,"Roof, Slabs, Stairs","Door, Windows, Gates",Glass blocks and panels,,,
