,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
132,Porte tierce manuelle,70.0,Encaustic,Manual trapdoors,1.0,70.0,"['0d266967-64c6-4acb-94e0-1c19fbd79720.jpeg', 'bb6b6e1f-240a-43ae-a223-a0ad1d68d0b3.jpeg', 'c610c73c-f6bd-4474-b89d-026a0722a2c7.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
461,Porte tierce manuelle,70.0,Encaustic,Manual trapdoors,1.0,95.0,['f273d113-a445-46b2-8a34-2d4f42ad5658.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
484,Porte tierce manuelle,70.0,Encaustic,Manual trapdoors,1.0,95.0,"['6ba48bb3-000c-49a3-a337-8cd3ab87e908.jpeg', '405fceee-8394-4312-a41b-ee781309d25a.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
581,Porte tierce manuelle,75.0,Encaustic,Manual trapdoors,1.0,70.0,"['88d96267-0e07-4da5-92cf-746148a15194.jpeg', '2e2c565e-b699-46b4-b9d6-370c97ecb69a.jpeg', '668df6c6-26c2-411f-ac08-a6c6df67e3e8.jpeg', '5041fb34-1fa6-4d9e-a9c2-fffb20205175.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
984,Porte simple pour cloison amovible,50.0,Sitka spruce,Manual trapdoors,1.0,224.0,"['843aeb06-23a7-4a28-99ea-311a527938ad.jpeg', '0040c380-8906-4ae8-91c3-48f28f2272f9.jpeg', '00ee1a5b-0788-4d02-a64c-a1402765cb49.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
1248,Porte tierce manuelle,80.0,Encaustic,Manual trapdoors,1.0,125.0,"['df67e79b-e92a-4862-a480-19bd2626ee2f.jpeg', '70daf42d-b554-493c-a28e-3fb0cd18e520.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
1372,Porte tierce manuelle,72.0,Encaustic,Manual trapdoors,1.0,119.0,"['33edf834-94a6-4c9f-8947-e0c1dd203697.jpeg', '5078c67f-9c4d-4708-808c-246733d398b0.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
1524,Porte tierce manuelle,65.0,Encaustic,Manual trapdoors,0.0,326.0,['90a84f96-d5ea-4b16-925d-0a0e7570d2e7.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
1656,Porte tierce manuelle,100.0,Encaustic,Manual trapdoors,0.0,354.0,"['dbf6979b-d36c-464e-a41e-87c6e76a6ae7.jpeg', '14d2a4cd-fc10-4ec2-8b68-3a1e2507f7f8.jpeg', '44e5d03f-4050-41ad-a455-2ffcf495e893.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
1676,Porte tierce manuelle,100.0,Encaustic,Manual trapdoors,0.0,354.0,"['dd79a89f-0bf8-4769-b248-50ca8b81539c.jpeg', '41a71954-1da1-4104-9bb2-43db51a76280.jpeg', 'ce4747ca-128b-4556-a0e1-ff5501453c3c.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
1680,Porte tierce manuelle,100.0,Encaustic,Manual trapdoors,0.0,354.0,"['f14a5093-b225-4c43-9cce-b31c7dcfd8b9.jpeg', '3d52a81c-9465-4ec5-b483-0df25e91488f.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
1977,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,1.0,45.0,['71c01396-2f00-4f70-a649-151a84d885c7.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
1984,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,1.0,45.0,"['04bb6cbb-68bc-4c4f-baa4-6b54c9a9d622.jpeg', '2da63209-16ea-4356-bc82-e2ad4997669c.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2041,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,1.0,45.0,"['67e340c7-245c-4df1-826e-7109479e62fa.jpeg', '72dac503-6e61-4305-bce9-b41bf5e9dca5.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2130,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,1.0,45.0,"['48f6e1b2-0c37-4608-9163-9ec5186ed207.jpeg', '8898a9cd-58aa-4f9f-829a-3ae27a3f906e.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2131,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,1.0,45.0,['22869f0e-a49b-4dec-92bb-add4606813ac.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2371,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,0.0,278.0,"['f10f896b-7516-47da-8b63-38adba4b29bb.jpeg', '1a512a74-133c-40f7-86b6-71a5acc7dbae.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2420,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,0.0,278.0,['0ca057c3-8be8-4452-86ed-0dd3386c8dd1.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2439,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,1.0,103.0,"['d9e76ab1-3d16-4fcf-8829-82f30e5ef5b5.jpeg', '88ef426c-0bef-4b6b-b8cd-563ffc3a81c5.jpeg', '993becb7-37b7-4956-924f-2bc7ad3084c2.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2527,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,0.0,269.0,"['e6610893-2098-40d1-9eca-1a7e5a9716b3.jpeg', '9bbbca16-af28-45c1-bcf1-e6f02f121223.jpeg', '21a2b2b1-a6ed-469f-a550-fa5e63c6898f.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2549,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,0.0,263.0,['b690e749-f0ec-46a7-92c4-77561ada5a46.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2550,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,1.0,103.0,"['d7a16939-70b9-4780-a880-1e8dd08539fe.jpeg', '357355b1-6ca5-4ce3-ac90-4542c8529470.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2590,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,1.0,103.0,['f1d0d5b3-075c-4bf8-87fc-3c4e66e34406.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2682,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,0.0,263.0,['e71886b0-470c-496f-97f3-675fffa3fc9f.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2806,Porte tierce manuelle,90.0,Encaustic,Manual trapdoors,0.0,200.0,['07f8e988-8f9b-4ee1-85e7-440021dcd115.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2845,Porte tierce manuelle,100.0,Encaustic,Manual trapdoors,0.0,200.0,"['4186e98c-9a26-427b-842c-95150636826e.jpeg', '3b3a5f07-8aac-4a89-9ca7-2b86bd6f042d.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
2888,Porte tierce manuelle,90.0,Encaustic,Manual trapdoors,0.0,200.0,"['d51bea41-e7de-4be1-b57e-ed575b4ccd96.jpeg', '3a1773ec-e40a-4dd9-a694-afc2d9ecd820.jpeg', 'b44a6cf1-72db-4140-8777-8749f46becac.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3000,Porte tierce manuelle,90.0,Encaustic,Manual trapdoors,1.0,34.0,['f491a95e-7e0b-417b-b9c6-663782af14fc.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3158,Porte tierce manuelle,90.0,Encaustic,Manual trapdoors,0.0,200.0,['3c7ef979-fffd-4ea6-9006-d60a3563cac4.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3307,Porte tierce manuelle,90.0,Encaustic,Manual trapdoors,0.0,200.0,['41a32a24-2557-4324-94f4-72107c50819c.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3337,Porte tierce manuelle,90.0,Encaustic,Manual trapdoors,0.0,200.0,['b177f6fb-c5ec-4d09-b53e-eac69ab07428.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3432,Porte tierce manuelle,100.0,Encaustic,Manual trapdoors,0.0,200.0,"['7571f595-925a-4a26-9bd7-225ee32042e5.jpeg', '2cb68d53-a336-49af-97ae-7a7f4bf30f6b.jpeg', '9ad8eed9-d56d-4cbc-88ea-0f3c00c68ecf.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3445,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,1.0,55.0,['3d82b0d3-2fc4-441d-8bed-b582352f503d.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3610,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,0.0,185.0,['b6e41d86-9fd3-4f04-9e0a-ad448523fc36.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3622,Porte tierce manuelle,70.0,Encaustic,Manual trapdoors,0.0,186.0,['09c4de1d-f754-4758-a2ec-7ef9406fc45e.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3899,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,0.0,185.0,['2b04c0dc-30b3-4d70-8c29-e97d63ce5218.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3926,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,0.0,185.0,['92c26b41-28e4-411a-80a0-1adb7bdf7197.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
3950,Porte tierce manuelle,50.0,Encaustic,Manual trapdoors,0.0,185.0,"['407fd78b-41d6-47e9-9f4a-f161f1aa2c03.jpeg', 'fd0a266a-a047-4182-ac71-805c708b7e67.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
4052,Porte tierce manuelle,100.0,Encaustic,Manual trapdoors,0.0,209.0,['c7b36ca9-78ae-4ddf-8703-54bcda419621.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
4158,Porte tierce manuelle,90.0,Encaustic,Manual trapdoors,0.0,143.0,['75dcf0d2-6560-4d90-88f1-0105ec9ec8c0.jpg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
4301,Porte tierce manuelle,90.0,Encaustic,Manual trapdoors,0.0,125.0,"['3b3acf70-6790-401e-97a9-61b86d4b8a06.jpg', 'cd50b0bf-cf73-4540-8f9b-13676844c4d7.jpg']","Wall, Barriers, Pannels","Door, Windows, Gates",Sanitary fittings and accessories,,,
