,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
50,Dalle de faux plafond suspendu,5.0,Sitka spruce,Metal suspended ceiling hangers,1.0,255.0,"['2bb4a7b2-5de6-4cc7-910b-e89095288cfa.jpeg', '2cff3afc-68ab-4151-a89d-d4e4dc0c7dca.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
128,Dalles de faux plafond suspendu,5.0,Sitka spruce,Metal suspended ceiling hangers,1.0,255.0,"['0b6d464c-e2d8-405a-8828-595edf52e62f.jpeg', '2e23e640-5dbb-4ac0-b8d7-f32c64a62d4e.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
130,Autre dalle de plafond suspendu,6.0,Pisé,Metal suspended ceiling hangers,1.0,95.0,['d47eec1f-7cd4-46d7-82e0-87bc9dabeb44.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
311,Dalle de plafond suspendu,1.0,Silt,Metal suspended ceiling hangers,1.0,422.0,"['57726c71-e49d-41da-9579-61f214c5efcf.png', 'f2e33921-28d4-4719-a9bc-c76681c1ef5c.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
372,Dalle de plafond suspendu,3.0,Silt,Metal suspended ceiling hangers,1.0,111.0,"['1d105762-b882-402b-9713-f89a46a0d7f0.jpeg', 'b869adba-74d1-4b0d-a723-055195a0d6f5.png']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
382,Dalle de plafond suspendu,12.0,Silt,Metal suspended ceiling hangers,1.0,196.0,['cbbf64e8-07fc-4a16-80ea-f515d76bc202.jpg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
900,Dalle de plafond suspendu,7.0,Silt,Metal suspended ceiling hangers,1.0,216.0,['c8bad932-e4bc-46dc-8968-b8fce7b52f5a.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1250,Dalle de faux plafond suspendu,4.0,Sitka spruce,Metal suspended ceiling hangers,1.0,224.0,"['1a6c7780-1a09-43a2-accf-0e3adb35af89.jpeg', '444e7661-847b-418d-94d2-7db5d1e12292.jpeg', '37b42c5f-2a4b-40ce-8e4c-950d39146389.jpeg', 'f6a468c5-1a37-4a29-8d95-b536bc80292b.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1279,Dalle de faux plafond suspendu,4.0,Sitka spruce,Metal suspended ceiling hangers,1.0,224.0,"['8f287e72-d461-4668-9320-9b65ea09a849.jpeg', '236826cb-ea9a-4010-ac52-f861c6f286c6.jpeg', '34c4d1da-404f-4318-bf36-5dadfdb86917.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1333,Dalle de faux plafond suspendu,4.0,Sitka spruce,Metal suspended ceiling hangers,1.0,224.0,"['89ae196e-2270-4333-822f-b431d7a3e58a.jpeg', '6bf459c1-c1dd-4903-9691-12bec4e972d6.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1359,Dalle de faux plafond suspendu,3.0,Sitka spruce,Metal suspended ceiling hangers,1.0,224.0,"['955db3ce-b290-4b13-8a43-c31a527542ab.jpeg', '51531c0a-961f-4af4-8a08-41f6be5b36f9.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1508,Autre dalle de plafond suspendu,0.0,Pisé,Metal suspended ceiling hangers,1.0,142.0,"['9b53456c-d10f-4257-b23b-e42c5e03e779.jpeg', 'd8ee5d11-b0fa-4d56-ae34-fe78c1aead78.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1600,Dalle de plafond résille métallique,8.0,Gravel,Metal suspended ceiling hangers,0.0,339.0,"['9010b89c-ade5-4cac-9cf1-06cc76dc4c5c.png', '86116c9e-4ab9-4a0e-84a0-f19b122cbc29.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1685,Hangars Métallique m² et m²,25.0,Metal,Metal suspended ceiling hangers,1.0,91.0,"['efc26c8f-2fe5-4773-ab9a-273ef11c6195.jpg', '29885105-fe23-4949-8e13-31b73b0e1bcc.jpg', '5e76bfc8-7524-45c3-ad7c-efc82b9477c4.jpg', '857153f3-7dc2-4946-bba2-a5c56005d855.jpg', 'e6df54e9-697d-474f-8838-50935ef9e0b5.jpg']","Wall, Barriers, Pannels","Floors, Ceiling",Sanitary fittings and accessories,,,
1759,Autre dalle de plafond suspendu,0.0,Pisé,Metal suspended ceiling hangers,1.0,64.0,['94f33f8b-f2f8-45af-bd75-4abfc46ab843.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1776,Autre dalle de plafond suspendu,0.0,Pisé,Metal suspended ceiling hangers,1.0,64.0,['fb19e0a3-dce1-405b-b6e5-184aa18c8609.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1794,Autre dalle de plafond suspendu,0.0,Pisé,Metal suspended ceiling hangers,1.0,64.0,['82464139-152a-49a6-b40c-b0529cfc43f2.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
1849,Autre dalle de plafond suspendu,0.0,Pisé,Metal suspended ceiling hangers,1.0,64.0,['a16a550a-7cbf-4411-8959-b5b6bf626a89.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2254,Dalle de plafond suspendu,8.0,Silt,Metal suspended ceiling hangers,1.0,102.0,"['3a4998af-fe0b-492c-99f4-f938251d385b.jpeg', '7b2a9c97-7630-4a98-9638-b027397a804a.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2279,Dalle de plafond suspendu,6.0,Silt,Metal suspended ceiling hangers,1.0,102.0,"['7ef58ee9-9166-4995-91fe-a877f8edacc1.jpeg', 'da2b0bfd-c4ff-44f2-ad35-11a05661ec5e.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2428,Dalle de plafond suspendu,12.0,Silt,Metal suspended ceiling hangers,1.0,100.0,['782c5624-d141-418a-85c2-7c96c189193a.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2470,Dalle de plafond suspendu,12.0,Silt,Metal suspended ceiling hangers,1.0,100.0,"['8928cb2d-e43c-4730-89bf-1578549a6676.jpeg', 'aad4bd1d-465f-45aa-9ccc-66af44704261.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2577,Dalle de plafond suspendu,5.0,Silt,Metal suspended ceiling hangers,1.0,83.0,['d36c6e1d-dbaf-4399-931a-54e072c3f071.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2674,Dalle de plafond suspendu,8.0,Silt,Metal suspended ceiling hangers,1.0,100.0,"['50d68e92-7b40-406e-83d9-a83e9218bd4f.jpeg', '26cb466e-3216-4f35-842d-51dc046db394.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2756,Dalle de plafond suspendu,12.0,Silt,Metal suspended ceiling hangers,1.0,100.0,['6b09b4be-4a56-4803-8b7b-133c2057e17e.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2908,Dalle de plafond suspendu,10.0,Silt,Metal suspended ceiling hangers,0.0,213.0,"['f6088f22-e284-4a47-b825-4ba77c505ee1.jpeg', '8d4d9838-b6c5-4ed8-b248-10d3ffaa0b13.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2914,Dalle de plafond suspendu,10.0,Silt,Metal suspended ceiling hangers,0.0,213.0,['5c5f2a27-82c0-4a0b-9553-24515bb987d8.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
2984,Dalle de plafond suspendu,8.0,Silt,Metal suspended ceiling hangers,0.0,200.0,"['87689951-851c-485c-823d-30788cf41d64.jpeg', '129ddc29-c2b2-4187-9e8a-018245ee9cc8.jpeg', 'd882a577-1ce7-4506-bc24-e2a3550a02bf.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3086,Dalle de plafond suspendu,7.0,Silt,Metal suspended ceiling hangers,1.0,84.0,"['acb7cc4e-2283-455a-9886-e631af5a76e4.jpeg', 'e39399c3-9b5b-4332-8387-0f5ccf8f4284.png', 'b63114fd-dbd4-4c6d-a8a8-c2eec6593aaa.png']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3094,Dalle de plafond suspendu,10.0,Silt,Metal suspended ceiling hangers,0.0,213.0,['cc7e2685-8092-4616-960e-32cf423bec9f.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3132,Dalle de plafond suspendu,5.0,Silt,Metal suspended ceiling hangers,0.0,237.0,['fb443152-f806-4a62-a0d5-0cb6b54733ee.png'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3148,Dalle de plafond suspendu,8.0,Silt,Metal suspended ceiling hangers,0.0,200.0,['d1dbb5d4-814c-4a9d-b823-291a0ebd1ee8.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3151,Dalle de plafond suspendu,7.0,Silt,Metal suspended ceiling hangers,1.0,84.0,"['3c24bc28-c3cd-42dd-898e-0d67ef9435ce.jpeg', '8e08e692-561f-4a19-9563-2165c3c1141c.png']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3167,Dalle de plafond suspendu,6.0,Silt,Metal suspended ceiling hangers,0.0,200.0,"['8c5c7297-b0dd-41a2-bf02-3d2b618bdd3a.jpeg', '0053832a-5929-4c12-a612-8ae49225009f.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3190,Dalle de plafond suspendu,8.0,Silt,Metal suspended ceiling hangers,0.0,200.0,"['ee94c702-6e3c-43e0-99c1-e07b77f84102.jpeg', '457dca20-e9e0-487e-b708-1ca3779e5460.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3234,Dalle de plafond suspendu,10.0,Silt,Metal suspended ceiling hangers,0.0,213.0,['e5853aaf-781d-4714-8352-6bab2f136339.jpeg'],"Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3277,Dalle de plafond suspendu,8.0,Silt,Metal suspended ceiling hangers,0.0,200.0,"['dd5b4214-d738-41d9-9277-1fa17cc9e66b.jpeg', 'e9c87913-113c-4e5b-b063-f28f2fa338e5.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
3366,Dalle de plafond suspendu,10.0,Silt,Metal suspended ceiling hangers,0.0,213.0,"['74c7fc78-cebb-4f0f-864b-3b323807dbed.jpeg', 'e4792338-60e4-4e18-9a21-78b5340637dd.jpeg']","Roof, Slabs, Stairs","Floors, Ceiling",Structural roofing units,,,
