,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
2539,Lave vaisselle,200.0,Soap,Dish and utensil washers,1.0,81.0,['9c2e2078-186e-46a4-87af-194b41608ed9.jpeg'],Other,Other,Other,,,
2768,Lave-vaisselle,300.0,Soap,Dish and utensil washers,1.0,39.0,"['90f099c9-079e-405e-8327-ddc624852fba.jpeg', '5923ce7b-2073-4170-8f44-35c4dc17ed9e.jpeg']",Other,Other,Other,,,
3130,Lave vaisselle équipement,654.0,Soap,Dish and utensil washers,1.0,56.0,['b291fb78-5376-4c5d-8960-adb83f619ecc.jpeg'],Other,Other,Sanitary fittings and accessories,,,
4377,Lave vaisselle,,Soap,Dish and utensil washers,0.0,,,Other,Other,Other,,,
5545,Geschirrspüler Sharp,,Sitka spruce,Dish and utensil washers,1.0,18.0,,Technical elements,Other,Trim products,,,
5599,Geschirrspüler cm,,Sitka spruce,Dish and utensil washers,1.0,12.0,,Technical elements,Other,"Floor plates, gratings and edgings",,,
5703,Geschirrspüler cm,,Sitka spruce,Dish and utensil washers,1.0,18.0,,Technical elements,Other,"Floor plates, gratings and edgings",,,
5719,Geschirrspüler mit Verstellsockel,,Sitka spruce,Dish and utensil washers,1.0,18.0,,Other,Other,Sanitary fittings and accessories,,,
5998,Einlegespüle / Küchenspüle,,Sitka spruce,Dish and utensil washers,1.0,112.0,hintergrund-horizontal-neu_%284%29_570x570.png,Technical elements,Other,"Floor plates, gratings and edgings",,,
6023,Geschirrspüler cm,,Sitka spruce,Dish and utensil washers,1.0,6.0,,Technical elements,Other,"Floor plates, gratings and edgings",,,
6195,Geschirrspüler V-Zug Adora,,Sitka spruce,Dish and utensil washers,1.0,85.0,2760_1_570x570.jpg,Technical elements,Other,Fastener products,,,
6343,Geschirrspüler cm,,Sitka spruce,Dish and utensil washers,1.0,0.0,1_%28256%29_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",,,
6589,Miele Geschirrspüler,,Sitka spruce,Dish and utensil washers,1.0,6.0,112410_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",,,
6670,Geschirrspüler Miele cm,,Sitka spruce,Dish and utensil washers,1.0,61.0,1_%28301%29_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",,,
6686,Geschirrspüler V-Zug Adora,,Sitka spruce,Dish and utensil washers,1.0,65.0,2845-3_570x570.jpg,Technical elements,Other,Fastener products,,,
6754,Geschirrspüler cm,,Sitka spruce,Dish and utensil washers,1.0,3.0,_dsc9836_570x570.jpg,Technical elements,Other,"Floor plates, gratings and edgings",,,
6839,Geschirrspüler V-Zug Adora,,Sitka spruce,Dish and utensil washers,1.0,89.0,2898-2_570x570.jpg,Technical elements,Other,Fastener products,57.0,55.0,75.0
6844,Geschirrspüler V-Zug Adora,,Sitka spruce,Dish and utensil washers,1.0,104.0,2855-2_570x570.jpg,Technical elements,Other,Fastener products,57.0,54.0,75.0
6852,Geschirrspüler - Fors,,Sitka spruce,Dish and utensil washers,1.0,45.0,112517_570x570.jpg,Technical elements,Other,Sanitary fittings and accessories,58.0,55.0,75.0
7045,Geschirrspüler Fust,,Sitka spruce,Dish and utensil washers,1.0,58.0,2943-2_570x570.jpg,Other,Other,"Floor plates, gratings and edgings",55.0,54.5,76.0
7142,Tischgeschirrspüler,,Sitka spruce,Dish and utensil washers,1.0,45.0,_dsc0331_570x570.jpg,Furnishings,Furnishings,"Floor plates, gratings and edgings",44.0,55.3,50.3
7304,Lave vaisselle,,Soap,Dish and utensil washers,0.0,,"['https://materiuum.ch/wp-content/uploads/2023/04/2302-5814-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5814-b-600x800.jpg']",Other,Other,Other,0.0,59.0,59.0
7315,Lave vaisselle industriel,,Soap,Dish and utensil washers,1.0,0.0,"['https://materiuum.ch/wp-content/uploads/2023/04/2202-3396-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2202-3396-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2202-3396-c-600x800.jpg']",Other,Other,Sanitary fittings and accessories,0.0,80.0,67.0
