,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
823,Cuisine,140.0,Pisé,Food preparation tables,1.0,67.0,"['f8fae45d-0b6e-4ad1-9a18-b701f47ac811.PNG', '7ea2e3b4-1127-45f7-976d-1fc7bef210ba.PNG']",Other,Other,"Floor plates, gratings and edgings",,,
4109,Cuisine,800.0,Pisé,Food preparation tables,0.0,153.0,"['1d9bfc55-a46a-4012-918e-f855bf670de5.jpg', '7d7fdee7-827b-4558-aa36-6c527c0c8c5d.jpg', '6310e949-6453-49d5-881e-0a9396d75bc0.jpg', 'e9bb5d45-d67c-449e-8e85-04303f657b65.jpg', 'a9f8285b-ed18-423f-970b-1fc64762b4b6.jpg']",Other,Other,"Floor plates, gratings and edgings",,,
4135,Cuisine,200.0,Pisé,Food preparation tables,0.0,150.0,"['c068df53-b701-4be2-8fcb-5ad82d872215.jpg', '0380325b-d65e-4b89-b3ee-189cb70ca5f0.jpg', '2c501d00-b2b8-4e49-a857-e8c060e90816.jpg', '8305e224-abed-45be-87b1-b99494f7dbed.jpg']",Other,Other,"Floor plates, gratings and edgings",,,
4153,Cuisine,400.0,Pisé,Food preparation tables,0.0,153.0,"['f0330730-e405-4491-a9c7-1896c54d4ce3.jpg', 'fcb44392-bfc6-4aac-b74f-05a3285e5bc6.jpg', '9dd4997d-3c82-4b76-8114-1270c269ad1d.jpg']",Other,Other,"Floor plates, gratings and edgings",,,
4194,Cuisine,750.0,Pisé,Food preparation tables,0.0,153.0,['4b0389d6-614a-4cb7-8365-aa5672d16e4b.jpg'],Other,Other,"Floor plates, gratings and edgings",,,
4340,Cuisine,1200.0,Pisé,Food preparation tables,0.0,153.0,"['54a67bf6-411e-4342-ad02-4494d882ce74.jpg', '3fb840f3-fbdc-412f-8538-6c84c9a707fc.jpg', 'eea71641-4983-4582-82f9-c6b1fe5c6f58.jpg', '91fe6c98-a808-4bf4-a2e5-ea1d6192e14a.jpg', '22b4c6d9-03c2-4ed3-b5aa-feea29e1933b.jpg']",Other,Other,"Floor plates, gratings and edgings",,,
4349,Cuisine,1300.0,Pisé,Food preparation tables,0.0,153.0,"['87520464-81ce-42bb-ba3c-7555bf97fcfc.jpg', 'b90c1954-8d3e-47a3-999e-0550dd183683.jpg', 'ee8b4995-2d59-45dd-b2e6-a4823a74dfd6.jpg', 'e6308394-ef24-4e07-8e16-9ef337b77645.jpg', 'e1fd6b02-477c-44cb-8c54-e325b6f24d53.jpg']",Other,Other,"Floor plates, gratings and edgings",,,
4356,Cuisine,500.0,Pisé,Food preparation tables,0.0,153.0,['e6b0248e-9b49-45c6-aac0-334196b390d6.jpg'],Other,Other,"Floor plates, gratings and edgings",,,
4359,Cuisine,650.0,Pisé,Food preparation tables,0.0,153.0,"['7e12e746-1653-4f4a-9bd9-03625ff82f91.jpg', '72df2dc0-63ba-48cf-b029-fed4d6178879.jpg', '05649a64-21c6-423c-b3b2-2f25b577f118.jpg', 'ff644400-70d3-4ac5-9744-2c8f14db79a8.jpg', '371d644a-7fa1-4c7a-87db-e6615a82b858.jpg']",Other,Other,"Floor plates, gratings and edgings",,,
6856,Küchenbuffet,,Plate glass,Food preparation tables,1.0,9.0,,Furnishings,Furnishings,"Floor plates, gratings and edgings",,,
6857,Küchenbuffet,,Plate glass,Food preparation tables,1.0,9.0,,Furnishings,Furnishings,"Floor plates, gratings and edgings",,,
