,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
1054,Murs rideaux façade,1.0,Wallaba,Wall hangings,1.0,224.0,"['1ea58367-73fe-47a7-9dfc-57878d01a39b.jpeg', 'd077c631-d666-490f-82a6-e3d5993c8efe.jpeg', '8ce80e20-3a89-4b8b-95b7-f4d0f11643eb.jpeg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,,,
5939,Wand Laufen,,Gravel,Wall hangings,1.0,,2716_1_%281%29_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,33.0,35.0,57.0
6185,Paar Montageschrauben für Wand,,Gravel,Wall hangings,1.0,173.0,20180515_110648_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,14.0,,
6273,Wand Laufen,,Gravel,Wall hangings,1.0,,2757_2_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,21.0,13.5,13.5
6414,Wand von,,Wallaba,Wall hangings,1.0,173.0,20200926_114437_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,64.0,35.0,45.5
6482,kurzes Wand von Laufen,,Sitka spruce,Wall hangings,1.0,173.0,12.09.2012-023_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,48.0,36.0,36.0
6494,Wand von Laufen,,Wallaba,Wall hangings,1.0,173.0,20161216_101005_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,49.0,,
6495,Wand von Laufen,,Wallaba,Wall hangings,1.0,173.0,20180731_162410_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,57.0,36.0,36.0
6548,Stalllampe für an Wand /Decke gerade,,Sitka spruce,Wall hangings,1.0,173.0,20171011_161146_570x570.jpg,"Wall, Barriers, Pannels","Floors, Ceiling",Walling units,,,
6678,Wand Laufen,,Gravel,Wall hangings,1.0,101.0,2843-2_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,60.0,34.0,44.0
7059,Wand Laufen,,Gravel,Wall hangings,1.0,25.0,2936-2_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,42.0,35.0,69.0
7097,Wand Laufen,,Gravel,Wall hangings,1.0,13.0,2937-2_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,38.0,35.5,65.5
7234,Banc fixé au mur,,Wallaba,Wall hangings,1.0,0.0,"['https://materiuum.ch/wp-content/uploads/2023/04/2302-5646-a-600x450.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5646-b-600x800.jpg', 'https://materiuum.ch/wp-content/uploads/2023/04/2302-5646-c-600x800.jpg']","Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Walling units,0.0,375.0,329.0
