,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
5489,Intakte Heizanlage,,Heat-absorbing glass,Heat pipes,1.0,265.0,3f3d40fe-20ed-4177-ad37-f4738755cd44_570x570.jpeg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,,,
5586,Lit Stanboiler mit Wärmetauscher,,Air-cooled steel slag,Heat pipes,1.0,265.0,20200429_142557_570x570.jpg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,,,180.0
6520,Heizkörper,,Lignite,Heat pipes,1.0,173.0,110367_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
6521,Heizkörper,,Lignite,Heat pipes,1.0,173.0,111653_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,6.0,50.0,50.0
6533,Heizwand neu,,Silt,Heat pipes,1.0,173.0,14.07.2016-009_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,4.0,80.0,144.0
6640,Einbau-Speisenwärmer,,Weathering steel,Heat pipes,1.0,0.0,_dsc9629_570x570.jpg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,,,
6662,Heizungsrohr gedämmt,,Silt,Heat pipes,1.0,149.0,112468_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,15.7,,
6701,sehr lange Heizwand quer ca,,Sitka spruce,Heat pipes,1.0,74.0,img-20221219-wa0004_570x570.jpg,"Wall, Barriers, Pannels","Blocks, Panels, Fences, Bricks",Space heating and cooling products,3.5,300.0,22.0
6736,Wärmedämmplatte,,Heat-resisting glass,Heat pipes,1.0,107.0,112508_2_570x570.jpg,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Space heating and cooling products,125.0,60.0,8.0
7091,Heizkörper,,Lignite,Heat pipes,1.0,13.0,112030_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,7.0,50.0,117.0
7424,Heizkörper,,Lignite,Heat pipes,0.0,35.0,img_1026_570x570.jpg,"Roof, Slabs, Stairs","Floors, Ceiling",Space heating and cooling products,,,
