,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
152,Porte simple bois aggloméré,70.0,Wood,Wood veneers,0.0,537.0,"['4f9984be-e596-440e-9e37-b63e785952fd.jpg', '336ca0ef-ffe1-41d7-8896-72baa9450b4a.jpg', '3d7458d9-b582-4b6f-b088-895756733af9.jpg']",Furnishings,"Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,,,
192,Charpente de mezzanine en bois massif,0.0,Wood,Wood veneers,0.0,410.0,"['f9a06374-d487-4d07-bb99-b24ce10fe068.JPG', 'c1f0e73b-b721-436c-ad71-ad22cf1acc45.JPG', '6be83da4-91b2-4e72-ace8-148664d9fb93.JPG', '50eb235f-e757-4a4b-acaf-9d8ea08fe55a.JPG', 'a1fe840c-6ead-45e0-bed1-1a8d52c42a83.jpg']",Furnishings,Furnishings,"Lighting columns, brackets and bollards",,,
370,Porte simple en bois stratifié,60.0,Wood,Wood veneers,1.0,175.0,"['f539ba83-1e5f-4856-ba06-30b0b5425aa2.png', 'e5b3bac9-f776-4f22-ae2e-13bd9a1fb08a.png', '89687642-6a62-4976-923b-eb6722351853.png']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Sanitary fittings and accessories,,,
1496,Portes isoplanes peintes avec bâtit en bois,30.0,Wood,Wood veneers,1.0,16.0,"['5c5d4c70-291f-450a-80af-1c3040952fcc.png', '1a4a4ef1-c667-4240-8faf-c35d6369c8cf.png', '0a37e5ed-d9a3-480b-ab5f-d90331fa2118.png', 'd70a8f8c-2348-4c8f-9fe1-ec653c7d8f5e.png']","Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
2409,Armoire en bois,60.0,Wood,Wood veneers,0.0,270.0,['bc0de2bc-9f40-45d8-b65a-ad6ad972db4a.jpeg'],Furnishings,Furnishings,Furnishings,,,
2923,Armoire en bois,105.0,Wood,Wood veneers,1.0,55.0,['8e4236ca-f53d-47a9-9e5e-1cd0d281bca9.jpeg'],Furnishings,Furnishings,Furnishings,,,
4407,Bankirai terrace wood,7.0,Wood,Wood veneers,1.0,146.0,,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Glass blocks and panels,,,
4900,Cabinet in wood veneer by Frezza,79.0,Wood,Wood veneers,1.0,0.0,"['59796_c2dc9b0.png', '10797_f2a8939.png', '10798_f2a8939.png', '10799_f2a8939.png', '10800_f2a8939.png', '10801_f2a8939.png', '10802_f2a8939.png', '10803_f2a8939.png']",Furnishings,Furnishings,Furnishings,,,
5717,- Fronten Einbauküche mit -Schichtpaltten Holzfronten,,Wood,Wood veneers,1.0,18.0,,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,,
6630,Komplete Holz - Einbauküche mit Granit Abdeckung sehr gepflegt !,,Wood,Wood veneers,1.0,0.0,,Furnishings,Furnishings,Furnishings,,,
6648,Komplete Holz - Einbauküche mit Granit Abdeckung sehr gepflegt !,,Wood,Wood veneers,1.0,10.0,20221117-10_%281%29_570x570.jpg,Furnishings,Furnishings,Furnishings,,,
7358,Alte Balken aus Rückbau Holzschopf,,Wood,Wood veneers,1.0,9.0,,"Roof, Slabs, Stairs","Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,,
