,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
11,Porte de placard,40.0,Encaustic,Vault doors,1.0,313.0,"['51e2c83a-9555-4823-9de1-8aac90134eea.jpeg', '4b51a8ef-3cd6-4366-9a77-2358e9f284ff.jpeg', '3f0e58ef-08b3-46c3-948e-ad3b3ed5ea98.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
175,Double porte de placard,100.0,Sitka spruce,Vault doors,0.0,549.0,['504ada4b-6558-4345-9341-66c50de5e6b8.png'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
207,Porte de placard,25.0,Encaustic,Vault doors,1.0,313.0,"['a42f66b0-78e7-4017-a0c9-00c319aac273.jpeg', '94128c11-3e85-4954-81f0-ada8b5ba9d03.jpeg', '0acf62c1-4047-45cc-85f2-b4083504499a.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
451,Porte de placard,100.0,Encaustic,Vault doors,1.0,313.0,"['6dacb725-f056-4921-add6-83519cd3a284.jpeg', '79675ab7-3513-45fb-a283-c0083415f65d.jpeg', '5c4c857d-0c76-4eb0-9288-5a36e98a0cc8.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
608,Porte de placard,20.0,Encaustic,Vault doors,1.0,313.0,"['e4b43b87-4459-42b2-b5fb-4c7861edf61a.jpeg', '9f58ed06-8d13-4770-9257-ec2e3f02ddbb.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
769,Porte de placard,40.0,Encaustic,Vault doors,1.0,313.0,"['11b78d05-db60-4a38-9cbb-f1a7a3319f40.jpeg', '50ba36ff-9635-4cd3-96cb-480d459bdb36.jpeg', '203ba8b1-db02-493f-935c-12d05344ab59.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1160,Porte de placard,10.0,Encaustic,Vault doors,1.0,224.0,"['77c33d29-fd24-4288-b5de-ae1b4d3fc41a.jpeg', '81dc2391-731b-4a88-ac59-1ef1b0ebac86.jpeg', '6294963a-3761-4220-84bd-1b11d22b71d7.jpeg', '2db2ec79-381d-44e3-a8a1-5b3a11228dcc.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1242,Porte de placard,10.0,Encaustic,Vault doors,1.0,224.0,"['0d517373-cb39-4d93-b7fa-eaa0ecd95509.jpeg', '0673ae3d-dc93-4896-a451-d1b02a23192f.jpeg', '51c553cc-9a19-40bd-9fc9-edd38289e2af.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1402,Porte de placard,30.0,Encaustic,Vault doors,1.0,117.0,"['ddcba793-63b2-4c38-ba54-86e06420f8c1.jpeg', 'f028130b-ab63-451b-84ed-a6558e984bf3.jpeg', '7e74af09-f787-4577-aa53-f06efcf7b1ed.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1411,Porte de placard,35.0,Encaustic,Vault doors,0.0,354.0,['651e9b1f-189d-4c3a-83ca-12d28fd97733.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1448,Porte de placard,50.0,Encaustic,Vault doors,0.0,332.0,"['ae8b498d-853d-4ca2-a4e0-0f2c73e73da9.jpeg', '8574ef0a-7250-4e93-999b-a8cfffcb8343.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1614,Porte de placard,50.0,Encaustic,Vault doors,0.0,332.0,"['90390e6d-4e02-4c8b-9e0d-e99cec9b67d8.jpeg', 'ef2e558d-00cc-4077-882c-59cb32f8bc5a.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1856,Porte de placard,35.0,Encaustic,Vault doors,1.0,106.0,"['e4387391-db4c-4082-a8c3-acb3ed8d2d5f.jpeg', 'e3c674fb-8afd-43f1-b1c4-7811e313cf8f.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1925,Porte de placard,15.0,Encaustic,Vault doors,1.0,45.0,"['44c10022-420c-46d3-ab44-c7e5c9d0a943.jpeg', 'eaf720dd-cc16-4263-8e24-09aa4ed8a5a4.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
1989,Porte de placard,30.0,Encaustic,Vault doors,1.0,129.0,"['e3ad47c4-4379-41df-8870-23f032aa5196.jpeg', '4c7ab3bd-3f3a-4a51-aead-91c8d984cf02.jpeg', '4a6afa26-25fa-45e3-b00b-6e939e7d9ab0.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2000,Porte de placard,50.0,Encaustic,Vault doors,1.0,129.0,"['d5f603b4-22c1-4cfa-a62e-e1ffac176a6c.jpeg', 'ed30226c-e628-4d99-b937-e4ba89be9219.jpeg', '2d309490-b0a1-488f-99df-f54502ff8f55.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2033,Porte de placard,30.0,Encaustic,Vault doors,1.0,122.0,"['9535e67c-edef-4f1e-9b28-bcab6e3f52b2.jpeg', 'fe3a9d33-7f59-4ff3-9eb6-f70f597b726f.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2114,Porte de placard,30.0,Encaustic,Vault doors,1.0,117.0,"['6affe0b7-677f-4a0f-9786-4f29784cd1b8.jpeg', 'e759ea94-6135-46a8-ae08-37c8c5eb4680.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2127,Porte de placard,15.0,Encaustic,Vault doors,1.0,45.0,['0d8a3547-a9ce-40b4-8a83-d6bd9eb13af9.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2178,Porte de placard,30.0,Encaustic,Vault doors,1.0,38.0,"['2e010099-945f-4645-aa69-1a49723c8d06.jpeg', '39bc7ebc-5fcf-4441-ba93-451ce2215bb6.jpeg', 'e69faa33-394e-4200-ae2f-578ffde2608e.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2240,Porte de placard,30.0,Encaustic,Vault doors,1.0,38.0,"['f1f64ffe-bf89-42ab-9ff0-528a28379801.jpeg', 'f39595cb-4336-4b2d-8710-49a1e91eaaa8.jpeg', 'eb743001-1890-496d-8af2-56293c90fe44.jpeg', '52804738-d901-45d0-b64e-5ac1a63bdbc2.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2248,Porte de placard,30.0,Encaustic,Vault doors,1.0,38.0,"['e48f9b7b-c4f7-47dc-af04-91dc0094ecca.jpeg', '703badef-5bed-464d-9821-e9f61794ef21.jpeg', 'e9728b6c-4e7f-4047-a9ba-7caeb2f985dd.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2258,Porte de placard,30.0,Encaustic,Vault doors,1.0,118.0,['7f807e0e-fbd7-422d-9905-9d56147cc303.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2363,Porte de placard,50.0,Encaustic,Vault doors,1.0,100.0,"['70729823-d75e-48ac-97de-57411474078b.jpeg', 'e6bd0165-13bf-451e-8719-f7325220674d.jpeg', 'fbba80ca-5c0b-40bf-b571-b913bc218156.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2402,Porte de placard,30.0,Encaustic,Vault doors,0.0,263.0,['f5b7fdc4-55a7-4d50-bc53-090b746c1696.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2531,Porte de placard,30.0,Encaustic,Vault doors,0.0,263.0,['250c3cb7-18d6-428d-a8b0-4832f96aaeed.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2650,Porte de placard,30.0,Encaustic,Vault doors,0.0,269.0,['e27e3a97-8814-468e-a114-6e8532f141e5.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2685,Porte de placard,15.0,Encaustic,Vault doors,1.0,103.0,"['323e6cbb-f704-4c61-b5b1-1119ec4225d3.jpeg', '6d5f1283-5784-400f-8bd0-f61d1529290f.jpeg', 'b3ab958c-3a70-4f3f-8b3a-014f34f4637e.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2744,Porte de placard,15.0,Encaustic,Vault doors,0.0,278.0,['0166af97-5f72-4873-b14a-3a6007449fee.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2751,Porte de placard,15.0,Encaustic,Vault doors,1.0,111.0,['7095c289-2a08-4459-b533-b8fbfc8156f3.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
2808,Porte de placard,30.0,Encaustic,Vault doors,0.0,200.0,"['ab6c38d5-19c5-4a17-9d39-8fe63c4d0fb5.jpeg', '821152df-dbf9-4f28-a586-8521b7df3a5b.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
3116,Porte de placard,30.0,Encaustic,Vault doors,0.0,213.0,"['513e3204-8d75-45b9-a1a4-dcc4659f83b6.jpeg', '3cb0e3bd-f2f2-48e2-9a58-eeace3cc7182.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
3180,Porte de placard,30.0,Encaustic,Vault doors,0.0,213.0,"['578418e1-ae43-43b5-8055-168969958cb2.jpeg', '7d8579e8-c071-4f03-a8b4-0031fad8dd62.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
3208,Porte de placard,5.0,Encaustic,Vault doors,1.0,58.0,"['29766242-6bf6-4802-8817-f7dcc7b41101.jpeg', '68bddf7a-7b3c-4ff3-a0c4-64f235d825a9.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
3267,Porte de placard,30.0,Encaustic,Vault doors,0.0,213.0,['11005190-56e8-4260-b35e-275864f2cb95.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
3314,Porte de placard,5.0,Encaustic,Vault doors,1.0,58.0,"['2d5d2f9f-4fbf-44b5-95c7-30596b9a6170.jpeg', '81f1dae4-1be9-445e-b00a-7ba2ebb328b0.jpeg', 'dd030c00-0949-483f-a787-48a7e1a72579.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
3408,Porte de placard,30.0,Encaustic,Vault doors,0.0,213.0,"['e83ef7c8-8f12-49a8-9ec3-f8965ff21847.jpeg', '7f42f035-a334-476b-be9a-df85eb349c6f.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
3421,Porte de placard,30.0,Encaustic,Vault doors,1.0,55.0,"['a7b84b65-1c6b-40cc-a09f-7d91163ec8b5.jpeg', 'e0a291e1-9164-4297-a692-dca3df6058ba.jpeg', '301424f7-0f3b-4859-bd1d-b37531e91910.jpeg']","Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
3518,Porte de placard,30.0,Encaustic,Vault doors,1.0,41.0,['df3293bc-114a-4aa4-9a33-deeafc208325.jpeg'],"Wall, Barriers, Pannels","Door, Windows, Gates",Safety cages,,,
