,column_name,percent_missing
Unnamed: 0.1,Unnamed: 0.1,0.0
Unnamed: 0,Unnamed: 0,0.0
Title,Title,0.0
Condition,Condition,6.789250353606789
eBKP_H,eBKP_H,3.5124941065535125
eBKP_H_EN,eBKP_H_EN,17.868929750117868
MateriuumCategory,MateriuumCategory,76.80339462517681
Category,Category,0.6364922206506365
Category_1,Category_1,0.6364922206506365
Subcategory,Subcategory,3.4653465346534653
Description,Description,0.0
Material,Material,26.63837812352664
Length,Length,44.93163602074493
Width,Width,40.452616690240454
Height,Height,41.937765205091935
Diameter,Diameter,98.34983498349835
Weight,Weight,92.14992927864215
Color,Color,67.7039132484677
Energy_Efficiency,Energy_Efficiency,96.84111268269685
Availability,Availability,20.76850542197077
FirstPrice,FirstPrice,17.138142385667138
PriceOnDemand,PriceOnDemand,93.16360207449317
Quantity,Quantity,93.16360207449317
Saved,Saved,17.138142385667138
LastPrice,LastPrice,5.775577557755776
LastUpOn,LastUpOn,2.758132956152758
PriceChange,PriceChange,22.607260726072607
Sold,Sold,17.138142385667138
SoldAfter,SoldAfter,19.471947194719473
Location,Location,20.650636492220652
Provider,Provider,93.16360207449317
Store,Store,4.408297972654409
ID,ID,0.0
Country,Country,4.408297972654409
Language,Language,4.408297972654409
Imagefile,Imagefile,8.557284299858557
URL,URL,0.6364922206506365
eBKP_H_Generalized,eBKP_H_Generalized,17.868929750117868
ElementType,ElementType,22.866572371522867
Price,Price,82.86185761433286
Stock,Stock,100.0
Dimensions,Dimensions,100.0
material,material,0.0
dim,dim,0.0
quantity_n,quantity_n,0.0
material_emb,material_emb,0.0
Swiss_Raw,Swiss_Raw,44.17727487034418
Swiss_Code,Swiss_Code,44.17727487034418
first_level,first_level,0.0
second_level,second_level,0.0
third_level,third_level,0.0
