,Important Word,Associated Element
0,IfcCommunicationsAppliance,IfcReferent.STATION
1,IfcCommunicationsAppliance,IfcLamp.LED
2,IfcCommunicationsAppliance,IfcTransformer
3,IfcCommunicationsAppliance,IfcDistributionSystem.ELECTRICAL
4,IfcCommunicationsAppliance,IfcController
5,IfcCommunicationsAppliance,IfcSignal
6,IfcCommunicationsAppliance,IfcSign
7,IfcCommunicationsAppliance,IfcControl
8,IfcCommunicationsAppliance,IfcJunctionBox.POWER
9,IfcCommunicationsAppliance,IfcCommunicationsAppliance
10,IfcCommunicationsAppliance,IfcBearing.ROLLER
11,IfcCommunicationsAppliance,IfcDistributionPort.DUCT
12,IfcCommunicationsAppliance,IfcSignal.AUDIO
13,IfcCommunicationsAppliance,IfcAudioVisualAppliance
14,IfcCommunicationsAppliance,IfcJunctionBox.DATA
15,IfcFurnishingElement,IfcFurniture
19,IfcFurnishingElement,IfcElementAssembly.ARCH
20,IfcFurnishingElement,IfcSign
28,IfcFurnishingElement,IfcDoor.GATE
38,IfcTransportElement,IfcTransportElement
39,IfcTransportElement,IfcMarinePart.CORE
40,IfcTransportElement,IfcDistributionPort.DUCT
45,IfcOpeningElement,IfcCurtainWall
46,IfcOpeningElement,IfcOpeningElement
47,IfcOpeningElement,IfcWindow.LIGHTDOME
48,IfcOpeningElement,IfcWindow.SKYLIGHT
49,IfcOpeningElement,IfcSystemFurnitureElement.PANEL
50,IfcOpeningElement,IfcWall
51,IfcOpeningElement,IfcBuildingStorey
52,IfcOpeningElement,IfcOpeningElement.OPENING
53,IfcOpeningElement,IfcWindow
56,IfcOpeningElement,IfcRoof
60,IfcOpeningElement,IfcDoor.GATE
64,IfcWall,IfcWall
68,IfcWall,IfcWall.ELEMENTEDWALL
71,IfcSlab,IfcSlab
72,IfcSlab,IfcElementAssembly.MAST
77,IfcCovering,IfcCovering.FLOORING
79,IfcCovering,IfcFurniture.BED
83,IfcCovering,IfcCovering
90,IfcCovering,IfcSlab.LANDING
97,IfcCovering,IfcRoof
